kegg.names labels type x y width height p7Ct1B p7KO1B p7Ct2 p7KO2 p7Ct1 p7KO1 p7Ct1B.col p7KO1B.col p7Ct2.col p7KO2.col p7Ct1.col p7KO1.col
61 14751 Gpi1 gene 483 265 46 17 10.45064172 10.47730734 10.79402111 11.40680042 10.50784157 10.54000357 #D3D3D3 #D3D3D3 #D3D3D3 #CEDCBA #D3D3D3 #D3D3D3
62 66681 Pgm1 gene 483 178 46 17 19.197464363 19.466988694 19.498451588 20.598733473 19.245465737 19.446955018 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
63 14751 Gpi1 gene 385 302 46 17 10.45064172 10.47730734 10.79402111 11.40680042 10.50784157 10.54000357 #D3D3D3 #D3D3D3 #D3D3D3 #CEDCBA #D3D3D3 #D3D3D3
64 15275 Hk1 gene 233 291 46 17 23.853672692 23.863458013 23.917640002 24.028204541 23.983736352 23.775487851 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
65 103988 Gck gene 233 312 46 17 7.993788419 7.898149047 8.075869268 7.84645316 7.907266183 7.957609406 #54ED54 #54ED54 #7FE57F #54ED54 #54ED54 #54ED54
66 14751 Gpi1 gene 357 264 46 17 10.45064172 10.47730734 10.79402111 11.40680042 10.50784157 10.54000357 #D3D3D3 #D3D3D3 #D3D3D3 #CEDCBA #D3D3D3 #D3D3D3
68 319625 Galm gene 181 264 46 17 8.152057319 8.190611786 8.220955499 8.336033192 8.163668615 8.076698841 #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F
69 103988 Gck gene 233 239 46 17 7.993788419 7.898149047 8.075869268 7.84645316 7.907266183 7.957609406 #54ED54 #54ED54 #7FE57F #54ED54 #54ED54 #54ED54
70 15275 Hk1 gene 233 218 46 17 23.853672692 23.863458013 23.917640002 24.028204541 23.983736352 23.775487851 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
71 14377 G6pc gene 316 193 46 17 24.241312486 24.153210235 24.148638669 23.795328469 24.048311718 23.941038176 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
75 13382 Dld gene 262 908 46 17 8.365060888 8.231428194 8.244766298 8.419731418 8.41392282 8.289566324 #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F #7FE57F
76 18655 Pgk1 gene 483 557 46 17 18.499799319 18.640736164 18.555196401 19.314529182 18.676669372 18.638334175 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
112 18534 Pck1 gene 239 726 46 17 15.402170367 15.326803747 15.343865817 15.350339732 15.428269898 15.4802837 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
128 12183 Bpgm gene 531 593 46 17 7.913643805 7.941828954 7.865605784 7.888782973 7.931766539 7.854239856 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54
129 12183 Bpgm gene 531 521 46 17 7.913643805 7.941828954 7.865605784 7.888782973 7.931766539 7.854239856 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54
131 60525 Acss2 gene 96 911 46 17 21.25195429 20.99076019 20.8479538 19.527280927 21.23689693 20.96453448 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57 #BCFF57
133 72141 Adpgk gene 281 239 46 17 9.010326288 9.163895072 9.087682501 9.090982527 9.031469515 9.115203566 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9
134 72141 Adpgk gene 281 312 46 17 9.010326288 9.163895072 9.087682501 9.090982527 9.031469515 9.115203566 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9 #A9DCA9
140 17330 Minpp1 gene 571 630 46 17 7.791348169 7.763053142 7.704875447 7.860016298 7.742216315 7.842323824 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54 #54ED54
