Gene	HN_1	HN_2	DCIS_1	DCIS_2
"3306"	8.768670345	7.973678392	8.29673347	10.11204151
"3309"	7.736453101	8.33334554	9.132672224	8.695864422
"3310"	7.716322518	7.113766176	7.629001905	7.211237103
"3312"	9.696461486	9.782685611	10.67042134	10.3096181
"3320"	9.40958394	10.12571979	10.41236109	10.64349109
"3326"	9.143115578	9.671100978	9.173863751	9.594660628
"3337"	8.360151539	8.174926286	8.450699655	8.520968691
"3703"	7.140103135	7.461034039	7.28262157	7.700343479
"3998"	6.971550256	6.804904259	6.840849912	6.835617442
"4121"	6.811477426	6.86642509	6.867759973	6.894102703
"4217"	8.368150125	7.770298902	8.142147943	9.157872658
"4287"	6.788346066	7.229276415	7.185718527	7.527651816
"4780"	8.549196163	8.75108288	9.152081256	8.567583075
"5034"	9.239986521	9.53902357	9.785752232	9.806304544
"50613"	7.170635337	6.974409423	6.859088501	6.880560618
"5071"	6.937244803	7.055810839	6.811863026	6.993198425
"51009"	8.305948305	8.61395215	9.030974128	9.219211899
"51128"	7.424311781	7.970011834	8.636513133	8.639654054
"51360"	7.492519538	7.239610529	7.421588846	7.195500764
"51465"	7.666068799	7.977370137	7.663570605	8.260236655
"51619"	7.953788085	7.885695027	7.743777379	7.951199599
"54431"	6.645655873	7.125655887	7.07660914	7.508206657
"54788"	8.154257544	7.923416336	7.785636529	8.176745004
"55176"	7.040451939	7.167174563	7.576341801	7.470062307
"55432"	6.664560114	6.593785568	6.617720952	6.580123074
"55666"	8.094926175	8.738968859	8.239047048	9.065660701
"55741"	7.580771915	7.511007034	7.552608018	7.715462923
"55757"	7.398388027	7.799059634	7.684093337	7.66403898
"55768"	8.160008677	9.61610188	8.368296512	9.463821769
"5589"	8.514158016	8.412936564	8.236148174	8.222461972
"55968"	9.247143368	8.173128347	8.359002407	8.044392097
"5599"	7.4870566	7.466005546	7.405309908	7.40497566
"5601"	7.300339712	8.248693653	8.093241981	8.327995701
"5602"	7.837161132	7.685065007	8.192978906	7.90892466
"5609"	6.925662623	6.857547686	6.881006528	6.842359028
"5610"	7.943322549	8.09706328	8.359992609	7.951465069
"5611"	7.182137017	6.930471025	8.046193142	7.37084493
"56605"	6.888111288	7.026776716	6.956802156	7.026203496
"56681"	7.723744914	8.599910994	8.186953308	8.733207424
"56886"	7.437762516	7.648771192	7.992206837	8.055345374
"57134"	7.049519235	7.036314089	7.911909242	6.545649359
"573"	8.755983801	8.105938551	9.039958078	8.694186217
"581"	7.037171955	6.870769907	7.290857611	6.982083931
"5886"	9.188602469	7.817183749	8.731816696	8.307828243
"5887"	7.769600029	7.907544111	8.779873182	8.504926294
"596"	6.918695841	7.531201375	7.774258437	7.220505199
"6184"	9.110258604	8.561309733	9.285928198	9.247272921
"6185"	10.73524744	10.40218912	11.45327542	10.98333074
"6238"	8.776992105	8.028714988	9.093045185	8.024338728
"6396"	9.745208608	8.924757062	10.26809429	9.001277164
"6400"	6.820346976	7.22980132	7.414558433	7.09318972
"64215"	7.782945572	7.640544763	8.720936832	8.081855287
"64374"	8.58152302	8.07305897	9.412194867	9.004983977
"6500"	9.344613123	9.710592761	10.22659386	10.1458125
"6745"	7.496575278	8.245516027	8.433674837	8.947134758
"6746"	9.965344109	9.370792979	9.765534194	9.421255845
"6747"	7.128143717	7.514770895	7.178729024	7.789335067
"6748"	10.46021363	9.462316669	10.88653296	10.3312234
"7095"	8.541138082	9.553573832	9.766822306	9.608739461
"7184"	9.207274955	8.746302874	9.681548465	9.382480168
"7186"	8.076448856	7.324500439	7.899574508	7.314003473
"7321"	6.809482591	6.98024317	6.941757897	7.373484904
"7322"	7.240088116	8.44956168	7.340420356	8.566391216
"7323"	7.774591664	8.913921946	9.40909386	9.38637566
"7324"	9.10032486	8.773275083	10.37382741	9.057039226
"7326"	7.617585002	8.468436645	8.453436536	8.811736634
"7327"	8.338285732	7.874529719	8.412096085	8.264471965
"7353"	7.130339496	7.964548544	7.662464448	8.315652692
"7415"	9.359529286	8.475596154	9.316754701	8.96655553
"7466"	8.677300433	8.106824592	8.914505832	8.973135823
"7494"	9.01738069	11.15575464	11.27800046	11.86096966
"7841"	7.986497959	7.593474102	7.680121928	7.860904049
"79139"	6.634432998	7.258940457	7.367293372	7.970751758
"79748"	7.247150717	7.620735624	7.080450623	7.514368813
"7991"	8.145237679	8.967069752	8.228347671	8.586906241
"80267"	6.772250341	6.701875224	7.433066832	6.948323493
"80700"	7.800480454	7.668150434	7.674650948	7.969856555
"811"	8.154757652	8.363030348	8.178122732	8.656460192
"81567"	10.48218432	10.44706619	9.677077827	10.43589552
"821"	8.177791179	9.163161325	9.477653196	9.324732025
"823"	7.987640631	7.554859726	7.857147605	7.863818832
"824"	9.768068348	10.11583049	9.759672944	10.35659265
"8454"	7.021587261	7.734117955	7.166429734	7.799334927
"8720"	8.197432222	7.949060607	8.41619145	7.441290798
"92552"	6.769237615	6.543062072	6.564586801	6.526972715
"9373"	6.847050848	7.023884279	7.09623535	7.299316578
"9451"	7.474643079	7.288045621	8.699873606	7.692266003
"9532"	6.684312848	6.684610439	6.695519015	6.693220028
"9601"	8.325717841	8.110170678	9.381999786	8.765357013
"9632"	9.248191638	8.114187845	9.26158779	8.460927426
"9695"	8.193596712	7.972062477	8.808274291	8.589042456
"9709"	9.228394759	8.702577661	9.897274823	8.094767118
"9871"	7.298048149	7.337272959	7.802356399	7.441563574
"9978"	8.743613448	8.171235806	9.752840664	8.457792721
