,cont1,cont2,exp1,exp2
C02993,2.44681558308393,2.64322361992323,3.20866987508393,3.04052134892323
C06510,3.85346917152623,3.97713517384791,4.76283722852623,3.83621527184791
C05962,2.55077477020329,3.25931672698541,5.56129529120329,4.08008694698541
C11152,4.05319872712138,3.73811883422578,4.02366160312138,3.63262450722578
C06874,3.75926664555175,4.11485574108983,2.86323379655175,2.86949975108983
C06956,5.08423174628847,5.43094319593312,3.84205003928847,6.89086045393312
C01876,3.17815670289511,3.27825820509165,3.66443070089511,2.80582320409165
C08596,5.31605754480815,5.03137728067205,4.75415169780815,4.72661928467205
C03798,3.69083071216236,3.92491963378584,2.93401586716236,3.68214168578584
C00254,8.53457453874529,9.19271361874613,8.95691865774529,8.50574845474613
C15591,6.43341495203441,6.41305023075844,8.03928093903441,5.43266638475844
C08384,6.82034845899045,7.2009984786385,8.15533230599045,8.1929105766385
C02773,5.76837071565269,6.22607033181527,4.69718783165269,6.22823971481527
C06917,8.36435216103884,7.55089996757551,7.89569660203884,7.93372315257551
C07504,3.72852709210205,3.40031975683677,4.07287202110205,2.86950404783677
C00483,4.07671053927887,4.35967890945855,2.98025307727887,3.07285596045855
C01657,7.86456447708333,7.7049858620592,7.41628603508333,7.7412260500592
C09060,3.69860729337927,3.01922348690405,3.08060869437927,2.79301186090405
C16514,4.58523851279607,4.88105269190978,4.08426937279607,4.90050658690978
C07328,4.21438414111603,3.90084827317781,5.19372670011603,3.04291997317781
C13967,4.36001426290299,4.82003087974989,6.56287665990299,2.93827401374989
C01288,4.44177339404688,4.11889981645834,4.64775014804688,3.28821531645834
C06333,5.98837666253565,5.87432746303968,6.36873461953565,6.43823617003968
C08235,4.64533903546079,4.92325013346355,5.00270662046079,5.20566254246355
C06538,3.98808507577148,4.19070292034864,4.34783688077149,2.36506204134864
C11218,7.68607765034082,7.52787943609173,8.57157299334082,5.81308641309173
C01821,4.57084118290626,4.81590309699801,4.62246530290626,3.59449428499801
C07313,4.64088693991323,4.54752114798355,5.89067382891323,4.69893586898355
C05973,4.79961851757288,5.17938622579827,5.84044879857288,5.12797123879827
C03683,6.42533261410281,6.42320801256856,6.04087118010281,8.61065049456856
C18239,4.85287119174735,4.97202419783422,4.81619987974735,5.28889652883422
C14338,4.9247316570659,4.86463768997654,7.6582826190659,3.54037600497654
C00473,3.63667904248869,3.3758453684064,5.19788228548869,3.0733260324064
C05602,4.35145945550736,4.36417337730981,2.44175262350736,4.07572285230981
C03037,5.12032088086903,5.54912162617189,5.57107091586903,5.37212601217189
C04936,3.82221102748067,3.70901294193718,3.05037560148067,3.97187455393718
C15500,6.06299238526514,6.90509934514451,2.95913445026514,7.30057448714451
C02703,1.96321183642643,1.80763991674407,3.71271262442643,1.99588926574407
C00344,5.61311572157953,5.91130286238929,4.79813817757953,6.27040977838929
C03564,1.92710035292483,1.84170133492164,0.347669566924828,0.619401368921637
C06633,4.39804774632678,4.93843176357028,4.41063895732678,5.08425479757028
C05527,3.94344019110999,3.85525808750385,6.10684931510999,2.67568683250385
C06260,3.695810438638,3.54868552311354,2.550528791638,2.79605681311354
C01941,4.88620644430522,4.60330827165958,2.52938114330522,5.62100932765958
C01514,1.17128114863998,0.918288183518611,1.82372021663998,1.78543529151861
C03742,7.35316662403712,8.25424509799089,7.22264491703713,8.25120803999089
C02008,1.67005512757599,1.84698189934504,2.48410956957599,2.19247526334504
C13061,4.07293919705523,3.58396002207654,4.40243518605523,2.35831579407654
C01149,2.76815978991431,2.27467657256704,2.71613324991431,2.44076060456704
C04924,3.4983619976131,3.07212837896006,3.5061173836131,4.19798610896006
C13718,9.17433309125669,8.42802388717329,10.0515352142567,8.49880719517329
C04793,5.0347912393865,4.29975467437077,3.6930938153865,3.80896582837077
C06734,2.42739893913135,2.7334779624281,3.18748687413135,3.1982125584281
C02505,1.71878893116284,2.01728962394047,1.61464334116284,2.24728530694047
C00954,5.90037420254531,6.26291402118733,4.97523146854531,5.16203582218732
C14270,4.96288033457072,5.01603666996678,3.89701756457072,4.42548074196678
C00292,4.36386325091231,4.26229889265263,4.59931706091231,4.71474995965263
C02009,3.1412757050926,3.45832936747883,3.0037089890926,4.25257569547883
C03011,2.02507937971703,2.33374129770076,1.62208792771703,2.02800051970076
C00105,2.84961540676864,2.73361502112962,4.47877940176864,3.10317870012962
C03812,7.00005760742783,7.39353522238201,8.03345990842783,7.12776898538201
C04683,3.75746661040635,3.81541830092421,3.30542068340635,4.11374557692421
C09153,2.23114630523102,2.29558671747391,0.505709457231017,1.83241889247391
C11609,8.73858124484716,9.29599219448683,7.36063247284716,8.36875352148683
C01212,5.8502007547449,6.0846358219273,6.1809619057449,6.1272448469273
C02299,4.52270579817393,5.38872915807237,4.65003978917393,4.22562571407237
C18167,7.11696609741804,7.17282348707452,7.40076015641804,7.53596825607452
C03582,6.77284530274987,6.25605448853537,5.74885236774987,4.86505547953537
C06857,3.76151390353771,2.88784966033252,2.49477797553771,3.07708772433252
C03226,9.41220492908094,9.28635142515952,10.3616441490809,8.37250575915952
C01295,4.48994593971797,4.05135627254398,4.73379890971797,5.47338159554398
C18799,2.15101069957438,2.2377319878545,2.10980036357438,2.4354986178545
C04937,4.71120079609156,4.35469789408389,4.30799623309156,4.84947640308389
C02086,5.41507667846469,5.7136996377118,5.62748222546469,4.4546158267118
C09755,9.61595679811872,9.62160861563425,7.62611256511872,10.5130424816343
C00518,5.21160473578742,5.64577730974719,5.60046613878742,5.01484287974719
C11055,5.91399761084683,6.22223228109088,4.20327277984683,5.96237902509088
C01394,4.84569412928694,4.6779505035714,5.81479572228694,4.2686716705714
C09849,4.33199831526691,4.83233875427639,5.54307014626691,5.42634171227639
C01279,4.93054794337745,5.15628402443983,6.73812531037745,6.97381170143983
C14773,6.57527921126032,6.97214570951287,8.49542641026032,6.98803424651287
C07260,9.15049001730457,8.80698588130405,9.26988837030457,7.72040998530405
C01589,7.05478487752754,6.89603680999643,7.25338217552754,7.37149063099643
C07027,7.41581679677341,7.62585641658066,7.02807933177341,6.77567162158066
C03758,2.53735315688391,2.3110802001342,2.22553675088391,1.3467792691342
C06763,6.96779114010676,7.0857054250997,8.47107637910676,7.5428016510997
C14534,5.4398496073213,5.78924317124823,5.3252953333213,6.59240962324823
C09171,2.06549994181551,1.67961655250944,3.55560863581551,2.43159092650944
C10980,6.04204548529628,5.57708426881781,5.72271935729628,5.60332570481781
C02043,4.68249079056797,4.29630999462148,5.34034667956797,4.02829783362148
C05103,7.92917462393959,7.61468110698008,5.67331369293959,8.79186454498008
C06324,3.46783600079067,2.62215194358394,2.93533803479067,1.29744521458394
C11088,4.13957649214291,3.62903828031226,4.05289115714291,3.57699181831227
C01636,3.14778100524513,2.22034654270337,2.45964121924513,3.52711740770337
C16848,4.64579207712692,4.70594076524739,2.84214898212692,6.00913182424739
C09086,5.80402355897268,6.58472344127093,4.92799379097268,5.06848380127093
C04734,3.53650365376079,3.3830563822853,4.47597473876079,4.2309613522853
C14605,6.66074633596335,7.17294956917804,8.39012047896335,7.31502653117804
C03629,2.58383442739107,3.24025958316889,2.86817175139107,3.68845883316889
C11401,2.90403117438452,3.1758636857407,1.87429425538452,2.6636052747407
C01286,7.88231541368856,7.89990494309531,6.91054804568856,7.82051573409531
C01533,2.9683050693907,3.26546880950009,3.9884916993907,2.48773091550009
C01036,5.82394942463503,6.15525926502265,6.11352590163503,6.89802129202265
C02472,4.23784789778216,4.39679205443415,4.23389468678216,2.84024384143415
C16022,5.81880367930187,5.89701379097731,6.41663541630187,4.77028981697731
C14150,8.37774657240809,8.43777354740611,8.29849983240809,8.89645671840611
C13626,8.17317686688394,8.41320743072175,11.3684623608839,6.87664491372175
C03030,4.33818439863447,3.96684404122471,3.96541397863447,3.41797374722471
C01018,0.429528929415066,0.307926262482789,-1.14034917658493,-0.712324897517211
C11902,9.99532317966833,9.68864050182951,11.2662603236683,9.28956931882951
C01970,6.33413233353099,5.6392380348839,6.21752234453099,3.2577691768839
C07250,6.0826546719274,6.18524186061745,5.7920401499274,5.44883464761745
C02496,4.97320095370818,4.59672262231833,4.78080725270818,4.58334130731833
C02287,6.02021684590585,6.67195099391267,5.78318211290585,6.26802612191267
C00855,4.67124833646067,4.57490618289411,3.98778869446067,3.94422285489411
C04698,5.84138928650903,5.58675381537869,7.28638728350903,5.68316802037869
C05974,4.19950651204471,4.45047171217178,4.03784151104471,4.05712669717178
C06838,2.25958424490508,1.97560842239186,2.29556732990508,1.53539435339186
C08693,6.97567653490976,6.88472406353882,5.55658053990976,6.10415011653882
C02995,8.03949005099909,7.33687909276312,8.29933861199909,6.67574097876312
C12987,4.38251886154877,4.2339075156368,3.96678588354877,2.6096758066368
C06212,2.49342048878462,2.92179369187741,1.08586020678462,2.10796870087741
C02426,6.28448261135565,6.95974271482793,5.96580304335565,5.35582171282793
C07605,4.91058172621204,4.77041025227666,5.43684740621204,4.71234819127666
C06746,1.53356318635032,1.84406994159309,2.17847729135032,4.21369398859309
C06965,5.00426371936054,5.15251919534516,3.87499889636054,4.76048385234516
C07318,3.73939933214371,3.98767726030988,3.64718187914371,4.15204625730988
C14831,4.31806284027919,4.87310274963638,2.51840401527919,4.95882460363638
C03771,2.68685527472829,2.9491382766433,1.02119508172829,2.1840299976433
C08737,8.60628381583493,8.30289930327871,8.41911703783493,9.43415228327871
C03848,4.33773592721756,4.15543845812857,3.29886076421756,4.47274404912857
C07098,1.78897317549385,1.93505106381168,0.822274307493845,2.37647321981168
C02290,5.39438687747896,5.5922232341356,3.71920400547896,5.6216212611356
C04033,5.52635129281095,4.96757014085174,6.22125173781095,4.90953733285174
C02964,3.02834659918142,2.43106585111817,3.23674911718142,2.63301927611817
C01222,-0.77784134335909,-0.804010965594893,1.57675201264091,-0.509994487594893
C06085,3.71903659486977,4.13506966331319,4.66183194586977,3.73847678031319
C11632,6.14101527184097,6.27588851530737,6.17238169184097,5.88371289030737
C02037,4.88055344791478,4.37261141239864,4.30262474291478,3.95983568639864
C11412,4.80364251198953,4.50168975354154,3.06692961198953,5.36704463254154
C00526,6.12164145724023,5.29868350844025,4.86105476224023,6.94510683244025
C10509,2.62708272284105,2.08505168445668,1.82057352384105,1.82618770845668
C14138,7.19355408854849,7.2800814729777,6.24678163754849,6.7154765689777
C08364,4.98931194344367,5.2195014033216,3.23049941844367,5.2241732093216
C02778,6.41462133479616,6.84608879580078,5.16844882979616,6.77890069980078
C01356,7.06821546947492,6.17168380842097,7.23090305447492,5.44953733042097
C03525,5.44696082983061,5.52692626158717,3.97678137783061,6.30784668458717
C11195,3.24258477426796,2.97008112013451,2.07746924626796,3.65972827113451
C06318,7.32592911193466,7.47456276439842,7.38408060693466,7.15243041039842
C07415,0.999670110429049,1.1102306479642,1.33542964442905,1.0930485979642
C01452,3.91041851999655,3.80164033449559,3.99558775099655,4.59213534349559
C02122,4.48865858168602,4.18203575174101,3.70465747168602,4.21310194674101
C06347,4.66775792646999,4.47958525668222,5.47465908646999,4.66193848868222
C04834,7.04092781756822,6.12275422552755,8.06328110056822,4.81434128252755
C01294,5.27244378620555,5.31054632129567,4.50693637420556,6.83499768529567
C14779,5.81433520684767,4.93695414357011,7.71505883584767,5.72581412457011
C02427,4.86069037397419,5.8139738385181,4.73669569797419,6.5100775635181
C15232,4.50467131676134,4.53202052385767,6.35043762976134,4.75283060785767
C02084,6.39110161323928,6.31968148246543,7.91022278923928,7.03216709046543
C01643,7.2924567144316,6.39485490201159,6.9067531994316,6.48671851801159
C05595,0.193807570216257,-0.33938919132991,-0.113554511783743,-1.49205500332991
C02244,6.14547911049168,5.47908126608213,7.94695784249168,6.99068401108213
C01517,5.74944881355731,4.86503020898911,4.51385216755731,5.65387639598911
C17419,4.14946455688785,4.70653949087637,3.12935087788785,4.75077340587637
C06889,6.90202561515363,6.85296182286478,7.85155250015363,5.63649328886478
C12650,4.22152563656324,4.34182088259399,5.42471835456324,4.84705991359399
C07752,4.43133867640085,4.80954070630882,2.68864392140085,4.82385021330882
C00342,6.71481955615961,7.00072626598619,6.24314587215961,5.56784483498619
C07288,8.4392545982412,7.92670997926276,8.9431257482412,8.51543223626276
C12531,5.54010980187446,5.80140090058784,5.06200806987446,5.71458752458784
C16314,4.15563198042472,4.41237618033115,1.65565945942472,4.87977707833115
C10664,2.62177341028083,3.03840984202532,4.18810676828083,1.71595625402532
C12339,4.33793404224198,4.07874408348256,5.12978204724198,3.50459559248256
C14713,3.12034134697996,3.37570244698034,2.77732247497996,1.46460638898034
C06717,4.48213483376243,3.58689103016515,5.78377508576243,3.63106924316515
C09544,5.78875833644314,5.02388730961732,6.50105608244314,6.55006349661732
C06138,3.29628581595227,3.45900188631139,3.02085828295227,4.24063903631139
C03459,10.2983337621898,9.62364645669343,9.48874529018976,8.82876883869343
C08053,5.31202335133016,4.97624287416338,4.74197144633016,2.62421116316338
C02169,7.26041453490989,7.19250575538932,7.83632872490988,6.64694921838932
C15798,0.421752040319789,0.759656476061199,1.45080317531979,1.2806790260612
C08662,6.48200231439088,6.09300200745362,5.77037884539088,6.73156218945362
C07475,2.36750967909688,2.93571761756555,2.10378098309688,3.20424515356555
C04813,6.83960735521828,7.12571080721028,7.88040359421828,8.49936842921028
C02022,5.79626031090391,5.41569497091785,4.21438086990391,3.00865242991785
C05268,4.18494284146046,4.52196291962014,4.09940229046046,6.65000931262014
C01195,7.64851726035455,7.533510407185,9.16477117035454,8.196198335185
C01564,3.59753666150616,4.12931585467348,3.18225687650616,3.63011826667348
C07505,3.83877139151893,3.43069782511997,3.75965385351893,4.46940438811997
C03897,2.99785563794916,3.34360506164849,3.21549669094916,3.27014067264849
C00357,3.66364278649321,4.12733420710267,5.59066303149321,6.00276681310267
C14357,6.89036990674617,5.97663174861227,6.59497693474616,6.59043449661227
C00943,5.86740429909032,5.91344307064336,7.48485074209032,4.41669360564336
C00587,7.01031843535409,7.54465210055133,7.62827024635409,4.82200189355133
C01662,4.21976267189264,3.51327284441855,3.48596307489264,2.30615329541855
C08652,5.7527405835493,5.75925345592872,4.2685286325493,6.47139826692872
C11399,5.48832984897299,5.92110179694275,5.94557606897299,7.18121925594275
C07404,2.14748531523492,2.2945206312491,1.82721476823492,3.1776058672491
C16903,8.5568585749509,8.76661728031016,8.6127950969509,9.13748455231016
C02775,5.26889532186735,5.09562876861092,4.85201919986735,5.09518557261092
C07422,6.53119799831573,6.48272597352621,6.21720880031573,5.96972263952621
C01847,6.91027335381796,7.41063032278367,5.69181086681796,8.06017941478367
C06463,4.89886859711546,4.6535762708035,3.93783673811546,6.0220612618035
C00065,4.38836916046606,4.37801112409467,4.22972072346606,1.89147958809467
C07480,6.78734740485103,6.91693405156225,6.97086566885103,7.23217116856225
C11810,2.90540370187741,3.23224955140838,2.16145703287741,3.64681707940838
C14644,8.9426747724483,9.01539742551899,8.2171640894483,9.09131787751899
C01047,4.23273578742328,4.73403114702674,4.93433601342328,4.34838677402674
C00177,8.30829060454998,8.55108545973649,6.79338414354998,8.37121781173649
C13895,8.02442538790126,8.13743954772878,7.79058788890126,9.93562576372878
C07665,5.16593146717183,5.04235449827156,4.65385266617183,5.68885989427156
C05377,6.134441829703,6.12838257604694,5.561677205703,4.91543109304694
C01613,2.95090304093108,3.54607595812985,3.23528184893108,5.13684685912985
C14397,5.64601300604487,5.63848326833805,6.67768148204487,6.04392311433805
C03120,7.08722491671237,7.55963805008714,7.17557990371237,8.95855025408714
C00806,5.1981569737944,4.91916425335211,3.3598036407944,4.88873591235211
C08861,4.09172618169128,4.55100333657175,3.75066587569128,4.67122156757175
C02824,3.68843629509912,3.83906627318546,2.46077666609912,4.65435905118546
C06140,4.92815515475498,5.44904026574333,3.53430737875498,3.54766346874333
C11344,7.13832292135359,6.22237042746828,5.83351925235359,5.38829885346828
C04424,4.03205013939745,3.89189726693387,7.35500618239745,6.21163456993387
C05441,4.75797977734511,4.75308289793331,3.75764674134511,5.74038530793331
C04063,2.41171999235832,1.86028653329311,0.288009741358318,2.54352601429311
C07274,5.98862567202971,5.84934495678152,5.80871386202971,6.86924197478152
C02972,7.61580304022829,7.85368475738066,8.62186351422829,8.69778976538066
C04611,7.99408201880557,8.13174296491715,5.82796960880557,8.34572785491715
C07887,6.62940546179471,5.96421302125351,4.78807603979471,6.92488691425351
C14010,1.26042241959477,1.6799649991839,0.785592935594775,4.8675818671839
C00519,5.96405900824752,5.55102385104828,5.57234979924752,6.15466158604828
C14513,5.9122712066024,5.44784364175859,5.2595795426024,5.89556532075859
C01759,4.29319942834018,4.47030107380811,5.56133899334018,3.74396843780811
C00882,5.34097894189596,4.28927601300864,4.87369922589596,3.95693541700864
C09131,3.27192809174619,2.74989925731968,3.46512631174619,3.36073574231968
C13198,6.35846154803131,6.59775120204993,6.95158277803131,6.73278010804993
C00964,4.34579797069379,4.41897416585152,3.85548242069379,4.69470453685152
C01407,1.8618356297121,1.92323374793406,1.4111278487121,0.94339375293406
C06027,4.26509848765904,4.06620709436418,4.28837881765904,5.13058637136418
C09672,7.7288698581397,7.89777047761506,6.9966933261397,7.69979941561506
C08848,4.33143727053767,4.51133339513188,3.45310730253767,3.87103187813188
C00035,6.4655000844182,6.54818589134133,7.6627351784182,5.96025703834133
C03709,6.89317128039557,7.01238524085758,6.50494200439557,8.14505266685758
C08286,5.00879740865275,4.14891468894366,5.50017588365275,3.56735884194366
C06768,4.2953553889003,4.48353886740567,3.3455605429003,6.30541317840567
C08146,3.94060898173299,4.12328707411326,3.85224582673299,2.14815613811326
C06572,6.47917845114959,6.43262394119788,5.44833558314959,5.75674677019788
C00791,2.87308516903438,3.18107033629322,2.39201322803438,4.27183499129322
C06380,5.4924216870728,5.29795864747806,5.3061900990728,7.49473056247806
C03340,4.42100126687138,4.48819607479611,5.66183728687138,3.89030792579611
C05401,0.470221287024112,0.405382057387253,-1.75947533097589,-0.736314235612747
C03927,2.18229908785361,2.50607070475049,2.82246405885361,2.35776641375049
C11620,6.83203865758515,7.0930969729341,6.84829372858515,8.3264704079341
C13810,4.6174420989296,5.16938577340394,5.0990888499296,7.17857367740394
C05938,6.60656643226729,6.71444924817819,5.8309478202673,4.65168215617819
C01048,8.77494892661721,8.38018416110027,8.65979349161721,8.76810382110027
C05966,7.94776236221828,7.68193159650451,8.28530862421828,10.4433464365045
C05116,6.354536984626,5.3250356350639,6.739844747626,5.5183104320639
C06812,5.75992537313349,5.19615214321882,4.03667840313349,5.49124332321882
C00968,4.61440314708533,5.25721582458484,2.68694504108533,6.19014860158484
C00764,8.1557835898088,8.37251126322547,6.9396404438088,8.54930847822547
C00112,6.19246821863691,5.62975772363693,7.63819830263691,5.60189400163693
C11952,2.65284611825728,2.68954336808949,1.68986664125728,3.79539954308949
C01779,4.68871493021936,4.69864040800377,3.54217437521936,4.93386475600377
C14418,1.16218035946032,0.883992999190608,0.635582143460319,0.635192429190608
C01110,4.60948230777873,4.82512036930165,3.60999740477873,5.22108139830165
C01769,-0.184655339891973,-0.528687791453556,-1.77498183189197,-0.657296796453556
C03090,7.62800433439611,8.45654134093357,9.03253460139611,8.34123089693357
C07334,3.72891399793573,3.60965362083249,3.83415413193573,3.78523188283249
C00128,4.14004232261162,4.17285746599012,6.28209914861162,3.65710122099012
C05529,4.66136333539607,4.73669229754894,5.52614380639607,3.53000418754894
C08302,6.22443634797826,5.8952021150856,5.74754591197826,6.5526655240856
C02660,6.3566803544454,5.79734260891735,5.7493437934454,5.90790044591735
C04251,6.13590394494334,5.61880781251514,6.22024712094334,4.42432926551514
C05539,3.85491479214775,4.03212866459483,2.57235233914775,3.20265918359483
C15999,2.27341748744332,2.26545688929005,1.55258222244332,3.31450250429005
C04136,4.2225555113242,3.93240975738549,3.8943063143242,0.975291975385486
C02713,5.55582826490109,5.66721189234682,5.19939139590109,5.23922213634682
C00825,3.35383775685595,2.92133285776971,3.51002245985595,3.23518873476971
C06467,4.86231813104307,4.41491470023422,3.99217649204307,3.66692136723421
C06755,2.6646753477404,2.25380170444434,2.3449300847404,3.07594238644434
C05810,4.98338197156879,4.72253150883134,3.08128146456879,5.02996471083134
C00045,5.25771080319481,5.2590545386768,6.17400351519481,6.2092856686768
C06656,4.70824874307799,4.45339706136174,3.98110052507799,4.42731245036174
C09133,4.67217808652786,4.52091148016064,1.35935729852786,5.26146443916064
C07445,8.52710400556984,9.11801396362607,7.15999775056984,11.2109139546261
C00579,6.52517302483664,6.72838206601503,7.50713531983664,6.80908019001503
C03190,7.22286216146127,6.53823618812443,7.34720536046127,7.22770569212443
C01131,3.15358609434034,2.88350107678427,3.76196257934034,2.16329774678427
C05135,5.32868367685591,5.89136560340054,4.73549276485591,4.47609186540054
C04092,7.30965037419455,6.92180279557107,7.01944976419455,6.79765360957107
C04074,4.88695715094702,4.63884574213816,3.52625095094702,5.56847453413816
C01691,0.741278703530697,1.28304787969954,1.4522373245307,1.16052763469954
