kegg.names	labels	x	y	width	height
04011	MAPK signaling pathway - yeast	185	58	290	25
04012	ErbB signaling pathway	147	58	214	25
04013	MAPK signaling pathway - fly	178	58	275	25
04014					
04015	Rap1 signaling pathway	154	58	228	25
04016					
04020	Calcium signaling pathway	165	58	250	25
04022	cGMP-PKG signaling pathway	176	58	271	25
04024	cAMP signaling pathway	157	58	234	25
04060	Cytokine-cytokine receptor interaction	216	58	352	25
04062	Chemokine signaling pathway	180	58	280	25
04064	NF-kappa B signaling pathway	178	58	275	25
04066					
04068					
04070	Phosphatidylinositol signaling system	213	58	346	25
04071	Sphingolipid signaling pathway	185	58	289	25
04072	Phospholipase D signaling pathway	205	58	329	25
04075	Plant hormone signal transduction	190	38	324	25
04080	Neuroactive ligand-receptor interaction	222	58	364	25
04110	Cell cycle	98	58	115	25
04111	Cell cycle - yeast	128	58	175	25
04112	Cell cycle - Caulobacter	143	58	206	25
04113	Meiosis - yeast	118	58	156	25
04114	Oocyte meiosis	114	58	147	25
04115	p53 signaling pathway	139	58	198	25
04120	Ubiquitin mediated proteolysis	180	58	280	25
04122	Sulfur relay system	140	58	200	25
04130	SNARE interactions in vesicular transport	228	58	375	25
04139	Mitophagy - yeast	123	58	165	25
04140	Autophagy	158	58	235	25
04141	Protein processing in endoplasmic reticulum	250	58	420	25
04142	Lysosome	95	58	110	25
04144	Endocytosis	100	58	120	25
04145	Phagosome	90	58	100	25
04146	Peroxisome	100	58	120	25
04150	mTOR signaling pathway	150	58	220	25
04151	PI3K-Akt signaling pathway	169	58	257	25
04152	AMPK signaling pathway	160	58	239	25
04210	Apoptosis	90	58	100	25
04211					
04212	Longevity regulating pathway - worm	216	58	351	25
04213	Longevity regulating pathway - multiple species	258	58	435	25
04214	Apoptosis - fly	124	58	168	25
04215	Apoptosis - multiple species	172	58	263	25
04260	Cardiac muscle contraction	168	58	256	25
04261	Adrenergic signaling in cardiomyocytes	223	58	366	25
04270	Vascular smooth muscle contraction	213	58	346	25
04310	Wnt signaling pathway	147	58	214	25
04320	Dorso-ventral axis formation	207	58	334	25
04330	Notch signaling pathway	160	58	239	25
04340	Hedgehog signaling pathway	174	58	267	25
04341					
04350	TGF-beta signaling pathway	167	58	253	25
04360	Axon guidance	113	58	146	25
04370	VEGF signaling pathway	151	58	222	25
04380	Osteoclast differentiation	167	58	253	25
04390	Hippo signaling pathway	159	58	238	25
04391	Hippo signaling pathway - fly	182	58	283	25
04392	Hippo signaling pathway -multiple species	234	58	387	25
04510	Focal adhesion	119	58	158	25
04512	ECM-receptor interaction	163	58	246	25
04514	Cell adhesion molecules (CAMs)	157	58	233	25
04520	Adherens junction	126	58	172	25
04530	Tight junction	112	58	143	25
04540	Gap junction	102	58	124	25
04550	Signaling pathways regulating pluripotency of stem cells	304	58	528	25
04610	Complement and coagulation cascades	207	58	333	25
04611					
04612	Antigen processing and presentation	205	58	329	25
04614	Renin-angiotensin system	159	58	237	25
04620	Toll-like receptor signaling pathway	209	58	337	25
04621	NOD-like receptor signaling pathway	198	58	316	25
04622	RIG-I-like receptor signaling pathway	206	58	332	25
04623	Cytosolic DNA-sensing pathway	186	58	292	25
04624	Toll and Imd signaling pathway	172	58	263	25
04626	Plant-pathogen interaction	168	58	256	25
04630	Jak-STAT signaling pathway	164	58	248	25
04640	Hematopoietic cell lineage	176	41	253	25
04650	Natural killer cell mediated cytotoxicity	230	58	379	25
04657	IL-17 signaling pathway	157	58	234	25
04658	Th1 and Th2 cell differentiation	186	58	292	25
04659	Th17 cell differentiation	157	58	234	25
04660	T cell receptor signaling pathway	193	58	306	25
04662	B cell receptor signaling pathway	196	58	311	25
04664	Fc epsilon RI signaling pathway	147	58	214	25
04666	Fc gamma R-mediated phagocytosis	162	58	243	25
04668	TNF signaling pathway	143	58	205	25
04670	Leukocyte transendothelial migration	217	58	354	25
04672	Intestinal immune network for IgA production	246	58	412	25
04710	Circadian rhythm	125	58	169	25
04711					
04712	Circadian rhythm - plant	150	58	220	25
04713	Circadian entrainment	145	58	209	25
04720	Long-term potentiation	149	58	217	25
04721	Synaptic vesicle cycle	151	58	222	25
04722	Neurotrophin signaling pathway	186	58	292	25
04723	Retrograde endocannabinoid signaling	219	58	358	25
04724	Glutamatergic synapse	151	58	222	25
04725					
04726					
04727	GABAergic synapse	130	58	180	25
04728	Dopaminergic synapse	146	58	212	25
04730	Long-term depression	137	58	194	25
04740	Olfactory transduction	150	58	220	25
04742	Taste transduction	133	58	186	25
04744	Phototransduction	133	58	186	25
04745	Phototransduction - fly	152	58	224	25
04750	Inflammatory mediator regulation of TRP channels	282	43	459	25
04810	Regulation of actin cytoskeleton	194	58	307	25
04910	Insulin signaling pathway	160	58	239	25
04911					
04912	GnRH signaling pathway	161	41	219	25
04913	Ovarian steroidogenesis	159	58	238	25
04914	Progesterone-mediated oocyte maturation	230	58	379	25
04915	Estrogen signaling pathway	180	58	279	25
04916	Melanogenesis	111	58	141	25
04917	Prolactin signaling pathway	176	58	271	25
04918	Thyroid hormone synthesis	171	58	261	25
04919					
04920	Adipocytokine signaling pathway	185	58	290	25
04921	Oxytocin signaling pathway	175	58	269	25
04922	Glucagon signaling pathway	183	58	285	25
04923					
04924	Renin secretion	120	58	159	25
04925	Aldosterone synthesis and secretion	212	58	343	25
04930	Type II diabetes mellitus	156	58	232	25
04931					
04932	Non-alcoholic fatty liver disease (NAFLD)	232	68	363	25
04933	AGE-RAGE signaling pathway in diabetic complications	275	58	470	25
04940	Type I diabetes mellitus	149	58	218	25
04950	Maturity onset diabetes of the young	214	58	347	25
04960	Aldosterone-regulated sodium reabsorption	237	58	393	25
04961	Endocrine and other factor-regulated calcium reabsorption	315	58	549	25
04962	Vasopressin-regulated water reabsorption	237	58	393	25
04964	Proximal tubule bicarbonate reclamation	237	58	393	25
04966	Collecting duct acid secretion	187	58	294	25
04970	Salivary secretion	136	58	192	25
04971	Gastric acid secretion	151	58	221	25
04972	Pancreatic secretion	141	58	201	25
04973	Carbohydrate digestion and absorption	223	58	366	25
04974	Protein digestion and absorption	195	58	310	25
04975	Fat digestion and absorption	183	58	285	25
04976	Bile secretion	114	58	148	25
04977	Vitamin digestion and absorption	198	58	316	25
04978	Mineral absorption	136	58	192	25
05010	Alzheimer's disease	132	58	184	25
05012					
05014	Amyotrophic lateral sclerosis (ALS)	204	58	327	25
05016	Huntington's disease	136	58	192	25
05020	Prion diseases	111	58	141	25
05030	Cocaine addiction	131	58	182	25
05031	Amphetamine addiction	152	58	224	25
05032	Morphine addiction	137	58	194	25
05033	Nicotine addiction	131	58	182	25
05034	Alcoholism	104	58	128	25
05100	Bacterial invasion of epithelial cells	215	58	350	25
05110	Vibrio cholerae infection	158	43	235	25
05111	Biofilm formation - Vibrio cholerae	206	58	332	25
05120	Epithelial cell signaling in Helicobacter pylori infection	300	58	519	25
05130	Pathogenic Escherichia coli infection	210	58	339	25
05131					
05132	Salmonella infection	143	58	206	25
05133	Pertussis	91	58	102	25
05134	Legionellosis	108	58	135	25
05140	Leishmaniasis	107	58	134	25
05142	Chagas disease (American trypanosomiasis)	116	58	151	25
05143	African trypanosomiasis	158	58	236	25
05144	Malaria	86	58	92	25
05145	Toxoplasmosis	115	58	150	25
05146	Amoebiasis	93	58	106	25
05150	Staphylococcus aureus infection	190	58	300	25
05152	Tuberculosis	106	58	131	25
05160	Hepatitis C	97	58	114	25
05161					
05162	Measles	86	58	92	25
05164	Influenza A	101	58	122	25
05166	HTLV-I infection	120	58	160	25
05168	Herpes simplex infection	152	58	224	25
05169	Epstein-Barr virus infection	169	58	257	25
05200					
05202	Transcriptional misregulation in cancer	222	58	363	25
05203	Viral carcinogenesis	143	58	206	25
05204	Chemical carcinogenesis	159	58	237	25
05205	Proteoglycans in cancer	161	58	241	25
05206	MicroRNAs in cancer	136	58	191	25
05210	Colorectal cancer	140	43	176	25
05211	Renal cell carcinoma	139	58	197	25
05212	Pancreatic cancer	132	58	183	25
05213	Endometrial cancer	131	58	181	25
05214	Glioma	86	58	92	25
05215	Prostate cancer	116	58	152	25
05216	Thyroid cancer	118	58	155	25
05217	Basal cell carcinoma	141	58	202	25
05218	Melanoma	93	58	106	25
05219	Bladder cancer	117	58	153	25
05220	Chronic myeloid leukemia	159	58	238	25
05221	Acute myeloid leukemia	151	58	223	25
05222	Small cell lung cancer	153	58	225	25
05223	Non-small cell lung cancer	170	58	260	25
05224	Breast cancer	123	58	165	25
05230	Central carbon metabolism in cancer	218	58	355	25
05231	Choline metabolism in cancer	185	58	289	25
05310	Asthma	82	58	83	25
05320	Autoimmune thyroid disease	169	58	257	25
05321	Inflammatory bowel disease (IBD)	200	68	300	25
05322	Systemic lupus erythematosus	176	58	272	25
05323	Rheumatoid arthritis	141	58	201	25
05330	Allograft rejection	135	58	189	25
05332	Graft-versus-host disease	157	58	233	25
05340	Primary immunodeficiency	158	58	236	25
05410	Hypertrophic cardiomyopathy (HCM)	200	58	319	25
05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	295	58	509	25
05414	Dilated cardiomyopathy	178	58	276	25
05416					
