cont1	cont2	bcpd	bcpd2
L-Azetidine 2-carboxylic acid	3.51345358223519	3.71727336331385	4.55775005606075	4.77758726435107
Formamide	5.37758459902869	5.31863371615052	5.07488871702652	7.18719010422145
Hydroxocobalamin	1.39008274221792	1.37593303873205	1.18276095105087	2.00262573471482
all-trans-4-Hydroxyretinoic acid	7.93110972312577	7.86980643489405	6.59492687100817	8.17421650723926
2,3,5-Trihydroxytoluene	5.3065066764238	5.83454312310291	6.63923495124744	6.30222161019623
N-Trimethyl-2-aminoethylphosphonate	9.34522334072431	9.34898724860656	9.58068805003339	9.38033725173634
Hydroxyaldehyde	5.95101905779932	6.06044481411912	5.76058487675161	6.85003024248853
Cefotaxime	3.58010713815637	3.87967567364137	3.60783277882816	2.91308556186703
Phenylacetothiohydroximate	6.22145270697811	6.63354397135034	4.99121703041387	7.06617059114702
4alpha-Methylzymosterol-4-carboxylate	3.1318047367115	2.93805320393057	3.4246462260021	4.26226828865818
Ophiobolin A	2.4927331995218	2.19618478074947	2.42100068472738	2.16915290150749
Protein N(tau)-methyl-L-histidine	5.58289247103493	5.99099701202024	6.36381098072924	4.27861035319809
tRNA(Glu)	4.11341625356313	4.14920659374323	5.4011742875807	5.69219061655748
alpha-D-Glucosylpoly(glycerol phosphate)	5.00221070326325	5.63780240066617	4.66126674431094	5.09267312347354
Cyclopiazonic acid	5.14868264830333	4.86690690283285	5.07789325801955	4.3768534736785
Acronycidine	3.82095810762386	3.51342007682869	4.07777158423473	3.40398894417735
Flavanone 7-O-beta-D-glucoside	3.862662534363	3.80409500994822	5.34740868251591	3.56195362611175
NMF	4.72964276975234	4.56204434878779	6.75741019068154	6.52155107604174
Clavulone IV	7.35617399314641	7.95620730056236	7.05760230208423	8.58562475467419
Angiotensin (1-7)	1.95286639914048	1.41698322022626	0.435779953609677	2.89712108867411
3-Methyleneoxindole	6.18789237525684	5.73155944052336	6.29304191382419	4.41913012124851
Spirolucidine	5.66590074242704	5.78381366758628	4.42022083867966	6.29422370026463
Staurosporine	7.12619967455273	7.37748096350489	8.46679574599557	8.44001696921819
Anisotropine methylbromide	4.3916321527314	3.97250102305736	6.35094536050848	5.37600425954741
Bisoprolol	5.74003761983258	5.79195795452244	5.24500715921704	6.48822373182302
Peptidoglycan	5.53419758154446	6.09641390061932	6.49361049317071	5.32919078974891
Arg-vasopressin	3.9149599380167	4.23179068511575	4.60323593851402	4.99304617253804
5-Ureido-4-imidazole carboxylate	7.41573561196634	6.72788082856346	5.83819986643254	7.85320232324067
Fluorobenzene	7.3208052313899	8.16578585629352	8.57880213645689	8.66216878886737
L-Glutamyl 1-phosphate	6.40042729903	6.07811724295128	4.48916181164954	6.24355042307179
Benzo[e]pyrene	8.17366690908169	8.27079397414787	8.01204504558239	9.18067831719136
Dihydrochelirubine	6.11697285113061	6.32763272225368	6.33848380690005	5.63462786028157
Kyotorphin	2.44681558308393	2.64322361992323	3.20866987538606	3.04052134912015
Adenosine-GDP-cobinamide	3.85346917152623	3.97713517384791	4.76283722830667	3.83621527136646
6-Keto-prostaglandin E1	2.55077477020329	3.25931672698541	5.5612952908504	4.08008694693168
Tetraphenylphosphonium	4.05319872712138	3.73811883422578	4.02366160334103	3.63262450678194
Carteolol	3.75926664555175	4.11485574108983	2.86323379662375	2.86949975068225
Digoxin	5.08423174628847	5.43094319593312	3.84205003901282	6.89086045359999
3-Oxosteroid	3.17815670289511	3.27825820509165	3.66443070129348	2.80582320385649
Fucoxanthin	5.31605754480815	5.03137728067205	4.75415169751802	4.72661928478141
Peptidylproline (omega=180)	3.69083071216236	3.92491963378584	2.93401586747345	3.68214168555865
Prephenate	8.53457453874529	9.19271361874613	8.95691865823756	8.50574845505481
(6R)-2-Acetyl-6-(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)-3-hydroxy-6-methyl-2,4-cyclohexadien-1-one	6.43341495203441	6.41305023075844	8.0392809392027	5.43266638478295
Nonacosane	6.82034845899045	7.2009984786385	8.15533230589727	8.19291057669441
1-Alkyl-sn-glycerol	5.76837071565269	6.22607033181527	4.69718783193734	6.22823971506631
Clomiphene	8.36435216103884	7.55089996757551	7.89569660208591	7.93372315244149
Zonisamide	3.72852709210205	3.40031975683677	4.07287202116694	2.86950404821417
Tyramine	4.07671053927887	4.35967890945855	5.13127199923687	5.22387488180733
Ac-Tyr-OEt	7.86456447708333	7.7049858620592	7.41628603513877	7.74122604970084
Angelicin	3.69860729337927	3.01922348690405	3.08060869417862	2.79301186042641
Beta-amyloid protein 40	4.58523851279607	4.88105269190978	4.08426937239285	4.90050658727827
3-Methylbutanol	4.21438414111603	3.90084827317781	5.19372669972943	3.0429199728219
Carbenicillin sodium	4.36001426290299	4.82003087974989	6.5628766597618	2.93827401391078
N-Acetyl-D-glucosaminylphosphatidylinositol	4.44177339404688	4.11889981645834	4.64775014795507	3.28821531676647
2-Aminobenzenesulfonate	5.98837666253565	5.87432746303968	6.36873461937586	6.43823617026674
Digitalose	4.64533903546079	4.92325013346355	5.00270662081407	5.20566254277005
Harmine	3.98808507577148	4.19070292034864	4.34783688095197	2.365062041748
Gramicidin S	7.68607765034082	7.52787943609173	8.57157299312896	5.81308641307125
Isoorientin	4.57084118290626	4.81590309699801	4.62246530329269	3.59449428507562
Streptozocin	4.64088693991323	4.54752114798355	5.89067382905646	4.69893586888328
2-Acyl-sn-glycero-3-phosphoethanolamine	4.79961851757288	5.17938622579827	5.84044879904118	5.127971238443
6-Demethylsterigmatocystin	6.42533261410281	6.42320801256856	6.04087118005632	8.61065049503314
Precursor Z	4.85287119174735	4.97202419783422	4.81619987971118	5.28889652833745
Quintozene	4.9247316570659	4.86463768997654	7.65828261955378	3.54037600456574
Retinol	3.63667904248869	3.3758453684064	5.19788228562553	3.07332603201176
NA	4.35145945550736	4.36417337730981	2.44175262391028	4.07572285188834
(+)-Bornane-2,5-dione	5.12032088086903	5.54912162617189	5.57107091621102	5.37212601251034
alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide	3.82221102748067	3.70901294193718	3.05037560135801	3.97187455350655
Mugineic acid	6.06299238526514	6.90509934514451	2.95913445062074	7.30057448720078
L-Serine O-sulfate	1.96321183642643	1.80763991674407	3.71271262460015	1.99588926566065
Phosphatidylglycerol	5.61311572157953	5.91130286238929	4.79813817795433	6.27040977877219
1-Pyrroline-2-carboxylate	1.92710035292483	1.84170133492164	0.347669566965954	0.61940136877969
Erythromycin D	4.39804774632678	4.93843176357028	4.41063895738688	5.08425479729657
3-Sulfinylpyruvate	3.94344019110999	3.85525808750385	6.10684931526196	2.67568683270308
Ferricytochrome b	3.695810438638	3.54868552311354	2.55052879179214	2.79605681286841
Nocardicin A	4.88620644430522	4.60330827165958	2.5293811428506	5.62100932796447
Luteolin	1.17128114863998	0.918288183518611	1.82372021623415	1.78543529150424
(S)-4-Hydroxymandelonitrile	7.35316662403712	8.25424509799089	7.22264491660289	8.25120803966033
Aspulvinone H	1.67005512757599	1.84698189934504	2.48410956936084	2.19247526377841
Acetylsulfamethoxazole	4.07293919705523	3.58396002207654	4.40243518568876	2.35831579415102
4-Trimethylammoniobutanal	2.76815978991431	2.27467657256704	2.71613324942989	2.4407606047136
N-Acetyl-D-galactosaminyl-1,4-beta-N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide	3.4983619976131	3.07212837896006	3.50611738318045	4.19798610862331
Dieldrin	9.17433309125669	8.42802388717329	10.0515352140182	8.49880719505778
3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	5.0347912393865	4.29975467437077	3.69309381545101	3.80896582809217
14'-apo-beta-Carotenal	2.42739893913135	2.7334779624281	3.1874868740434	3.19821255882521
2-Phenylacetamide	1.71878893116284	2.01728962394047	1.61464334124971	2.24728530731708
Indole-3-acetate	5.90037420254531	6.26291402118733	4.97523146884823	5.16203582247274
3-Chlorophenol	4.96288033457072	5.01603666996678	3.89701756467562	4.42548074206882
Aniline	4.36386325091231	4.26229889265263	4.59931706041973	4.71474995927669
Benzimidazole	3.1412757050926	3.45832936747883	3.00370898893492	4.25257569552465
Nalpha-Acetylpeptide	2.02507937971703	2.33374129770076	1.6220879276621	2.02800051966965
UMP	2.84961540676864	2.73361502112962	4.47877940206959	3.10317870008007
NA	7.00005760742783	7.39353522238201	8.03345990875357	7.12776898511768
alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R	3.75746661040635	3.81541830092421	3.30542068296738	4.11374557653221
12-O-Palmitoyl-16-hydroxyphorbol 13-acetate	2.23114630523102	2.29558671747391	0.505709457465523	1.83241889256968
Nigericin	8.73858124484716	9.29599219448683	7.36063247254653	8.36875352152311
UDP-N-acetylmuramoyl-L-alanine	5.8502007547449	6.0846358219273	6.1809619054758	6.12724484691054
N-Methylaniline	4.52270579817393	5.38872915807237	4.65003978926952	4.22562571449644
Secoisolariciresinol	7.11696609741804	7.17282348707452	7.40076015675408	7.53596825647309
Resveratrol	6.77284530274987	6.25605448853537	5.74885236782419	4.86505547959459
Brompheniramine	3.76151390353771	2.88784966033252	2.49477797603165	3.07708772389916
3-Demethylubiquinone-9	9.41220492908094	9.28635142515952	10.3616441490071	8.37250575950735
2D-5-O-Methyl-2,3,5/4,6-pentahydroxycyclohexanone	4.48994593971797	4.05135627254398	4.73379890930223	5.47338159565849
5-Methyl-H4SPT	2.15101069957438	2.2377319878545	2.10980036315428	2.4354986180413
N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosyl-R	4.71120079609156	4.35469789408389	4.30799623292928	4.84947640350253
Thioglycolate	5.41507667846469	5.7136996377118	5.62748222552114	4.4546158271216
Hesperidin	9.61595679811872	9.62160861563425	7.6261125651286	10.5130424814381
Hyaluronate	5.21160473578742	5.64577730974719	5.60046613876116	5.01484288009644
Spinosyn B	5.91399761084683	6.22223228109088	4.20327278023613	5.9623790247801
Xylose	4.84569412928694	4.6779505035714	5.81479572264481	4.26867167106213
beta-Citronellol	4.33199831526691	4.83233875427639	5.54307014674048	5.42634171218998
4-Amino-5-hydroxymethyl-2-methylpyrimidine	4.93054794337745	5.15628402443983	6.7381253099954	6.97381170176293
8,9-DHET	6.57527921126032	6.97214570951287	8.4954264099676	6.98803424651974
NA	9.15049001730457	8.80698588130405	9.26988837046538	7.72040998482854
Imidazole	7.05478487752754	6.89603680999643	7.25338217556384	7.3714906313893
N6,N6,O-Tridemethylpuromycin-5'-phosphate	7.41581679677341	7.62585641658066	7.0280793321891	6.77567162113348
Dopamine	2.53735315688391	2.3110802001342	1.79580929803981	0.917051816480469
Nojirimycin	6.96779114010676	7.0857054250997	8.47107637907368	7.54280165123654
1,2,4,5-Tetramethylbenzene	5.4398496073213	5.78924317124823	5.32529533301683	6.59240962321261
Podocarpic acid	2.06549994181551	1.67961655250944	3.55560863622199	2.4315909265381
Bifenthrin	6.04204548529628	5.57708426881781	5.72271935729696	5.60332570461558
Indolelactate	4.68249079056797	4.29630999462148	5.34034667963175	4.0282978333017
4alpha-Methylzymosterol	7.92917462393959	7.61468110698008	5.67331369264766	8.7918645446662
Isocarbostyril	3.46783600079067	2.62215194358394	2.93533803471124	1.29744521477665
1,2-Dibromoethane	4.13957649214291	3.62903828031226	4.05289115721411	3.57699181864021
tRNA(Arg)	3.14778100524513	2.22034654270337	2.45964121912011	3.52711740816095
6-Deoxy-5-ketofructose 1-phosphate	4.64579207712692	4.70594076524739	2.84214898257896	6.00913182474639
Diterpenoid EF-D	5.80402355897268	6.58472344127093	4.92799379102467	5.06848380079374
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	3.53650365376079	3.3830563822853	4.47597473897467	4.2309613526152
Metholone	6.66074633596335	7.17294956917804	8.39012047874376	7.31502653079775
O-Phosphorylhydroxylamine	2.58383442739107	3.24025958316889	2.86817175139869	3.68845883366641
(1S,4R)-Iso-dihydrocarvone	2.90403117438452	3.1758636857407	1.87429425491656	2.66360527503583
2-Dehydro-3-deoxy-6-phospho-D-galactonate	7.88231541368856	7.89990494309531	6.9105480457221	7.82051573432158
Syringin	2.9683050693907	3.26546880950009	3.98849169986616	2.48773091559249
4-Maleylacetoacetate	5.82394942463503	6.15525926502265	6.11352590176816	6.89802129181562
alpha-D-Fucoside	4.23784789778216	4.39679205443415	4.23389468726287	2.84024384126211
Somatostatin-14	5.81880367930187	5.89701379097731	6.06152247004872	4.4151768708792
Cyclopropylamine	8.37774657240809	8.43777354740611	8.29849983227421	8.89645671860849
5-Hydroxybisphenol A	8.17317686688394	8.41320743072175	11.3684623605834	6.87664491355113
Uracil 5-carboxylate	4.33818439863447	3.96684404122471	3.96541397893451	3.4179737470514
6-Deoxy-D-galactose	0.429528929415066	0.307926262482789	-1.14034917688936	-0.712324897216328
9alpha-Copalyl diphosphate	9.99532317966833	9.68864050182951	11.2662603238938	9.28956931876375
beta-Lactose	6.33413233353099	5.6392380348839	6.21752234499435	3.25776917682002
Nafcillin	6.0826546719274	6.18524186061745	5.7920401498607	5.44883464742137
2,4-Dinitrophenol	4.97320095370818	4.59672262231833	4.78080725274216	4.58334130708272
Hydroxymalonate	6.02021684590585	6.67195099391267	5.78318211288908	6.26802612193454
D-Methionine	4.67124833646067	4.57490618289411	3.98778869468832	3.94422285492492
Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside	5.84138928650903	5.58675381537869	7.28638728336096	5.68316802039416
2-Acyl-sn-glycero-3-phosphoserine	4.19950651204471	4.45047171217178	4.03784151145354	4.05712669731075
Azithromycin	2.25958424490508	1.97560842239186	2.29556732969483	1.53539435321447
Karakoline	6.97567653490976	6.88472406353882	5.55658054032018	6.10415011658843
Maltose 6'-phosphate	8.03949005099909	7.33687909276312	8.01844130754516	6.39484367420582
N2-Acetyl-L-aminoadipyl-delta-phosphate	4.38251886154877	4.2339075156368	3.96678588397781	2.6096758065037
N-Methylserotonin	2.49342048878462	2.92179369187741	1.0858602069111	2.10796870089771
L-Glyceraldehyde	6.28448261135565	6.95974271482793	5.96580304374355	5.35582171238185
Bilobalide	4.91058172621204	4.77041025227666	5.43684740622464	4.71234819124975
N-(2-Phenylethyl)-acetamide	1.53356318635032	1.84406994159309	2.17847729177144	4.21369398811282
Disopyramide	5.00426371936054	5.15251919534516	3.87499889643746	4.76048385237433
Sulfisoxazole	3.73939933214371	3.98767726030988	3.64718187924058	4.15204625691724
8(R)-HPODE	4.31806284027919	4.87310274963638	2.51840401504348	4.95882460390979
5-Guanidino-2-oxopentanoate	2.68685527472829	2.9491382766433	1.02119508138821	2.1840299979007
Melamine	8.60628381583493	8.30289930327871	8.41911703760637	9.43415228375206
6F-alpha-D-Galactosylsucrose	4.33773592721756	4.15543845812857	3.29886076456171	4.47274404864349
2,4,6-Trichlorophenol	1.78897317549385	1.93505106381168	0.822274307189941	2.37647321939463
L-Carnitinamide	5.39438687747896	5.5922232341356	3.71920400545813	5.62162126105615
1,3,6,8-Naphthalenetetrol	5.52635129281095	4.96757014085174	6.22125173754497	4.90953733305555
4-O-beta-D-Glucopyranosyl-D-mannose	3.02834659918142	2.43106585111817	3.23674911674943	2.63301927595184
GDP-4-dehydro-6-deoxy-D-mannose	-0.77784134335909	-0.804010965594893	0.60996708510631	-1.47677941594897
Triterpenoid	3.71903659486977	4.13506966331319	4.66183194583906	3.73847678004328
Polyneuridine aldehyde	6.14101527184097	6.27588851530737	6.17238169175194	5.88371288991552
Glycylglycine	4.88055344791478	4.37261141239864	4.30262474317218	3.95983568670578
(1R,4S)-Iso-dihydrocarvone	4.80364251198953	4.50168975354154	3.0669296118852	5.36704463205762
Deoxyuridine	6.12164145724023	5.29868350844025	4.86105476208026	6.94510683243905
Ononin	2.62708272284105	2.08505168445668	1.82057352431719	1.82618770836342
2-sec-Butylphenol	7.19355408854849	7.2800814729777	6.24678163723728	6.71547656923735
Punicic acid	4.98931194344367	5.2195014033216	3.23049941835882	5.22417320974116
2-Acetamidofluorene	6.41462133479616	6.84608879580078	5.16844882989212	6.77890069961604
Lipid	7.06821546947492	6.17168380842097	7.23090305414294	5.44953733021773
O-Acetylneuraminic acid	5.44696082983061	5.52692626158717	3.97678137788692	6.30784668432332
Mitoxantrone	3.24258477426796	2.97008112013451	2.07746924652799	3.65972827146207
(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate	7.32592911193466	7.47456276439842	7.38408060722311	7.15243041047755
Paroxetine	0.999670110429049	1.1102306479642	1.33542964410665	1.09304859826497
Sorbose	3.91041851999655	3.80164033449559	3.99558775086411	4.59213534374306
3-Oxohexanoic acid	4.48865858168602	4.18203575174101	3.70465747186059	4.21310194703188
(R)-Norcoclaurine	4.66775792646999	4.47958525668222	5.47465908616773	4.66193848855375
Juvenile hormone II acid	7.04092781756822	6.12275422552755	8.06328110021837	4.81434128289073
1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate	5.27244378620555	5.31054632129567	4.506936374231	6.83499768511994
9(S)-HETE	5.81433520684767	4.93695414357011	7.71505883578568	5.72581412459984
L-Homocitrulline	4.86069037397419	5.8139738385181	4.73669569828752	6.51007756400251
Zineb	4.50467131676134	4.53202052385767	6.35043762991357	4.75283060783953
Tetrathionate	6.39110161323928	6.31968148246543	7.91022278954981	7.03216709087905
tRNA(His)	7.2924567144316	6.39485490201159	6.90675319930908	6.48671851831303
4-Hydroxyphenylacetylglutamic acid	0.193807570216257	-0.33938919132991	-0.113554511556845	-1.49205500351014
Aliphatic amide	6.14547911049168	5.47908126608213	7.946957842486	6.99068401093831
Naproxen	5.74944881355731	4.86503020898911	4.51385216745201	5.65387639564369
Soyasapogenol A	4.14946455688785	4.70653949087637	3.129350878373	4.75077340571894
Ceftazidime	6.90202561515363	6.85296182286478	7.85155250023499	5.63649328862038
Capecitabine	4.22152563656324	4.34182088259399	5.42471835488392	4.84705991378169
Alendronic acid	4.43133867640085	4.80954070630882	2.68864392090936	4.8238502134893
Thioredoxin	6.71481955615961	7.00072626598619	6.24314587210796	5.56784483542207
Sulcatol	8.4392545982412	7.92670997926276	8.94312574869011	8.51543223624004
Tazarotene	5.54010980187446	5.80140090058784	5.0620080695957	5.71458752432161
Delphinidin 3,5,3'-triglucoside	4.15563198042472	4.41237618033115	1.65565945964234	4.87977707840193
Acetosyringone	2.62177341028083	3.03840984202532	4.18810676832358	1.71595625372899
Dioncopeltine A	4.33793404224198	4.07874408348256	5.12978204686269	3.50459559267877
2,4-Dinitroaniline	3.12034134697996	3.37570244698034	2.777322474543	1.46460638871287
Mycothiol	4.48213483376243	3.58689103016515	5.78377508622058	3.63106924284171
Santamarin	5.78875833644314	5.02388730961732	6.50105608271039	6.55006349680632
GT1a	3.29628581595227	3.45900188631139	3.02085828304417	4.24063903671958
2-Hydroxy-3-oxosuccinate	10.2983337621898	9.62364645669343	9.48874529041983	8.82876883879665
Lomefloxacin hydrochloride	5.31202335133016	4.97624287416338	4.74197144613916	2.62421116348276
NA	7.26041453490989	7.19250575538932	7.83632872480298	6.64694921833436
6-Deoxocathasterone	0.421752040319789	0.759656476061199	1.45080317523897	1.28067902652804
Barbinine	6.48200231439088	6.09300200745362	5.7703788456758	6.73156218904109
Lobeline	2.36750967909688	2.93571761756555	2.10378098307369	3.20424515359188
NA	6.83960735521828	7.12571080721028	7.88040359417751	8.49936842874225
D-Erythrulose	5.79626031090391	5.41569497091785	4.21438086945095	3.00865242956124
(S)-Hydroxyhexanoyl-CoA	4.18494284146046	4.52196291962014	4.09940229001994	6.65000931295658
NA	7.64851726035455	7.533510407185	9.16477116993357	8.19619833536428
Cetraxate	3.59753666150616	4.12931585467348	3.1822568769128	3.63011826708889
Ethosuximide	3.83877139151893	3.43069782511997	3.75965385313715	4.46940438838021
Quercetin 3,3',7-trissulfate	2.99785563794916	3.34360506164849	3.21549669063163	3.2701406728423
N-Acetyl-D-glucosamine 6-phosphate	3.66364278649321	4.12733420710267	4.73426376532962	5.14636754724374
2,3,4-Trichlorobiphenyl	6.89036990674617	5.97663174861227	6.59497693428071	6.59043449686407
3',5'-Cyclic IMP	5.86740429909032	5.91344307064336	7.48485074224914	4.41669360552402
3-Hydroxybenzoate	7.01031843535409	7.54465210055133	9.80071413555729	6.61157389739821
NA	4.21976267189264	3.51327284441855	3.48596307462845	2.30615329504029
Luteolinidin	5.7527405835493	5.75925345592872	4.2685286324943	6.47139826659901
(1S,2S,4R)-Iso-dihydrocarveol	5.48832984897299	5.92110179694275	5.94557606904266	7.1812192562766
Promethazine	2.14748531523492	2.2945206312491	1.82721476793731	3.17760586679059
Perazine	8.5568585749509	8.76661728031016	8.61279509704011	9.1374845522896
2,3-Dihydroxyindole	5.26889532186735	5.09562876861092	4.85201919966368	5.09518557240956
Pentobarbital	6.53119799831573	6.48272597352621	6.21720880048049	5.96972263966309
Reduced FMN	6.91027335381796	7.41063032278367	5.69181086724035	8.06017941432293
D-Threose	4.89886859711546	4.6535762708035	3.93783673836821	6.02206126155943
L-Serine	4.38836916046606	4.37801112409467	4.2297207231774	1.89147958769669
Theobromine	6.78734740485103	6.91693405156225	6.9708656683806	7.23217116884338
Norajmaline	2.90540370187741	3.23224955140838	2.16145703296109	3.646817078935
4-Bromophenylthiourea	8.9426747724483	9.01539742551899	8.21716408929103	9.09131787702569
N5-Ethyl-L-glutamine	4.23273578742328	4.73403114702674	4.93433601313486	4.3483867736183
Cyanide ion	8.30829060454998	8.55108545973649	6.79338414337758	8.3712178113465
1-O-(1Z-Tetradecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	8.02442538790126	8.13743954772878	7.79058788927529	9.93562576377189
Ethionamide	5.16593146717183	5.04235449827156	4.6538526657382	5.68885989459245
Menadione	6.134441829703	6.12838257604694	5.56167720571419	4.9154310931534
Stachyose	2.95090304093108	3.54607595812985	3.23528184930051	5.13684685863914
