Compound ID,cont1,cont2,exp1,exp2
C07251,6.139439255,6.096467641,6.98145424,7.108531194
C04050,4.729890792,4.960980042,5.047291328,3.785315572
C06940,9.803235521,9.984858273,8.294459989,10.4117484
C03017,4.921519995,4.445390862,5.090701633,4.92327601
C15525,6.379478725,7.168762686,6.241448496,6.807113624
C02876,5.056004318,4.625589324,4.659564841,4.960282771
C08267,3.513453582,3.591034048,4.681534172,2.891356973
C00488,5.377584599,5.812000753,5.333474584,5.822008506
C08230,1.390082742,1.421573115,0.456376586,0.253392319
C16677,7.931109723,8.519183069,6.78314479,8.437952735
C03338,5.306506676,6.392239135,4.577190132,6.162597477
C06459,9.345223341,9.791763214,9.506817019,8.870693496
C06461,5.951019058,6.346522299,6.033360565,6.817059915
C06885,3.580107138,3.169736207,2.592137045,3.866765188
C03719,6.221452707,6.899223063,6.585842791,5.87636449
C15808,3.131804737,3.114261564,2.713453852,2.071916469
C09145,2.4927332,2.656302933,2.519620698,2.378836399
C04087,5.582892471,5.628976262,6.178748348,6.499607141
C01641,4.113416254,4.042854975,1.823297281,4.334023458
C04508,5.002210703,5.834897223,4.422282006,6.294433429
C03032,5.148682648,5.968309126,4.519903236,6.275507711
C10631,3.820958108,3.483082579,5.013153798,2.957019124
C04007,3.862662534,3.69362867,4.255703326,3.850245113
C11489,4.72964277,4.729625591,4.39813016,3.681339017
C13814,7.356173993,6.866418394,8.259592387,6.606161751
C15850,1.952866399,2.199324363,0.844023961,2.611551875
C02796,6.187892375,6.42500801,5.689769986,5.920693176
C09903,5.665900742,6.208142588,5.635515058,4.787680135
C02079,7.126199675,6.791016308,9.066675504,6.811432078
C06830,4.391632153,4.793445934,6.009320008,4.477559381
C06852,5.74003762,6.106910461,6.059542331,6.709443235
C00889,5.534197582,5.475548423,5.511505793,4.644002731
C13662,3.914959938,3.410428628,3.042487781,2.819379513
C05515,7.415735612,7.314309719,8.268826992,7.583509297
C11272,7.320805231,7.987585495,8.531726285,6.7687379
C05765,6.400427299,6.689352705,7.565035082,5.772921323
C14435,8.173666909,8.411229161,6.087249131,8.363621009
C05194,6.116972851,4.962965679,7.024558999,4.394230426
C02993,2.446815583,2.453260164,2.071442571,4.666262939
C06510,3.853469172,4.099352741,3.551260606,3.899661165
C05962,2.55077477,2.096701084,1.178558387,2.161748374
C11152,4.053198727,3.862778232,2.756648403,2.374277057
C06874,3.759266646,3.885548541,3.888182011,5.942052679
C06956,5.084231746,5.149788303,5.098626165,4.700349357
C01876,3.178156703,3.561220045,3.173514672,3.727536999
C08596,5.316057545,5.263619016,7.528114958,5.767936089
C03798,3.690830712,3.672125855,3.259359513,5.318991518
C00254,8.534574539,8.967600096,8.624703437,8.9291887
C15591,6.433414952,6.455852655,6.214179096,6.450659188
C08384,6.820348459,6.307705013,6.674081296,4.215096128
C02773,5.768370716,5.410458126,7.230861097,6.083652284
C06917,8.364352161,8.673722021,6.784899862,7.792708643
C07504,3.728527092,4.035476781,4.337938852,3.853799314
C00483,4.076710539,4.357100138,4.474244294,2.895952937
C01657,7.864564477,8.080118675,9.033121456,9.435790185
C09060,3.698607293,4.15113929,4.89691458,5.02330845
C16514,4.585238513,4.409888029,4.684655829,6.178397643
C07328,4.214384141,4.775311145,4.281477095,4.467249715
C13967,4.360014263,3.824612431,5.842200697,3.029312541
C01288,4.441773394,4.747383539,4.361116704,1.711785154
C06333,5.988376663,5.830173953,7.431311327,5.113192465
C08235,4.645339035,4.928008622,4.588676148,4.974188541
C06538,3.988085076,3.941629664,5.178177375,5.5117184
C11218,7.68607765,7.493518494,9.204295333,6.41936324
C01821,4.570841183,4.590377141,4.633575566,6.017646163
C07313,4.64088694,4.765408142,4.885400903,4.502241189
C05973,4.799618518,4.797850442,3.253264976,3.806997305
C03683,6.425332614,6.347134477,6.986555944,5.438671662
C18239,4.852871192,4.496852522,4.84086088,3.967352041
C14338,4.924731657,5.403846105,5.990205118,3.959770902
C00473,3.636679042,3.655309047,2.658692945,2.305657132
C05602,4.351459456,4.456146618,4.855673035,3.792007691
C03037,5.120320881,5.65619899,5.676832544,4.212123787
C04936,3.822211027,4.502811504,3.134461397,4.56436428
C15500,6.062992385,6.683510511,7.025256927,8.947043208
C02703,1.963211836,1.83428937,3.307817779,1.838563464
C00344,5.613115722,5.87797258,6.18298569,6.371699437
C03564,1.927100353,2.582993481,0.282518504,1.944705448
C06633,4.398047746,3.870749186,4.382861933,3.738469294
C05527,3.943440191,3.397463873,4.925028542,2.617613265
C06260,3.695810439,3.745153522,4.747127838,4.41418525
C01941,4.886206444,4.649394299,6.619321229,5.591120918
C01514,1.171281149,2.042402671,1.738965413,2.777968771
C03742,7.353166624,7.854416498,6.294168346,8.084723147
C02008,1.670055128,0.599391842,-0.161258563,0.681184185
C13061,4.072939197,3.406546469,3.181455538,0.878731348
C01149,2.76815979,3.105150734,3.20931486,2.241093998
C04924,3.498361998,3.652564528,3.034587202,5.056899061
C13718,9.174333091,10.02972177,9.798039622,9.187944428
C04793,5.034791239,5.119910894,4.937240598,5.205104672
C06734,2.427398939,3.163608011,2.823410917,3.598964545
C02505,1.718788931,0.933909304,0.966312128,1.512186409
C00954,5.900374203,5.473933387,6.561616731,5.01790987
C14270,4.962880335,5.029342946,5.817525404,4.512101681
C00292,4.363863251,4.168397553,3.627940875,3.312577096
C02009,3.141275705,2.819698044,3.554694246,2.59450962
C03011,2.02507938,1.551729186,2.873696955,0.163056315
C00105,2.849615407,2.63398952,2.619973749,4.499451974
C03812,7.000057607,6.377229675,6.982689393,6.452769515
C04683,3.75746661,3.488777215,3.923115397,2.811315449
C09153,2.231146305,2.596576473,0.393970186,1.802287569
C11609,8.738581245,8.431686579,8.094879616,9.964481132
C01212,5.850200755,6.218309003,6.265713981,7.021382337
C02299,4.522705798,4.654383393,4.5599659,6.591602436
C18167,7.116966097,7.276012114,7.762363763,7.56545876
C03582,6.772845303,5.913697607,6.45695875,7.285121237
C06857,3.761513904,2.995573938,4.207266705,3.453105322
C03226,9.412204929,9.468909577,7.456371165,9.416987361
C01295,4.48994594,5.1902563,5.397299097,4.625235743
C18799,2.1510107,2.529254803,1.252030856,2.09858784
C04937,4.711200796,4.665695315,3.445378664,5.229277524
C02086,5.415076678,5.923610525,5.163328921,4.350371739
C09755,9.615956798,9.561877458,9.852134268,9.438042617
C00518,5.211604736,5.207715686,4.869011995,5.152741409
C11055,5.913997611,6.525906605,5.686745144,7.565304723
C01394,4.845694129,4.370126263,3.741500728,4.230587164
C09849,4.331998315,4.27372372,3.770505761,3.779965141
C01279,4.930547943,4.58459944,5.754194944,4.896264672
C14773,6.575279211,6.357755699,6.881643496,7.026787426
C07260,9.150490017,8.499708812,10.05390841,8.231077185
C01589,7.054784878,7.103213296,6.705971173,7.358751082
C07027,7.415816797,7.808258873,7.352271191,9.462012698
C03758,2.537353157,2.502521934,3.328468631,1.962517837
C06763,6.96779114,6.84883721,6.977798893,8.664703023
C14534,5.439849607,5.685284345,4.454103502,4.33563243
C09171,2.065499942,2.605312177,1.474765554,4.292793082
C10980,6.042045485,6.437153738,6.687443151,5.579851689
C02043,4.682490791,5.002465164,4.942004698,4.193426562
C05103,7.929174624,8.49452787,8.782266004,7.976174836
C06324,3.467836001,3.072226629,4.147264404,2.332076394
C11088,4.139576492,4.114293953,3.48566395,4.453475679
C01636,3.147781005,3.524624816,4.553575642,4.835448791
C16848,4.645792077,4.408014758,4.394098455,3.753999767
C09086,5.804023559,6.090896341,7.010140976,6.257213295
C04734,3.536503654,3.570555307,3.262943166,6.519408224
C14605,6.660746336,7.074808668,5.621104706,8.811703822
C03629,2.583834427,1.844988454,3.511915242,2.183989046
C11401,2.904031174,3.036592174,2.305076242,2.312309735
C01286,7.882315414,8.291286694,9.552091238,9.242204272
C01533,2.968305069,3.188781894,3.70387117,2.439968261
C01036,5.823949425,6.40029875,6.971046092,7.01197251
C02472,4.237847898,4.208160292,3.457969403,3.064795916
C16022,5.818803679,5.773541918,6.418420846,6.169743471
C14150,8.377746572,8.720338507,10.70163108,8.8660882
C13626,8.173176867,8.098943227,6.965508498,8.409737021
C03030,4.338184399,4.909405139,3.076914423,5.61388699
C01018,0.429528929,1.262235907,-0.161247573,2.71704018
C11902,9.99532318,9.768327138,9.888484833,9.778247727
C01970,6.334132334,5.899029764,8.169260601,5.000049921
C07250,6.082654672,6.611058749,7.569945668,6.35889558
C02496,4.973200954,5.260465694,5.796716911,5.503604707
C02287,6.020216846,6.308018603,6.413511925,7.607141879
C00855,4.671248336,4.285209044,5.277330094,3.823653589
C04698,5.841389287,5.907972798,8.195811728,5.230594276
C05974,4.199506512,4.623643858,4.783472374,4.937302718
C06838,2.259584245,2.113094619,1.281598147,0.760889563
C08693,6.975676535,7.111586183,6.604334127,7.20728607
C02995,8.039490051,7.112934907,6.744516426,6.12581107
C12987,4.382518862,4.857858027,6.055147401,4.362433116
C06212,2.493420489,1.937286078,1.647309228,2.333298056
C02426,6.284482611,5.650008602,7.970064147,6.894256095
C07605,4.910581726,5.431755256,3.766618947,5.32078546
C06746,1.533563186,1.828290459,0.972070632,3.176269715
C06965,5.004263719,4.775819924,6.084460546,5.673043743
C07318,3.739399332,3.57124701,4.317253639,4.605491116
C14831,4.31806284,4.676430592,3.662949976,4.737738491
C03771,2.686855275,3.123137043,2.622626044,2.334754666
C08737,8.606283816,8.585472419,7.458042952,8.521698777
C03848,4.337735927,4.069703989,3.314877354,3.340355765
C07098,1.788973175,1.629152678,1.636516262,2.736825898
C02290,5.394386877,5.567942916,5.907558021,4.814424216
C04033,5.526351293,5.451345727,6.898319621,5.903242536
C02964,3.028346599,2.630864618,3.364764228,4.145832949
C01222,-0.777841343,-1.146805424,-3.004644321,-2.470782609
C06085,3.719036595,3.710001995,3.592159329,3.213494506
C11632,6.141015272,6.136719331,6.784348602,6.649890475
C02037,4.880553448,4.680458667,3.617131932,5.63803424
C11412,4.803642512,4.730973842,6.010003598,6.378841288
C00526,6.121641457,6.197458036,5.341117342,7.386896694
C10509,2.627082723,2.828278308,3.201776768,2.83492394
C14138,7.193554089,7.863121873,7.630138585,8.825386415
C08364,4.989311943,6.008203204,5.052046327,6.141989167
C02778,6.414621335,6.623480871,5.499043,6.747216294
C01356,7.068215469,6.711247418,5.059659275,7.408271247
C03525,5.44696083,5.738285873,6.00818416,6.842900587
C11195,3.242584774,2.779015563,3.871496458,2.66813628
C06318,7.325929112,7.923242612,5.953712729,8.287670912
C07415,0.99967011,0.660370144,2.05098751,-0.501053705
C01452,3.91041852,4.033491296,4.466930183,3.039665524
C02122,4.488658582,5.261867548,3.971417316,6.301265666
C06347,4.667757926,4.948775267,3.940165039,6.734001317
C04834,7.040927818,7.047451705,7.879740772,5.993500708
C01294,5.272443786,5.529031195,7.014116207,6.80974338
C14779,5.814335207,6.476422794,7.183561978,6.506949129
C02427,4.860690374,4.516836185,5.133665642,4.341332366
C15232,4.504671317,4.751624914,4.264185213,4.28977645
C02084,6.391101613,6.925436239,4.945262153,6.796252758
C01643,7.292456714,7.078853203,7.325234193,3.729415478
C05595,0.19380757,0.405156708,1.277799933,0.641217063
C02244,6.14547911,6.115999819,5.576743857,6.184481267
C01517,5.749448814,5.793232608,5.96831387,6.228589142
C17419,4.149464557,4.589536909,3.521262681,5.213095173
C06889,6.902025615,6.840594414,6.431502141,6.961590055
C12650,4.221525637,4.159022472,4.021590861,3.503909607
C07752,4.431338676,4.276789426,3.728344531,4.561430948
C00342,6.714819556,6.376091759,4.871684778,7.355949309
C07288,8.439254598,7.570083877,8.33430897,7.60395811
C12531,5.540109802,5.252947322,6.254898511,4.719038534
C16314,4.15563198,4.835545084,3.013161041,4.480349365
C10664,2.62177341,2.594096098,1.936105779,1.221879715
C12339,4.337934042,3.826658506,5.255330661,3.569482917
C14713,3.120341347,2.890178253,4.21416604,0.42737076
C06717,4.482134834,3.92627704,3.782457759,4.144811507
C09544,5.788758336,5.187721333,5.243063868,7.051803001
C06138,3.296285816,3.668787304,2.937072312,3.000250843
C03459,10.29833376,10.18188213,10.02489429,11.05352086
C08053,5.312023351,5.582891268,4.799685861,4.732416668
C02169,7.260414535,7.009706378,8.167767692,5.127103868
C15798,0.42175204,-0.15523903,0.800629522,-1.130337554
C08662,6.482002314,6.245821689,9.457085745,6.733153512
C07475,2.367509679,2.05061096,2.377430268,2.020225276
C04813,6.839607355,6.466859365,5.713331011,7.018449294
C02022,5.796260311,5.789181685,6.232540037,5.392742208
C05268,4.184942841,4.582167966,5.843570747,3.911428237
C01195,7.64851726,7.66594327,7.864573454,7.909082283
C01564,3.597536662,2.78812427,1.614230155,2.840933617
C07505,3.838771392,4.59670971,3.580426173,5.575432279
C03897,2.997855638,3.469983053,1.576147325,3.201351426
C00357,3.663642786,4.629308178,3.115675368,3.688649867
C14357,6.890369907,6.794104641,5.479271503,5.159358431
C00943,5.867404299,6.695920065,5.740527033,6.852533851
C00587,7.010318435,7.103404066,7.566830099,5.990789783
C01662,4.219762672,4.070375334,4.492115628,5.628532167
C08652,5.752740584,5.419402331,3.845122825,5.504596109
C11399,5.488329849,4.902966617,4.744859766,5.027932369
C07404,2.147485315,2.561773019,0.991493508,1.292000486
C16903,8.556858575,9.074008459,8.09501011,7.826109966
C02775,5.268895322,5.72648914,6.599734922,4.509212512
C07422,6.531197998,6.813281431,7.231244291,7.551946649
C01847,6.910273354,7.025411331,8.294730349,8.305832332
C06463,4.898868597,5.001921854,5.578214234,4.940753768
C00065,4.38836916,5.186363658,5.521419316,4.321840159
C07480,6.787347405,6.60910567,6.184775291,7.230273873
C11810,2.905403702,2.634846121,1.873867581,1.327304642
C14644,8.942674772,9.107317009,9.781411337,7.664648796
C01047,4.232735787,3.99799522,4.856294051,3.457991123
C00177,8.308290605,7.798543559,9.446561329,8.16711838
C13895,8.024425388,7.665667157,8.160430619,6.219827696
C07665,5.165931467,5.366995524,5.440080104,7.08440507
C05377,6.13444183,6.894453735,5.914211218,6.55926168
C01613,2.950903041,3.574436585,3.455220114,3.016331405
C14397,5.646013006,5.203795447,4.891380664,4.868946462
C03120,7.087224917,7.158104387,7.884638714,8.439340586
C00806,5.198156974,6.010922306,6.176879543,8.289320429
C08861,4.091726182,4.655350686,5.368338278,2.310131192
C02824,3.688436295,4.068353551,3.619917109,2.249460843
C06140,4.928155155,5.012038876,3.479948829,3.715488552
C11344,7.138322921,7.627585636,8.13110078,6.896157194
C04424,4.032050139,4.466871324,5.208974769,5.495766872
C05441,4.757979777,4.680583315,6.681740093,4.321369811
C04063,2.411719992,2.093519947,2.956716773,2.547468308
C07274,5.988625672,5.87272273,7.07533586,6.420345163
C02972,7.61580304,7.041382902,6.601963728,6.363921136
C04611,7.994082019,8.345024518,7.656206661,7.706736486
C07887,6.629405462,6.58731954,6.119465988,5.979503357
C14010,1.26042242,0.326548882,0.361442576,-0.543643981
C00519,5.964059008,5.525232928,6.702724226,2.786310758
C14513,5.912271207,6.06674858,6.336057476,5.840104521
C01759,4.293199428,4.701567088,4.443291219,4.841325614
C00882,5.340978942,5.491046221,7.567679201,6.484837416
C09131,3.271928092,2.815570105,4.90345046,2.585928448
C13198,6.358461548,6.057782164,6.933627471,7.572750496
C00964,4.345797971,5.571607528,5.463014263,4.791083413
C01407,1.86183563,2.436557488,2.008973379,3.084533195
C06027,4.265098488,4.394120653,3.200489136,3.57588629
C09672,7.728869858,7.685875904,7.085362504,7.693356
C08848,4.331437271,4.310824136,4.429788918,2.459473867
C00035,6.465500084,6.78140972,5.264012769,6.277094886
C03709,6.89317128,6.806009063,7.800757428,5.401782644
C08286,5.008797409,4.790996457,4.669111155,5.522186526
C06768,4.295355389,4.185523259,5.766426117,4.216049594
C08146,3.940608982,3.951658542,3.643897864,4.131315636
C06572,6.479178451,6.867049338,6.889033818,5.488201076
C00791,2.873085169,1.993322571,2.460355254,4.560883356
C06380,5.492421687,6.271659206,4.61423138,7.413115963
C03340,4.421001267,4.492942554,4.773940653,5.174989042
C05401,0.470221287,0.636243992,1.805797439,1.281274808
C03927,2.182299088,2.441035289,2.063210844,2.90233144
C11620,6.832038658,6.570438664,7.162540671,6.321797432
C13810,4.617442099,4.169462312,3.611453611,4.423383062
C05938,6.606566432,6.20466833,4.892611682,7.150845831
C01048,8.774948927,9.001656343,9.211228652,8.753899097
C05966,7.947762362,8.20141359,8.223176811,7.475477004
C05116,6.354536985,5.870522601,4.783998949,7.879028364
C06812,5.759925373,5.722756407,5.425076388,3.65084427
C00968,4.614403147,4.023039516,5.839253127,3.552208386
C00764,8.15578359,8.310935857,8.475288301,8.191152319
C00112,6.192468219,5.98821803,6.502049269,4.928779911
C11952,2.652846118,2.331724348,3.468815376,1.982694943
C01779,4.68871493,4.79923522,5.104228157,3.860110943
C14418,1.162180359,1.616923794,0.663689216,1.289641326
C01110,4.609482308,3.933151065,3.089293546,5.501386782
C01769,-0.18465534,-0.386042383,-0.667263233,0.812264903
C03090,7.628004334,8.396698468,7.285507768,8.145353258
C07334,3.728913998,3.955331881,5.095758855,3.512459647
C00128,4.140042323,5.187566064,4.006188175,5.581264544
C05529,4.661363335,4.101691024,3.516699392,4.246024958
C08302,6.224436348,6.286051178,6.074910439,4.907202916
C02660,6.356680354,5.991306021,6.05867014,6.041397135
C04251,6.135903945,6.612305934,4.640179495,8.952099183
C05539,3.854914792,4.389753748,4.130329241,4.372759324
C15999,2.273417487,2.457590806,3.60290919,4.481568934
C04136,4.222555511,4.89356655,4.93373423,6.95308447
C02713,5.555828265,5.942593053,4.621393309,6.830241875
C00825,3.353837757,2.776778577,3.638727223,1.490759806
C06467,4.862318131,4.756657497,3.862938375,6.694093613
C06755,2.664675348,3.074083026,2.05045378,3.767655319
C05810,4.983381972,4.06276518,4.376680079,4.758064435
C00045,5.257710803,5.3865925,5.840988057,5.490854348
C06656,4.708248743,4.533067115,4.589314793,2.898668887
C09133,4.672178087,4.502893107,4.712071308,3.798747102
C07445,8.527104006,8.083586957,9.592577467,9.011667771
C00579,6.525173025,6.672780701,6.822854968,8.507908968
C03190,7.222862161,7.331707888,7.217675692,7.321073891
C01131,3.153586094,3.389546103,1.334693387,5.468056369
C05135,5.328683677,5.47747873,4.471869338,5.420815843
C04092,7.309650374,7.488040174,7.019737835,8.055870559
C04074,4.886957151,5.097696527,4.41748676,3.748044611
C01691,0.741278704,0.48205168,0.836978591,0.936740924
C08021,5.689691524,6.098426352,6.144380768,6.620808635
C14082,1.190089109,1.627781223,1.048789789,3.493243676
C01728,3.377659694,3.408582087,2.375685325,2.96192657
C11480,7.648008643,7.538153359,9.496662157,8.001327358
C02939,6.231273699,6.261382276,7.212862049,5.631209221
C12486,7.183337911,7.571545563,6.453983124,7.369087588
C16422,5.613209723,5.404680314,6.678683184,6.407951408
C08348,4.779682475,5.113014998,5.672828832,5.417375332
C04458,3.151374454,3.433473444,3.438681613,0.905658323
C06821,8.185827507,7.364025467,8.302835124,8.904667953
C01217,5.090021196,4.81632142,5.449682709,3.952264684
C05979,3.569743199,3.064448099,3.197496157,3.935078978
C05445,6.730446199,7.192957337,5.397586913,8.192584088
C06327,7.148881917,6.729607652,6.249403162,6.130652719
C03592,8.791309548,8.621090024,9.436707214,8.49041728
C05658,3.794005393,3.700056142,4.265073209,4.80437969
C11545,4.218264359,4.694379994,4.060174563,4.758821229
C01640,4.167555937,4.383841426,3.108117817,4.994269806
C03492,4.248685154,4.212979351,4.699244431,3.856233748
C07864,4.266738109,3.981870408,4.556458696,4.94413495
C04877,4.408645095,4.610329555,5.03174571,2.841010238
C01536,7.88364082,7.840983594,7.726595262,10.20219443
C15544,3.604923416,2.571446138,5.338038201,3.14323106
C03344,4.223664988,4.604544807,5.431330554,5.28397321
C03799,6.305072904,6.494937949,7.316240495,6.884589621
C02765,7.249544893,7.072428184,6.840609874,8.450559309
C13355,3.455778394,3.518482435,3.417366997,3.437252102
C10923,3.983827568,3.684335491,4.469647273,3.828330603
C16390,6.047241181,6.858959034,6.887361229,6.61847293
C02906,7.035508453,7.081242269,7.138202711,7.243517187
C07566,4.497670824,5.052944536,4.921001937,4.367294345
C04390,2.140013105,2.682606741,2.032913135,3.325940071
C03641,8.418242064,8.133289394,7.273945589,6.906216054
C07949,7.870139145,7.594087547,10.6968364,7.053471179
C06141,3.579257708,3.688955898,2.95588433,2.544659423
C15570,4.869864853,4.717550201,4.717407939,5.432690059
C12263,1.481062529,1.927394039,0.636012414,2.438415315
C02010,6.139445944,6.208386018,7.316370574,7.663190292
C07882,8.224693596,8.429719403,9.132729713,9.76968256
C03965,1.725438706,1.01855733,0.929867207,1.779939257
C14734,3.440862974,3.172773601,4.739986249,3.918462137
C00060,3.717646132,3.828427312,3.966918325,3.075798176
C04656,3.637737213,3.810524323,2.721392147,3.788350824
C00101,0.933428809,0.549072187,2.435691923,0.039132713
C05984,6.001927118,6.012899345,5.139737603,3.722780372
C02549,1.93640372,1.788563018,4.29861461,2.865836644
C01871,4.950004721,5.273141697,6.638378457,5.323232811
C00941,6.185969442,6.304982537,5.808348646,3.791892517
C13700,4.603609157,4.612831435,4.286444302,3.818269213
C06732,6.784016785,7.22478257,6.039371164,7.081412222
C13016,4.948569858,4.883748461,7.63873785,4.620751235
C01099,3.704679099,3.739296987,3.478035039,1.139873129
C14422,6.29271883,6.299517991,7.552257693,7.536566503
C11391,4.13233452,4.192403492,3.276514063,4.89994885
C01405,8.54522237,8.738388183,7.534663244,8.214166076
C00159,4.963480578,5.316523935,5.441370601,5.727397393
C00892,6.705629987,6.831999919,6.682785603,6.610556013
C00489,5.410325806,5.501621156,6.064832724,4.419621083
C00127,-1.016097198,-1.059450953,-2.731687094,-1.230907102
C11025,2.267776137,2.709800536,2.136370479,1.584170484
C00257,4.15179548,4.387283118,3.980853384,5.879286052
C00153,5.473607327,5.347054238,4.728961706,6.919396979
C00301,0.314553759,0.461096412,0.016897187,0.31829921
C01324,6.923393267,6.618957443,6.778474385,5.777247308
C00194,3.791148532,3.636098009,3.866688373,3.485542382
C03413,3.494245441,2.553924239,3.298748131,3.457342632
C04336,1.888776815,1.582656873,2.21081862,2.263207547
C02779,2.092212524,2.277079531,2.431213116,0.975981249
C11054,5.112663672,5.982224661,5.577794507,5.51139353
C06791,6.018738813,5.204052052,5.824432879,4.287706987
C02727,0.80423408,0.867689107,0.243245282,-0.020641402
C05297,2.991276041,2.688630129,3.485002898,1.689250373
C03783,6.071543445,5.987290647,7.353052484,6.307016023
C16565,4.093925831,4.396431862,4.078740018,3.143900523
C05775,9.330737004,8.930843211,9.723571606,6.908199114
C00392,7.491493345,7.113995536,7.512371938,9.210679947
C11991,6.190996068,6.178143641,5.205249963,5.731031545
C08817,5.009768899,4.4039679,4.596750188,4.160658965
C04738,5.558721564,4.911107756,7.655405975,2.910859684
C00566,3.588187749,3.43290225,3.714804304,3.851239057
C04718,6.256034306,6.104593115,7.647367998,6.514412864
C07518,7.96042792,7.322408454,9.149779614,6.585003383
C02142,7.16685982,6.723285156,8.838778277,6.253814765
C05634,3.373511487,3.395711757,3.35981374,2.496233003
C01674,1.762246302,1.213198726,1.554915254,-0.772244859
C06880,4.780688601,5.329214889,6.004965394,5.720813301
C04330,5.881778742,5.058164723,6.56574419,4.293924217
C15025,7.70198796,7.305377764,7.999669903,7.194407968
C14358,2.362781031,2.463554589,1.236784143,3.361677899
C02060,5.728769185,5.303191147,5.129256625,5.567006117
C10119,5.46699967,5.380238768,4.323635294,5.981326747
C03293,7.387910523,7.052610933,7.998338902,8.789506086
C01261,4.944180056,5.207689508,5.404263881,4.283951244
C07577,4.285402291,4.46620531,4.158525025,5.123469902
C00394,2.706371728,3.026357245,1.535830018,1.772329176
C14202,3.965159033,4.111050508,3.005266813,4.454190889
C03594,4.275752455,5.110130924,4.780069528,3.663512797
C09821,9.701108652,9.672514709,8.931945649,7.94962341
C15611,9.893062751,9.973998038,8.042273189,9.466501226
C00682,4.666593441,4.054685988,4.205070256,3.697644178
C12864,2.912665122,2.777429864,4.946529127,0.766752683
C00645,1.054130132,1.435784677,-0.804031299,-0.303264801
C05302,6.029343267,6.062080276,4.178553704,6.377330125
C14299,2.818852833,3.502060039,2.199045018,4.550275525
C02965,9.569318651,10.37173987,9.605536823,10.0194873
C03281,3.228764855,2.913596316,3.998675522,2.761139402
C06361,5.222212859,4.418113185,4.809482944,5.115137013
C01468,12.62055336,13.0751029,12.5475945,13.29820386
C08117,2.782180004,3.528210849,0.808484226,6.503294279
C05815,5.615133249,6.02498025,6.440476554,4.181845472
