"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"	"exp2"	"exp3"	"exp4"	"exp5"	"exp6"
"aga00052 Galactose metabolism"	0.426204533605073	-0.210513245388553	0.691688580490269	0.843384030317268	21	0.15105121435795	0.123026779106644	0.577395767310059	0.765028147674322	0.964312401161023	0.757208975073776
"aga00062 Fatty acid elongation"	0.494649189572983	-0.213073637463844	0.69328061217674	0.843384030317268	12	0.255306735072061	0.253399392640074	0.421209765699318	0.743322002125688	0.817465168174378	0.884649616378083
"aga00270 Cysteine and methionine metabolism"	0.522888589389359	-0.221061126726977	0.702100548509027	0.843384030317268	21	0.524713344084383	0.482973242964297	0.914857645779901	0.357705687859354	0.770944369898587	0.31967406133786
"aga02010 ABC transporters"	0.530410703259335	-0.224613261823091	0.70587576450467	0.843384030317268	16	0.318202824570974	0.676452088446362	0.723392724333443	0.836677063389777	0.660809552451798	0.258657032417173
"aga04512 ECM-receptor interaction"	0.487988625918027	-0.267627639385302	0.729353688814805	0.844742943866024	14	0.33029010081312	0.761296858841389	0.979874585546842	0.554403592312541	0.342448575130204	0.288680008151509
"aga00310 Lysine degradation"	0.550229749419226	-0.26390625534976	0.739319636933622	0.844742943866024	29	0.302452650402455	0.79023593288747	0.579883820165921	0.741369074090079	0.803736269645171	0.336016972691107
"aga00790 Folate biosynthesis"	0.570558485136243	-0.274404704907994	0.746067777044756	0.844742943866024	15	0.33312181862083	0.796185871250338	0.782385674560459	0.429661523297502	0.61341745522084	0.630783001673715
"aga00511 Other glycan degradation"	0.597772436942934	-0.27356111256484	0.746382798725028	0.844742943866024	16	0.688434173133212	0.458287694689565	0.725421658813517	0.570944198917422	0.585425625244215	0.596429050215225
"aga00010 Glycolysis / Gluconeogenesis"	0.558087674129197	-0.281003222000522	0.752923058663195	0.844742943866024	32	0.709556892917654	0.6235835081438	0.407525179303686	0.767507538760407	0.264021578535437	0.826906146923385
"aga00020 Citrate cycle (TCA cycle)"	0.617769792719711	-0.315330510678409	0.778844328601993	0.862463034566426	29	0.505788981989104	0.59793204497675	0.71215606507277	0.683714884899764	0.617415447635014	0.611379841168666
"aga03013 RNA transport"	0.577328238136281	-0.329287063542456	0.789624551795864	0.862463034566426	119	0.737527395801272	0.692241547982132	0.394839150703885	0.765398362111342	0.822636014509188	0.291732978132768
"aga00330 Arginine and proline metabolism"	0.603222725676221	-0.349193224910688	0.802307247584634	0.862463034566426	31	0.713654020536108	0.319300671563874	0.674058104906854	0.627627212471358	0.603001993768261	0.828821046717533
"aga00531 Glycosaminoglycan degradation"	0.588017878082312	-0.36097292321691	0.806215445355572	0.862463034566426	15	0.478901647135195	0.563646543274059	0.47019748456203	0.908869095332542	0.438492013356261	0.817234475841227
"aga00040 Pentose and glucuronate interconversions"	0.588639596092827	-0.374537627366039	0.817015598665196	0.863970518128713	21	0.536734408808007	0.313617589754266	0.473110121569378	0.864856583341866	0.83902705716507	0.719871007792542
"aga03010 Ribosome"	0.583033791150819	-0.394053260832836	0.83228095143575	0.870111903773738	129	0.688927383271336	0.243239942746243	0.475353483136238	0.828168167159577	0.665932820335713	0.894104711560263
"aga04120 Ubiquitin mediated proteolysis"	0.625149184162259	-0.525801498515521	0.900287724588259	0.924028736899734	83	0.791295401289059	0.648305435340934	0.278895756136559	0.925127535238209	0.84401121030285	0.534308372806845
"aga03008 Ribosome biogenesis in eukaryotes"	0.688826816410954	-0.534009240253614	0.903941155662783	0.924028736899734	68	0.693421426479997	0.725719997258546	0.716738441173556	0.841544224835889	0.514387539795497	0.684172868005128
"aga00071 Fatty acid degradation"	0.664761624326164	-0.648376778461812	0.941295073106786	0.951638975009058	27	0.870270816180974	0.52537031389744	0.441893583433089	0.884475605978304	0.940458947559738	0.513490360419812
"aga03022 Basal transcription factors"	0.751426550945289	-0.780832430524197	0.971158708323078	0.971158708323078	36	0.83891291171108	0.821533388300678	0.817698158704173	0.602147962982936	0.579894648040179	0.914811845036424
"aga03450 Non-homologous end-joining"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga04122 Sulfur relay system"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga04711 Circadian rhythm - fly"	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA
"aga00053 Ascorbate and aldarate metabolism"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00061 Fatty acid biosynthesis"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00072 Synthesis and degradation of ketone bodies"	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA
"aga00100 Steroid biosynthesis"	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"aga00232 Caffeine metabolism"	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"aga00290 Valine, leucine and isoleucine biosynthesis"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"aga00300 Lysine biosynthesis"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
"aga00340 Histidine metabolism"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00400 Phenylalanine, tyrosine and tryptophan biosynthesis"	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"aga00430 Taurine and hypotaurine metabolism"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga00450 Selenocompound metabolism"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga00460 Cyanoamino acid metabolism"	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"aga00472 D-Arginine and D-ornithine metabolism"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"aga00512 Mucin type O-Glycan biosynthesis"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA
"aga00533 Glycosaminoglycan biosynthesis - keratan sulfate"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"aga00592 alpha-Linolenic acid metabolism"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00601 Glycosphingolipid biosynthesis - lacto and neolacto series"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"aga00603 Glycosphingolipid biosynthesis - globo series"	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA
"aga00604 Glycosphingolipid biosynthesis - ganglio series"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga00730 Thiamine metabolism"	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA
"aga00750 Vitamin B6 metabolism"	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA
"aga00780 Biotin metabolism"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
"aga00785 Lipoic acid metabolism"	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA
"aga00830 Retinol metabolism"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA
"aga00920 Sulfur metabolism"	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA
"aga03022 Basal transcription factors"	0.205184537464404	-0.780832430524197	0.0288412916769219	0.940769023350316	36	0.16108708828892	0.178466611699322	0.182301841295827	0.397852037017064	0.420105351959821	0.0851881549635759
"aga00071 Fatty acid degradation"	0.220520283700098	-0.648376778461812	0.0587049268932138	0.940769023350316	27	0.129729183819026	0.47462968610256	0.558106416566911	0.115524394021696	0.0595410524402625	0.486509639580188
"aga03008 Ribosome biogenesis in eukaryotes"	0.288687836583504	-0.534009240253614	0.0960588443372169	0.940769023350316	68	0.306578573520003	0.274280002741454	0.283261558826444	0.158455775164111	0.485612460204503	0.315827131994872
"aga04120 Ubiquitin mediated proteolysis"	0.256961630383402	-0.525801498515521	0.0997122754117409	0.940769023350316	83	0.208704598710941	0.351694564659066	0.721104243863441	0.074872464761791	0.15598878969715	0.465691627193155
"aga03010 Ribosome"	0.301474193088329	-0.394053260832836	0.16771904856425	0.940769023350316	129	0.311072616728664	0.756760057253757	0.524646516863762	0.171831832840423	0.334067179664287	0.105895288439737
"aga00040 Pentose and glucuronate interconversions"	0.317324531196062	-0.374537627366039	0.182984401334804	0.940769023350316	21	0.463265591191993	0.686382410245734	0.526889878430622	0.135143416658134	0.16097294283493	0.280128992207458
"aga00531 Glycosaminoglycan degradation"	0.322575470060777	-0.36097292321691	0.193784554644428	0.940769023350316	15	0.521098352864805	0.436353456725941	0.52980251543797	0.0911309046674578	0.561507986643739	0.182765524158773
"aga00330 Arginine and proline metabolism"	0.342268714989532	-0.349193224910688	0.197692752415366	0.940769023350316	31	0.286345979463892	0.680699328436126	0.325941895093146	0.372372787528642	0.396998006231739	0.171178953282467
"aga03013 RNA transport"	0.336067396930708	-0.329287063542456	0.210375448204136	0.940769023350316	119	0.262472604198728	0.307758452017868	0.605160849296115	0.234601637888657	0.177363985490812	0.708267021867232
"aga00020 Citrate cycle (TCA cycle)"	0.37292091927185	-0.315330510678409	0.221155671398007	0.940769023350316	29	0.494211018010896	0.40206795502325	0.28784393492723	0.316285115100236	0.382584552364986	0.388620158831334
"aga00010 Glycolysis / Gluconeogenesis"	0.352500066136599	-0.281003222000522	0.247076941336805	0.940769023350316	32	0.290443107082346	0.3764164918562	0.592474820696314	0.232492461239593	0.735978421464563	0.173093853076615
"aga00511 Other glycan degradation"	0.386370079680168	-0.27356111256484	0.253617201274972	0.940769023350316	16	0.311565826866788	0.541712305310434	0.274578341186483	0.429055801082578	0.414574374755785	0.403570949784775
"aga00790 Folate biosynthesis"	0.366103723530066	-0.274404704907994	0.253932222955244	0.940769023350316	15	0.66687818137917	0.203814128749662	0.217614325439541	0.570338476702498	0.38658254477916	0.369216998326285
"aga00310 Lysine degradation"	0.357046910556715	-0.26390625534976	0.260680363066378	0.940769023350316	29	0.697547349597545	0.20976406711253	0.420116179834079	0.258630925909921	0.196263730354829	0.663983027308893
"aga04512 ECM-receptor interaction"	0.295849621080959	-0.267627639385302	0.270646311185195	0.940769023350316	14	0.66970989918688	0.238703141158611	0.0201254144531575	0.445596407687459	0.657551424869796	0.711319991848491
"aga02010 ABC transporters"	0.368548425794307	-0.224613261823091	0.29412423549533	0.940769023350316	16	0.681797175429026	0.323547911553638	0.276607275666557	0.163322936610223	0.339190447548202	0.741342967582827
"aga00270 Cysteine and methionine metabolism"	0.357685275180333	-0.221061126726977	0.297899451490973	0.940769023350316	21	0.475286655915617	0.517026757035703	0.0851423542200989	0.642294312140646	0.229055630101413	0.68032593866214
"aga00062 Fatty acid elongation"	0.346782148278537	-0.213073637463844	0.30671938782326	0.940769023350316	12	0.744693264927939	0.746600607359926	0.578790234300682	0.256677997874312	0.182534831825622	0.115350383621917
"aga00052 Galactose metabolism"	0.293603510454105	-0.210513245388553	0.30831141950973	0.940769023350316	21	0.84894878564205	0.876973220893356	0.422604232689941	0.234971852325678	0.0356875988389772	0.242791024926224
"aga00600 Sphingolipid metabolism"	0.307670054715764	-0.201949846287902	0.313990662534186	0.940769023350316	25	0.663612711177719	0.0726553428483077	0.846307886489807	0.207685877408315	0.128136601289485	0.781125050729101
"aga03420 Nucleotide excision repair"	0.368684954216228	-0.188919603910708	0.323353696977665	0.940769023350316	39	0.103047382722148	0.623403313966512	0.455070087500269	0.488156793799995	0.75873029276264	0.231953732066406
"aga04630 Jak-STAT signaling pathway"	0.385780924582069	-0.184266541964116	0.327816348001034	0.940769023350316	19	0.262716246429945	0.453645309412345	0.715534097284732	0.253836299612898	0.216197233428392	0.704379889670461
"aga00051 Fructose and mannose metabolism"	0.411891798663229	-0.15398747150136	0.35392724345473	0.940769023350316	22	0.397066719578622	0.770424193030467	0.379567171765796	0.238111979426443	0.497298155693792	0.35515565160473
"aga00500 Starch and sucrose metabolism"	0.395607340669837	-0.152762310949221	0.355127171630012	0.940769023350316	23	0.367073559110413	0.446085251720372	0.82362355768518	0.529844772878967	0.173886795164699	0.308511291584201
"aga03018 RNA degradation"	0.408246010004224	-0.131995843072434	0.373949520687475	0.940769023350316	54	0.457640834055407	0.458503365825963	0.132693409951601	0.551727135227721	0.738975183028994	0.407812791665606
"aga00670 One carbon pool by folate"	0.362067516177685	-0.126574264230364	0.377428829381448	0.940769023350316	12	0.357772189236455	0.807125280159591	0.880053587406406	0.248617373769822	0.18314087006276	0.194699117224796
"aga00640 Propanoate metabolism"	0.391138419073524	-0.126918307219222	0.379366936456672	0.940769023350316	15	0.512828037348488	0.848503908227614	0.588649087356717	0.322221264724296	0.140372152446278	0.309076237050901
