Gene.Symbol	p7Ct1B	p7KO1B	p7Ct2	p7KO2	p7Ct1	p7KO1
1500035N22Rik	7.823423106	7.8376323	7.747514363	7.8076447	7.77652893	7.801945232
1520401A03Rik	7.715185674	7.785428874	7.781364788	7.716415353	7.792802529	7.756844546
1600002D24Rik	7.851219744	7.732977743	7.791830105	7.7899842	7.752883623	7.803586916
1600002H07Rik	7.78501068	7.835071341	7.843632752	7.829449503	7.911266861	7.757906871
1600002K03Rik	9.117323021	9.273508746	9.213360559	9.247503169	9.009501295	9.140939554
1600012H06Rik	10.05417064	9.966142447	9.78829665	9.70716693	10.13482121	9.974473144
1600012P17Rik	7.752935295	7.777189752	7.853029193	7.790875178	7.760597436	7.762694267
1600014C10Rik	8.00795434	7.972655103	8.064554117	7.923711907	8.014770235	7.967864162
1600014C23Rik	7.775477015	7.748870187	7.719002458	7.847834684	7.721596143	7.783508287
1600014K23Rik	7.776087427	7.866151842	7.804804378	7.785577678	7.778073206	7.817425921
1600015I10Rik	7.602866144	7.706064571	7.608454765	7.675112756	7.634074321	7.635949724
1600016N20Rik	7.737111741	7.835071341	7.9019824	7.802181439	7.788809518	7.776962856
1600020E01Rik	7.720377159	7.7028191	7.793366548	7.733664315	7.780066366	7.730085103
1600023N17Rik	7.778043615	7.803635006	7.850862093	7.78142383	7.748236949	7.813495898
1600025M17Rik	7.754246278	7.779142937	7.87120464	7.7899842	7.824672188	7.846773789
1600029D21Rik	7.758287833	7.787144335	7.736305093	7.772807649	7.777532936	7.715360895
1600029I14Rik	7.749303141	7.732977743	7.732390237	7.690800846	7.804843686	7.717154858
1700001C02Rik	7.776087427	7.748185082	7.714725133	7.839273352	7.760597436	7.735374762
1700001C07Rik	7.823423106	7.843368042	7.812285855	7.789623834	7.868610293	7.860180539
1700001C19Rik	7.778043615	7.886450372	7.863010802	7.772275679	7.74764399	7.806420985
1700001G17Rik	7.734049677	7.716608256	7.771135267	7.77329141	7.829215581	7.754847229
1700001J03Rik	7.856809423	7.864334795	7.900930984	7.873744444	7.860513661	7.910241409
1700001J11Rik	7.840726947	7.94131869	7.855638839	7.922216829	7.958087957	7.898719295
1700001K23Rik	7.665083472	7.653908393	7.649347468	7.690196339	7.631407658	7.657014924
1700001L05Rik	7.97171081	7.892345327	7.947974714	7.993693302	7.919770599	7.960306193
1700001L19Rik	7.763291194	7.757970997	7.830912916	7.890759955	7.854919354	7.806979847
1700001O22Rik	7.835071341	7.715915657	7.790624324	7.809122772	7.736305093	7.755445335
1700001P01Rik	7.765213349	7.80735928	7.771135267	7.84645316	7.782227927	7.785118615
1700003E16Rik	7.766987647	7.782372498	7.808006457	7.813078382	7.773379336	7.815580166
1700003F12Rik	7.823975594	7.932874486	7.931662794	7.93172651	7.898719295	7.953939849
1700003H04Rik	7.776733237	7.772423076	7.760070653	7.710752726	7.755178213	7.810655465
1700003M02Rik	7.8376323	7.83082262	7.856179783	7.825219782	7.77966866	7.783984063
1700006A11Rik	7.84123139	7.867318133	7.814052095	7.863412654	7.835032935	7.912914815
1700006E09Rik	7.752935295	7.737920525	7.638158715	7.77329141	7.632777245	7.721370083
1700006J14Rik	7.871378322	7.810698759	7.850365897	7.84355095	7.846669709	7.846773789
1700007B14Rik	7.84123139	7.833208964	7.92194954	7.789070085	7.921806782	7.853195363
1700007G11Rik	7.840726947	8.046743682	8.05683255	7.902566433	7.868201124	7.947400299
1700007K09Rik	7.914729488	7.864769268	7.791240213	7.842456377	7.900211875	7.895258007
1700007K13Rik	7.77433504	7.861497423	7.883406828	7.835143468	7.978569485	7.770233716
1700008F19Rik	8.108331006	8.031499804	8.113291646	7.949503638	8.061138834	7.995548388
1700008F21Rik	7.62845836	7.63063816	7.623603113	7.627203166	7.616114882	7.608598008
1700008H02Rik	9.360709669	9.167844322	9.403946802	9.026493228	9.492193138	9.120197941
1700008I05Rik	7.695194936	7.734981841	7.711693309	7.742639097	7.661919972	7.770233716
1700008O03Rik	7.724031759	7.672188271	7.663720953	7.629458739	7.630029658	7.741632469
1700008P02Rik	7.728659465	7.779142937	7.75558571	7.777616798	7.782227927	7.710202175
1700009C05Rik	7.802982302	7.808564719	7.782940501	7.798716391	7.816135582	7.815580166
1700009J07Rik	7.797569889	7.819446788	7.808006457	7.735132488	7.794705822	7.766497966
1700009N14Rik	7.706023141	7.714775631	7.757906871	7.854150895	7.743761382	7.787386255
1700009P17Rik	7.942900286	7.877744697	7.93027354	7.898636943	7.870180806	7.899312338
1700010B08Rik	7.872628873	7.757970997	7.721719652	7.762517583	7.752883623	7.764877896
1700010D01Rik	7.832835535	7.82291866	7.795382226	7.777616798	7.798853324	7.760557272
1700010H22Rik	7.764623233	7.792890882	7.838726537	7.760557272	7.740120323	7.770811916
1700010I14Rik	7.774906137	7.693424237	7.795902725	7.787479476	7.698822403	7.73151009
1700010L04Rik	7.662336115	7.752061322	7.792418556	7.676189638	7.755178213	7.720281048
1700011A15Rik	7.769040314	7.769799639	7.727869276	7.704474001	7.673799425	7.791962805
1700011E24Rik	7.780517041	7.707313012	7.741018616	7.771658114	7.771952957	7.714677856
1700011H14Rik	7.75558571	7.824764117	7.791240213	7.761987452	7.806527278	7.765297882
1700011I03Rik	7.803635006	7.869789867	7.866558192	7.925345573	7.82416455	7.846773789
1700011J10Rik	7.889841128	7.910422795	8.07804432	8.129240261	7.916008303	7.881825858
1700011L22Rik	7.752259178	7.710850085	7.726751488	7.72793074	7.727141721	7.688021771
1700011M02Rik	7.734641764	7.780517041	7.732977743	7.777616798	7.810835706	7.758287833
1700012A03Rik	7.601445271	7.63146196	7.638158715	7.588800272	7.60739713	7.628998919
1700012B07Rik	7.748185082	7.742311675	7.751288915	7.738012484	7.804843686	7.764302921
1700012B09Rik	7.869185267	7.845998429	7.876942505	7.843001821	7.853698536	7.869226712
1700012B15Rik	7.662336115	7.685728432	7.723387639	7.64530979	7.719140536	7.676094936
1700012L04Rik	7.643586412	7.690759045	7.760557272	7.740120323	7.756792881	7.651008767
1700012O15Rik	7.878231272	7.930697468	7.989381721	7.818029682	7.813591515	7.926652695
1700012P22Rik	7.747536515	7.696851176	7.707313012	7.733081117	7.766987647	7.713087104
1700013D24Rik	7.730718234	7.806754422	7.749687384	7.78501068	7.800019756	7.812376619
1700013F07Rik	7.690759045	7.759392366	7.800820129	7.741093471	7.721022473	7.740996077
1700013G24Rik	7.714371997	7.681183413	7.82291866	7.701119914	7.757321591	7.741632469
1700013H16Rik	7.701670526	7.714180849	7.743170324	7.689171484	7.739046415	7.739872301
1700014B07Rik	7.741677531	7.747558666	7.735718907	7.819495984	7.774996843	7.767517771
1700014D04Rik	7.81923003	7.85053614	7.837674877	7.802635695	7.789736047	7.743322573
1700015E13Rik	7.863412654	7.802372292	7.793366548	7.828899054	7.759468026	7.72895232
1700016B15Rik	7.770372239	7.773045923	7.769080315	7.747062275	7.77966866	7.785686853
1700016C15Rik	7.749303141	7.776047673	7.75558571	7.847005297	7.817517598	7.723434649
1700016D02Rik	7.79815843	7.701522707	7.699864077	7.744564564	7.755178213	7.735920445
1700016D06Rik	7.789070085	7.786552704	7.72497272	7.749647017	7.722152766	7.789685881
1700016D18Rik	7.653752272	7.734221786	7.813591515	7.78142383	7.752883623	7.790285929
1700016H13Rik	7.86048587	7.908488702	7.87011169	7.871041296	7.903283799	7.981628653
1700016J18Rik	8.574825931	8.464725404	8.749662553	8.269528681	8.570149311	8.477847261
1700016K19Rik	7.799742107	7.750128128	7.768506964	7.754246278	7.806527278	7.791439931
1700016L04Rik	7.6943852	7.786552704	7.726108572	7.760110775	7.842180809	7.810655465
1700016L21Rik	7.764001446	7.785956052	7.739637468	7.72023997	7.825152784	7.781753619
1700017B05Rik	7.656458831	7.680059439	7.640781671	7.653339311	7.612495516	7.660200658
1700017D01Rik	7.821715525	7.795952035	7.878277307	7.821894168	7.883670696	7.872135606
1700017G19Rik	7.796372619	7.840589616	7.841681676	7.869944074	7.865539361	7.868779707
1700017N19Rik	7.839634613	7.788896669	7.842138755	7.836111714	7.762819986	7.829449503
1700018B24Rik	7.70522844	7.750128128	7.703667014	7.72023997	7.686749251	7.782940501
1700018C11Rik	7.782372498	7.794113374	7.800820129	7.79815843	7.713829359	7.854659096
1700018F24Rik	7.720377159	7.734981841	7.790624324	7.679612742	7.767408482	7.792468601
1700018G05Rik	7.751082788	7.782372498	7.71637418	7.757906871	7.709405055	7.72616151
1700019A02Rik	7.734049677	7.75674367	7.792418556	7.711348887	7.77652893	7.72497272
1700019B03Rik	7.795108829	7.825999	7.76497656	7.797689165	7.811819791	7.816729599
1700019B21Rik	7.730718234	7.717848789	7.756214753	7.715387603	7.709852502	7.725571297
1700019D03Rik	8.331719899	8.56195856	8.525675119	8.864599072	8.389619323	8.553761643
1700019G17Rik	7.912738728	7.936398042	7.960306193	7.845093074	7.947093971	7.949358238
1700019J19Rik	7.773763722	7.761133704	7.80917236	7.793828689	7.808096938	7.84118414
1700019L03Rik	7.771528233	7.760019116	7.76402713	7.721667648	7.744893755	7.740996077
1700019M22Rik	7.796957606	7.783637062	7.787854123	7.797213535	7.771952957	7.79345487
1700019N19Rik	7.669842195	7.693424237	7.775516782	7.708152659	7.744893755	7.751828638
1700019O17Rik	7.744916246	7.843368042	7.806979847	7.802181439	7.756792881	7.737523306
1700020A23Rik	7.623310859	7.577489126	7.549772173	7.551028649	7.571562983	7.661919972
1700020D05Rik	7.767691501	7.83384403	7.74693068	7.707168508	7.740120323	7.751248572
1700020I14Rik	8.234421119	8.09141828	8.172050006	8.154069873	8.277180984	8.180761485
1700020L24Rik	7.722796312	7.7028191	7.687482259	7.696604796	7.726108572	7.644812509
1700020M10Rik	7.786671373	7.82291866	7.814052095	7.817560714	7.890631852	7.792940906
1700020N01Rik	7.627306204	7.686852822	7.734616421	7.656811003	7.671337025	7.703667014
1700020N15Rik	7.906926111	7.969993279	7.904434065	7.916611293	7.961325024	7.943375937
1700020N18Rik	7.85373687	7.852303994	7.825911687	7.794392322	7.800019756	7.811728993
1700021A07Rik	7.715734967	7.723978731	7.741632469	7.754825171	7.777532936	7.780700324
1700021F05Rik	10.99922338	11.13870689	11.04915874	11.59035344	11.00697204	11.22193215
1700021F07Rik	7.864769268	7.770372239	7.799219925	7.839791721	7.826511935	7.808054098
1700021J08Rik	7.838683131	7.823423106	7.84627794	7.863010802	7.823000576	7.824806553
1700021K19Rik	9.325557543	9.557663947	9.52697721	9.452752209	9.420748199	9.535045198
1700021O21Rik	7.829602448	7.932874486	7.82971789	7.875657804	7.793323355	7.885786463
1700021P04Rik	7.94232422	7.869789867	7.882131063	7.925345573	8.001322229	7.891367367
1700022A21Rik	7.875342658	7.784254977	7.739637468	7.75283885	7.820232683	7.803586916
1700022F17Rik	7.719140536	7.75674367	7.745324106	7.741093471	7.735764114	7.756844546
1700022I11Rik	7.794545475	7.759392366	7.786671373	7.758392533	7.721596143	7.792940906
1700022K14Rik	7.767691501	7.725117546	7.733567725	7.714133554	7.760070653	7.760557272
1700022N22Rik	7.787237733	7.798203048	7.750848521	7.711348887	7.860513661	7.774374832
1700022P22Rik	7.824624832	7.769080315	7.803763255	7.755798292	7.77652893	7.75283885
1700023A16Rik	7.697452966	7.741041155	7.64151856	7.751828638	7.734788207	7.740456843
1700023C21Rik	7.779233333	7.757970997	7.752883623	7.825219782	7.844205909	7.806420985
1700023E05Rik	7.791348169	7.827700025	7.872628873	7.830001106	7.810835706	7.926652695
1700023F06Rik	7.855008296	7.853523912	7.887991952	7.888246444	7.831697736	7.799654491
1700023G08Rik	7.666496096	7.739682578	7.705377248	7.774374832	7.758287833	7.728560892
1700023L04Rik	7.792056121	7.717848789	7.712698865	7.8076447	7.732390237	7.747062275
1700024B05Rik	7.708111284	7.681183413	7.73012983	7.705046874	7.706208446	7.715360895
1700024G13Rik	7.843727284	7.757422427	7.919622637	7.824764117	7.855870102	7.7790994
1700024J04Rik	7.765787972	7.79031021	7.802932678	7.791348169	7.742216315	7.783508287
1700024P04Rik	7.792056121	7.735568321	7.689171484	7.771135267	7.748236949	7.761084628
1700024P12Rik	7.672932878	7.783637062	7.786253586	7.730673523	7.703067747	7.72793074
1700024P16Rik	7.815086773	7.817474975	7.872182521	7.807028208	7.88092494	7.887679817
1700025B11Rik	7.770995796	7.739097732	7.729541192	7.763053142	7.735764114	7.751828638
1700025E21Rik	7.709405055	7.818115393	7.82291866	7.78250136	7.752883623	7.835623445
1700025F22Rik	7.730085103	7.662849988	7.772165281	7.709353465	7.708703989	7.6818443
1700025F24Rik	7.6943852	7.692719596	7.697760234	7.753791874	7.724927865	7.722461658
1700025G04Rik	9.779630802	9.697932855	9.63317823	9.69006443	9.742094827	9.854582773
1700025H01Rik	7.919287377	7.915686093	7.872628873	7.943021542	7.906815994	7.893924646
1700025K24Rik	7.783776668	7.769799639	7.824975066	7.752259178	7.82971789	7.724569587
1700025O08Rik	7.622490468	7.659426132	7.664239585	7.647497307	7.583268973	7.601896389
1700026D08Rik	7.849439667	7.841681676	7.773763722	7.729496449	7.781085759	7.844548401
1700026J12Rik	7.770372239	7.700868701	7.788459498	7.700721361	7.734788207	7.812376619
1700026L06Rik	7.721667648	7.813591515	7.722796312	7.768605396	7.706208446	7.753318908
1700026N04Rik	7.712149051	7.739097732	7.772524973	7.783508287	7.825599785	7.786253586
1700027A07Rik	7.734049677	7.690154524	7.67604635	7.736305093	7.763335698	7.74764399
1700027F06Rik	7.754869288	7.73012983	7.78095291	7.824764117	7.774374832	7.767072013
1700027I24Rik	7.75558571	7.699759229	7.765787972	7.705712594	7.729445599	7.699263267
1700027J07Rik	7.789685881	7.799604524	7.843632752	7.851800338	7.75558571	7.691363319
1700028D13Rik	7.991304313	7.990090669	7.98291429	8.000019887	8.009503342	8.043342609
1700028I16Rik	7.736305093	7.761851746	7.740170825	7.714133554	7.736891047	7.723978731
1700028J19Rik	7.81923003	7.762477456	7.753922811	7.752259178	7.766362372	7.770233716
1700028K03Rik	7.815086773	7.806754422	7.869556153	7.886450372	7.767933392	7.832247572
1700028M03Rik	7.588824737	7.502524837	7.591942451	7.593555898	7.55172287	7.621833908
1700028N14Rik	7.815086773	7.812376619	7.833114175	7.817140721	7.855870102	7.847811389
1700028P14Rik	7.790261648	7.765787972	7.770083076	7.747062275	7.805491738	7.737523306
1700029F12Rik	7.802982302	7.73151009	7.774374832	7.715387603	7.658205712	7.776962856
1700029H14Rik	7.616817391	7.691405107	7.624655274	7.62279557	7.701468858	7.657014924
1700029I15Rik	7.717848789	7.744440815	7.786253586	7.79815843	7.752883623	7.768506964
1700029J07Rik	8.154739135	8.189230664	8.16111818	8.155406238	8.184774007	8.282005061
1700029M20Rik	7.97171081	7.930183346	7.930997907	7.937043156	7.872628873	7.992167102
1700029P11Rik	9.987583705	9.962617669	10.20924911	10.32507858	10.09353067	9.927256141
1700030C10Rik	7.751082788	7.880139558	7.738597764	7.776618003	7.8076447	7.911873011
1700030F18Rik	7.851219744	7.825999	7.777007016	7.746058647	7.817044894	7.798109787
1700030J22Rik	7.874854705	7.881182433	7.975834895	7.916611293	7.921245278	7.8517155
1700030K09Rik	9.067264609	9.055012775	9.138485917	8.988968938	8.969673753	9.048673055
1700030N03Rik	7.796372619	7.765067892	7.752303967	7.78434414	7.717357838	7.786819955
1700031F05Rik	7.760687386	7.80917236	7.841041477	7.753318908	7.77595846	7.793930353
1700034E13Rik	7.75558571	7.80138447	7.793366548	7.802635695	7.760070653	7.769664591
1700034F02Rik	7.680986105	7.615775396	7.671531888	7.726751488	7.709405055	7.695539493
1700034H15Rik	7.726751488	7.779813497	7.708514164	7.794818971	7.773803527	7.809122772
1700034I23Rik	7.887991952	7.891205861	7.792890882	7.813955378	7.862472675	7.900423404
1700034J05Rik	7.744348302	7.717202064	7.684156852	7.709353465	7.673085198	7.756844546
1700034O15Rik	7.800953543	7.750708636	7.790078476	7.706208446	7.813591515	7.776578261
1700036A12Rik	7.810190846	7.865394417	7.897486209	7.904228526	7.910721993	7.946559468
1700037C18Rik	7.88488271	7.907829704	7.918489272	7.927744474	7.943617253	7.990725965
1700037H04Rik	10.20574494	10.11834238	10.44909205	10.66578299	10.26188239	10.12656915
1700037N05Rik	7.7280185	7.811305521	7.76290396	7.821894168	7.789736047	7.757906871
1700038P13Rik	7.825219782	7.794680749	7.876942505	7.94131869	7.796787596	7.871018423
1700039E15Rik	7.75558571	7.812376619	7.783508287	7.796787596	7.809311063	7.835623445
1700040D17Rik	7.692820802	7.772423076	7.760557272	7.670854795	7.808704776	7.820647647
1700040F17Rik	7.796957606	7.761133704	7.793366548	7.749100682	7.710253651	7.763150284
1700040L02Rik	7.773192184	7.719825582	7.719002458	7.753791874	7.669272709	7.755445335
1700040N02Rik	7.810190846	7.797189378	7.785118615	7.687691225	7.77595846	7.787386255
1700041G16Rik	7.843182108	7.907221513	7.923195362	7.86632441	7.922966895	7.914651156
1700041I07Rik	7.730718234	7.773045923	7.779813497	7.849535546	7.82416455	7.840726947
1700042B14Rik	7.756316419	7.792890882	7.681498154	7.82581892	7.746108819	7.718794526
1700042G07Rik	7.999382955	7.999402473	7.907809004	7.955548632	7.946234258	7.927273811
1700045I11Rik	7.856809423	7.886450372	7.855638839	7.868201124	7.898719295	7.818115393
1700045I19Rik	7.854396279	7.840589616	7.855064127	7.830001106	7.923524539	7.822539294
1700047G07Rik	7.776733237	7.854089778	7.754955524	7.78501068	7.865539361	7.821581121
1700047I17Rik2	7.725518336	7.688049123	7.706715222	7.73151009	7.765297882	7.72895232
1700048F04Rik	7.802323781	7.784254977	7.779193533	7.760557272	7.826511935	7.790826635
1700048O20Rik	8.702694243	8.780829782	8.932379059	8.880757621	8.744462568	8.75892865
1700049G17Rik	8.101085416	8.105718	8.00439634	7.997491532	8.065897406	8.113533656
1700049J03Rik	7.880448022	7.842822735	7.839952608	7.821075223	7.899293622	7.827700025
1700049L16Rik	7.779233333	7.776618003	7.767408482	7.760110775	7.682254501	7.706374229
1700052I22Rik	7.702576296	7.75674367	7.712698865	7.768031862	7.704072213	7.664709746
1700052K11Rik	7.993182394	7.952061405	7.981800374	8.039214861	7.984164883	8.047867547
1700052N19Rik	9.131719795	9.158314604	8.963493795	8.997527429	9.104858258	9.080161194
1700054A03Rik	7.796957606	7.806754422	7.914129933	7.764538671	7.741093471	7.809641405
1700054O13Rik	7.654482872	7.642171594	7.649879573	7.697653051	7.707168508	7.697102352
1700054O19Rik	7.710798559	7.667008568	7.68234565	7.722698817	7.716329117	7.758287833
1700055D16Rik	7.825219782	7.747021855	7.771135267	7.714725133	7.764302921	7.765297882
1700055D18Rik	7.607747154	7.721127662	7.765787972	7.681094809	7.693044636	7.680678896
1700055N04Rik	7.762664334	7.759392366	7.762337182	7.761084628	7.728269487	7.760557272
