Genes	HN_1	DCIS_1	HN_2	DCIS_2	HN_3	DCIS_3	HN_4	DCIS_4	HN_5	DCIS_5	HN_6	DCIS_6
100129503	6.97078828	6.777070534	7.392847336	7.276814994	6.752677948	6.912794487	7.066578299	7.057955777	6.957280544	6.921159358	6.800639033	6.881426729
100129624	7.050736776	7.003148033	6.983313269	6.996889561	7.035400472	7.072283148	7.154528196	7.063661657	7.01355829	7.003648655	7.034901839	7.065636356
100129656	6.970038773	6.878765911	6.634099178	6.696285559	6.74099718	6.745534625	7.284536647	7.221354831	6.643069301	6.62658311	6.620578759	6.643875847
100129668	8.017333792	7.973329552	7.269455276	7.358874601	7.342276128	7.413257031	8.178945333	7.714406114	8.044953027	7.826662387	7.722772144	7.722329118
100129686	6.507589862	6.441311419	6.420632524	6.438966798	6.385205928	6.415677205	6.608322876	6.531658542	6.377139169	6.448759896	6.451947022	6.448698414
100129762	7.93259658	6.479917806	7.730095071	7.643708097	7.188414873	7.33575338	6.896451774	6.300975667	7.888692766	6.900267003	7.380104549	7.000008736
100129973	7.146349088	6.81503167	6.734275032	6.661904019	6.727633509	6.623879466	7.607343333	7.500130798	6.532105216	6.415642923	6.578686308	6.586048998
100130100	7.50974911	7.348952624	7.326047014	7.294477194	7.267656721	7.296772686	7.475146757	7.441626241	7.337888735	7.18948602	7.313601797	7.30436349
100130130	6.585549508	6.873065395	7.356988816	7.463731641	7.953027719	7.699115134	6.810758942	6.387024919	7.986558874	8.231557807	7.824196185	8.254808436
100130134	6.364226389	6.355682046	6.363521382	6.372209556	6.363175293	6.369912397	6.378308354	6.374924225	6.374733969	6.375358266	6.3903789	6.387819945
100130291	6.488292519	6.488433794	6.488375323	6.488586986	6.488376692	6.488540013	6.488280815	6.488284366	6.488450895	6.488647633	6.488274115	6.488395996
100130348	7.503433252	7.346262944	6.843966935	6.921567039	7.159681921	7.218815096	7.930722319	7.719912944	6.853450597	6.787533293	6.996135051	7.086165306
100130449	6.727114746	7.320860471	6.457607621	6.81800177	6.870645662	9.581474702	6.677586961	6.772995661	7.127017233	7.640351779	7.174759163	7.809379151
100130464	7.35731863	7.259172741	7.263937698	7.228663688	7.290808751	7.312084597	7.329764177	7.374063346	7.29098698	7.31652449	7.344478954	7.353276722
100130544	9.042820728	8.101524413	7.612968424	8.519800442	8.339384908	8.380473101	8.999105407	9.213710744	7.898786858	7.710266471	8.036663432	8.430629527
100130624	8.009514289	7.508544801	7.582394386	7.958589929	7.289380669	7.183117085	7.864687894	7.415441139	7.028656838	7.076247845	7.007666877	6.723645372
100130633	7.760622392	7.950039566	7.4341955	7.48979594	7.983200038	7.992051805	7.875916499	7.332765753	8.00612281	7.977273853	7.883426319	7.828350764
100130703	6.275742529	6.268295898	6.256317871	6.263894559	6.292753282	6.291994157	6.285897897	6.29986404	6.27182354	6.278214392	6.281281257	6.303963608
100130862	7.011315051	6.992266772	7.219407856	7.34716217	7.666012143	7.956251152	6.973203294	6.937553054	7.821680012	8.143866874	7.818542844	7.772327371
100131005	7.66336523	7.771862195	7.333158086	7.634053896	7.472416424	7.385679743	8.241804724	8.099339649	7.644456216	8.041881082	7.578227626	7.884323459
100131164	7.477832276	7.414489144	7.698528856	7.611835473	7.658125626	7.698928624	7.58234598	7.457448505	7.60479854	7.634662491	7.632819458	7.650675888
100131298	6.547203869	6.522918462	6.528242874	6.523996859	6.538022947	6.534999999	6.545300301	6.535889541	6.53947954	6.549268227	6.543454299	6.540838045
100131613	7.269429483	6.765682808	6.659627789	6.706337442	6.911445133	6.949048229	7.20470005	7.382900349	6.855958638	6.947485285	7.087003234	6.978430875
100132129	7.179964204	7.076670107	6.902761214	6.999416383	7.012210888	6.947014881	7.366497833	7.501214388	6.900232806	6.853580861	6.824829075	6.927485965
100132302	7.098185447	7.164634103	6.831923246	6.84817058	6.999434633	6.934483454	7.292939948	7.348260375	6.895227617	6.828332388	6.886826552	6.912768535
100132323	8.007545291	7.670947929	6.547274314	6.933033747	7.364967963	7.373343424	8.486597249	8.924006419	6.884312452	6.726270089	6.918044985	6.928367391
100132430	8.615640753	8.269932941	7.664876926	8.597312804	9.184084908	10.4058762	8.306768709	9.045295784	8.54390831	8.621890364	8.769197215	9.084515272
100132833	6.99855286	6.627084833	6.490255629	6.564880245	6.370879138	6.42826944	7.273180768	6.863644919	6.52820037	6.856271447	6.486111938	6.709378247
100133166	7.741055732	8.504668789	7.922343712	7.594582079	8.670380245	8.387212868	7.157515612	6.773963275	9.115662821	9.373266775	8.851346006	8.961948439
100133233	6.475473456	6.245201909	7.089854903	6.875734052	6.87751454	7.09290432	6.369071089	6.776256906	7.128431648	6.981023477	7.120576908	7.263329885
100133276	7.162388116	7.147653159	6.640817802	6.789568611	7.438046939	7.914509569	7.19073411	7.209055064	7.776089642	8.086015839	8.001604006	7.862624872
10013	8.161447887	7.782733929	7.657451183	7.640809355	7.584108966	7.622543676	8.495311476	8.389358717	7.527730113	7.560325668	7.605923498	7.667786258
10014	8.331366701	7.88226074	7.411073959	7.422644719	7.364463753	7.245456103	8.647906434	7.888102487	7.286896879	7.178690687	7.225520522	7.204278474
10015	8.464774543	9.541262504	8.818485143	8.891700167	8.741222931	8.487631666	7.934822736	8.299435863	9.46642177	9.44217206	9.093286782	9.313575442
10016	7.608259219	8.475523574	8.110133119	8.238985226	8.098975729	7.749176068	7.628561234	7.122352303	8.506363494	8.806586051	8.422826522	8.759247571
10017	6.992806442	6.986574929	6.997835575	7.002343315	6.993942687	7.003422061	7.016181483	7.012025132	6.99169053	6.990384949	6.998609217	6.995088741
10018	6.635027234	6.615258585	6.607242397	6.624773347	6.579437431	6.628871196	6.687240764	6.680771813	6.568391124	6.576210491	6.617325604	6.606777307
10019	8.130692984	8.385111099	8.640152407	8.173967696	8.700629163	9.019160703	7.902855417	7.558552386	9.342354324	9.351264764	9.523587845	8.884245107
1001	8.950046653	8.274612585	9.614759949	7.868246813	9.033271578	8.345649001	9.515806361	9.586582087	8.598336535	7.310347681	8.791943481	7.848037883
10020	8.130383609	8.074415592	7.84874034	7.397361962	8.845660462	7.854977775	7.469801355	8.185017609	7.987608423	7.689837051	7.803039174	7.641343977
10021	7.169056277	7.083372791	7.00445338	7.005918735	7.105808179	7.082307685	7.1543381	7.178978169	7.051646896	7.041824071	7.088430427	7.087648161
10022	7.111258588	7.021578294	7.033809025	7.009728692	7.028044534	7.04209018	7.161256403	7.145805279	7.012876093	7.038884864	7.085570585	7.095020504
10023	7.973026061	8.206559113	7.041603328	7.1254295	7.731705952	7.403504209	8.284550714	7.800979455	7.630647034	7.739371008	7.426640689	7.807842231
10024	7.598573339	7.506795437	7.387955874	7.388182453	7.304780287	7.57817756	7.746524876	7.868262119	7.177455651	7.177314404	7.234744926	7.302432091
10025	8.279206774	7.8231325	7.243646761	7.363012425	7.202695095	7.046159202	8.888125006	8.83164421	6.71066547	6.606961134	6.718976816	6.751235069
10026	7.534292492	8.164320334	7.965217425	7.676652578	8.624175676	8.571313134	7.562384989	7.453286107	8.598023657	8.829938556	8.203310568	8.570612962
1002	7.192918999	7.090559081	7.093364981	7.033655862	7.107082894	7.158933915	7.462685137	7.269595188	7.0433815	6.91919816	6.993705476	7.01631816
10036	7.573507687	7.540790343	7.204694576	7.246803015	7.238097962	7.241474363	7.849852148	7.933518168	7.107252078	7.072388155	7.133105298	7.149134468
10038	8.174152715	7.809732574	7.918359163	7.735407942	7.905932734	7.428260789	7.619925594	7.326143346	8.105362987	8.022110501	8.027427392	8.118239052
10039	7.977286268	7.876546447	7.18292887	7.142772556	7.249269072	7.36058942	8.56656518	8.228892434	6.944400553	6.94936285	7.083310743	7.101490791
1003	7.384942095	8.371952913	7.864858058	6.724213525	7.401893196	6.35527387	7.546206384	6.877578465	7.0497208	6.688534556	7.356728234	7.012814737
10040	7.482795092	7.751238473	7.76059836	8.111460508	7.858094671	7.468072052	6.959412516	7.430607067	8.253454763	8.399869923	7.711331485	8.06038534
10042	8.955302338	8.828864699	7.689294915	7.918777518	7.852741572	7.727987714	9.04161966	9.214648571	7.958017871	7.981815785	7.985430109	7.919423957
10043	7.743625361	7.658021468	7.3377058	7.612389423	7.396082561	7.440272263	7.952861304	7.737029279	7.250843432	7.231738042	7.154361922	7.29048132
10045	7.019873344	6.717136818	6.945443252	7.132521638	6.902091187	7.103760752	7.535823633	6.853679884	6.893329106	6.680280192	6.784600022	6.768187277
10046	7.504322434	7.19766834	7.501147092	7.973603581	7.419010468	7.769452556	7.161967752	7.535418882	7.540224766	7.628411428	7.616174011	7.384890005
10047	7.885646906	7.607071935	7.198096249	7.236623442	7.471397104	7.312873061	7.766795872	8.263843512	7.086008574	7.089154541	7.275612349	7.312274343
10048	7.429465438	7.855840805	8.181266662	8.220129929	7.881225367	7.845825895	7.505421791	7.483921262	7.996594987	8.301457016	8.148036323	8.216704197
10049	7.528298521	7.839366039	8.161731799	8.047871666	7.970496837	8.01422165	7.573553308	7.389103783	8.123012182	8.177254725	7.794989845	7.775362968
1004	6.642030857	6.622585699	6.57008894	6.530278311	6.630984173	6.633851285	6.568847617	6.681960725	6.677624102	6.631446944	6.701523955	6.722773544
10050	7.014574118	6.9251495	7.133621612	7.116914088	7.110810591	7.025753841	7.039511747	7.027638084	7.18604922	7.145268428	7.198651457	7.152845541
10051	7.138462692	7.482392063	7.456424301	7.869556717	7.945592568	8.102796721	7.129956459	7.452556103	8.177498775	8.508746933	8.117525303	8.228133961
10052	6.966494875	6.985195047	7.224277977	7.214224336	7.170563251	7.2510284	6.781107575	6.990853465	7.128511554	7.076042422	7.196513257	7.13569911
10053	8.711249884	8.273244819	7.575595797	8.073894223	7.652911688	7.901637251	8.772294419	9.030168318	7.760496703	7.880170817	8.257753016	8.223728736
10054	10.49429031	10.6261345	10.14292504	10.05560688	10.49440662	9.884063665	9.635364156	9.973102109	10.25953099	10.17166152	10.10699216	9.854536821
10055	9.026105298	9.196667553	8.71643106	8.941977414	8.81979112	9.125270479	9.285105844	9.58533465	8.528894015	8.60859746	8.642764114	8.560117326
10057	8.447399098	9.458464343	8.611383894	9.384386097	9.00176271	9.788319715	8.853637771	9.695940926	9.219494752	9.607100073	8.965955992	9.293827073
10058	8.086354505	7.927740942	7.827419648	8.028552433	7.819402779	7.648536961	8.319980487	8.713312967	7.692969457	7.588158358	7.633033769	7.604941916
10059	6.914171673	7.325417525	7.529981234	7.726546278	7.27834215	7.395321052	6.785737277	6.912497498	7.699570846	7.881402555	7.529569508	7.635229018
1005	6.680388888	6.674346721	7.017839919	7.05355229	6.963962041	7.060428424	6.650116037	6.605962841	7.004073526	7.078838909	6.948906697	7.099228601
10060	6.759127933	6.749629294	6.742938883	6.741094309	6.761622758	6.765332536	6.784560298	6.788936047	6.755327056	6.75920873	6.768747731	6.771587206
10061	7.785599609	7.342827895	6.900004085	6.912917185	7.138768761	7.076070361	8.087557599	7.797799217	7.021715866	6.765499232	6.932911437	6.923181277
10062	8.033979971	7.555868978	7.534577681	8.031148936	7.964419755	8.026241407	8.3683417	7.894927771	7.444783985	7.439112857	7.412015559	7.377183744
10066	9.34030168	9.030777209	8.591284689	9.015936097	8.503696124	8.672705384	9.675729752	9.260437824	7.960432892	8.135107351	8.092414372	8.118645133
10067	9.375369169	9.636023733	8.757489569	9.330020141	8.614250448	8.810430413	9.436344091	10.82154689	8.239703766	8.326585661	8.130277353	8.425012327
10069	7.788532637	8.032544559	9.443267907	9.254758622	8.644571558	8.389312489	7.894571416	8.106923501	8.598758153	8.59114002	8.6400108	8.716769664
1006	7.084152755	7.023495473	7.0405627	7.050459363	7.02671647	7.046363107	7.089120932	7.12088585	7.025852039	7.020306965	7.07882841	7.047007203
10072	8.136242193	8.508751059	8.056748639	8.844737777	7.731580585	8.243595177	8.253889929	9.401438367	7.640410008	8.049248446	7.420969692	7.957243757
10073	8.499585938	8.434233938	8.450427075	8.521462047	8.313226677	8.316607696	8.719340454	8.302133624	8.209147924	8.59581569	8.340282783	8.370617743
10075	8.475310756	8.567001931	7.82519871	7.940720796	7.842067067	7.895743224	8.277828612	8.948214359	7.818932028	7.706761619	7.744500751	7.806239163
10076	7.304761432	7.150459157	7.535031259	7.578028744	7.821453027	7.809751352	7.532769918	7.391829675	7.666966186	7.503398243	7.500089137	7.781150334
10077	7.536954307	7.424698343	7.407666618	7.350238526	7.237791373	7.379999917	7.74992071	7.709690655	7.13960618	7.091889765	7.142409408	7.134203838
10078	7.846595489	7.599306169	7.252429651	7.38768418	7.231737293	7.274697726	8.090171246	7.931303037	7.132314451	7.02684499	7.189755268	7.118407603
10079	8.346382952	8.899975471	9.103259623	8.492658266	10.36120565	10.34248537	8.283284917	8.360369398	11.17169658	12.27650537	11.21664769	11.6210673
1007	6.516823614	6.424560716	6.924639916	6.819764902	6.683340094	6.823065274	6.508829207	6.66216844	6.585579984	6.755741576	6.436471376	6.510990765
10083	7.964083592	7.099436768	7.033759038	6.897238567	7.221807786	7.279137942	8.229551506	8.416524348	7.138769945	7.359631111	7.684135838	7.617944019
10084	8.141874694	8.124641951	7.464601961	7.567507089	7.066227282	6.853696526	8.268601181	7.957601722	6.708669664	6.690374538	6.867878096	6.805281962
10085	6.872612236	6.680228791	7.416612151	7.268150218	6.558249833	6.672146608	6.758267158	7.011338135	6.588957465	6.725405742	6.604049706	6.799741718
10086	7.753519348	7.62256627	7.87692546	7.867338869	7.939072041	8.00207349	7.755983967	7.768475373	7.883091706	7.932184091	7.895605559	7.908434138
10087	7.199828357	7.342613596	7.600155757	7.804120528	7.710141402	7.73460408	7.190067919	7.123709459	8.304337217	7.891336719	8.199610922	8.428333064
10089	7.459537759	7.249165969	7.074561767	6.966370905	7.033875815	7.222427915	7.746933751	7.732157908	6.994586345	6.874578541	7.140542811	7.040345812
1008	7.035698751	6.956331056	7.401262202	7.326468748	7.328030907	7.40605368	7.11648588	7.160152318	7.393190583	7.28594873	7.348374897	7.355544448
10090	7.006274156	7.183978953	6.90740145	7.018022392	6.853379278	6.754225812	6.891776585	6.716688147	7.242102889	6.819149935	7.006147799	7.07181841
10092	9.334848441	9.735204677	8.796236085	8.238338683	9.056574858	9.137522654	8.116699668	8.610667882	9.380556102	9.292998416	9.495320156	9.084664617
10093	8.022801885	8.005090272	7.460816949	7.693932385	7.362831327	7.577615234	8.153722778	8.532163777	7.425608692	7.447128631	7.290352307	7.350628802
10095	9.800302621	9.979940594	8.56171853	9.866241075	8.279708102	9.383696582	9.025987233	9.99833545	8.705258473	8.624362566	7.835157332	8.137596828
10096	7.840886184	8.703918576	8.628500849	9.190949328	8.762844221	9.257718641	7.186183823	8.075946846	9.333423994	9.579095649	9.219679912	9.58034533
10097	7.672377014	8.869075674	7.906816545	7.730281342	7.676243624	7.696524267	6.940687397	7.119218377	8.810476646	9.101368408	8.269257329	8.643319942
10098	8.156305439	8.253772699	8.410072092	9.242158291	7.422729785	7.028893073	8.96334846	8.315241569	8.672128837	8.366241431	8.251603464	8.869364257
10099	7.846072349	9.655589743	8.031454822	8.950083331	7.984212543	8.257515248	7.473308406	7.676622303	8.908132167	9.598267785	8.420780739	8.898175403
1009	7.705942784	8.90336749	8.665509651	8.791257461	7.49657691	6.492454384	6.657531351	6.680287549	7.567931018	7.778890274	7.872075964	7.170004949
100	7.320561364	7.396167475	7.208016546	7.730110514	7.278626263	7.462827238	7.412479509	7.862052749	7.164790891	7.390238133	7.141642016	7.185758013
10100	6.986922028	6.749066083	6.856408387	6.842445008	6.87993184	6.90839884	6.921683247	7.006638881	6.861553238	6.960893512	7.071700884	6.948567782
10101	8.921687418	8.666335748	8.549387008	8.594212365	8.406382835	8.281232501	9.045277119	9.503152097	8.255200551	8.443405642	7.894716121	8.14889249
10102	8.792698884	8.811568434	8.496931234	8.64517341	8.234543393	8.483289416	9.100574718	8.93419878	8.121788127	8.044631973	8.064369677	8.222293644
10103	7.816718489	8.784568021	7.952852882	7.568837365	8.008309528	9.784785854	7.680894623	8.020358566	8.660814811	9.847574118	8.267936352	8.569094913
10105	8.70724193	9.277242203	7.551911481	7.98708645	7.944676864	8.216891902	7.852733806	7.994155925	7.321828805	7.544772917	7.335087763	7.458892101
10106	8.805630423	8.553441295	8.562648663	8.471226648	8.252751491	7.968348593	9.096480039	8.323268958	8.076580336	8.094311288	8.065850809	8.034406853
10107	7.394174655	7.126116309	6.961100405	6.880467204	7.119681545	7.158194501	7.535426293	7.497776169	7.036416534	6.95640623	7.149969322	7.150904837
10109	8.74191588	9.668537167	9.70886551	10.28462955	9.522411976	10.32009341	8.508337852	8.533606716	11.19882962	11.32722575	11.05628222	11.12167027
1010	6.687619735	6.578497372	6.546759148	6.471945091	6.6004614	6.5554101	6.668763554	6.650630173	6.842330882	6.580565	6.678606002	6.735502304
10110	7.452715951	7.208899967	7.083989552	7.057601702	7.144987084	7.132298021	7.504767236	7.384869529	7.076319371	7.049051509	7.129436891	7.092958532
10111	7.029618801	7.487086001	7.506990635	7.969023205	7.273654219	7.24056181	6.722374614	6.85041131	7.720546224	8.213051798	7.742668512	7.759479086
10112	6.867254468	7.63625743	7.031903752	7.671926226	6.544039734	7.948920195	6.629784853	9.250414365	6.672494231	6.930611083	6.846893485	7.078454245
10113	8.209861795	8.243387495	7.804375013	8.026616652	7.925665275	8.085131599	8.412698178	8.346552635	7.898917954	7.903365327	7.9027185	7.998108661
10114	6.915652845	6.709030043	6.572819246	6.587476753	6.773259919	6.795087141	6.932277026	7.063961189	6.687670488	6.820574472	6.883807647	6.881599799
10116	7.150611464	7.172694024	7.439400053	7.413122704	7.270930677	7.297420762	7.115936833	7.172637604	7.371617746	7.421668524	7.433090526	7.333232426
10120	8.988111347	8.55241715	7.914999447	7.936295864	8.08980331	8.131767557	9.533290781	9.147132035	7.880344545	7.763361043	7.83615474	7.997998377
10121	7.86621234	7.936050116	7.435718246	7.560661346	7.337554417	7.44456833	7.876010326	8.299919185	7.312332255	7.330512469	7.291540201	7.297356711
10123	7.775049427	7.26962064	9.449606502	7.940222104	8.756404817	9.248701717	7.721418906	7.227770493	9.260274312	8.53590222	8.861861732	9.229266484
10125	6.85537264	8.512214148	6.797489802	6.99181862	6.982717446	8.241168202	6.886241082	6.712679217	6.912371534	8.939156774	7.157722134	7.103968259
10126	8.134842515	8.216248646	7.930673658	7.992141523	8.002252054	7.979205424	8.368745056	8.357865992	7.886789348	7.852553629	7.898293359	7.954855094
10127	8.269768146	8.146392813	8.090689831	8.116880716	8.253103547	8.284395689	8.285421118	8.230419385	8.432550331	8.699589859	8.402747064	8.348518566
10128	8.171664926	8.684921966	9.226846832	8.990598133	9.714292606	9.246419654	8.357432073	8.258249803	9.905358038	10.22996477	9.771883301	10.21271046
10129	7.141205212	8.159299373	7.114172463	6.978927723	8.156423228	7.465225358	6.695829054	6.337857024	8.661620814	9.053638345	8.153869616	8.652946134
1012	8.668117598	8.455194247	7.303347252	7.273704751	7.475536345	6.693019847	7.061573139	7.073118956	7.827975629	7.002329665	7.558179449	7.196983492
10130	9.088828493	10.5632743	8.983822578	9.15807985	9.493543815	10.21577728	8.255197297	9.383800904	10.04071536	10.4447052	9.959327013	10.31985404
10131	10.20555354	9.200902793	8.691112808	9.198833084	8.431881303	7.979444923	10.33471679	9.946033209	7.739707984	7.800442069	7.612097359	7.725259294
10133	7.813080968	7.837489831	8.700778571	8.106344008	8.973412713	8.50006591	7.384291954	7.307490327	8.901810081	9.084590764	8.638607173	8.207353847
10134	10.80848794	11.08996412	8.880848834	9.445486562	9.794560771	10.2234628	10.96701643	11.21176075	9.925394427	10.18897735	9.988059989	9.949563093
10135	8.548317923	8.692861968	8.754575725	8.207223463	8.532765668	8.360208933	7.664543745	7.010895492	8.107748658	8.24493943	8.02048975	8.518163975
10136	7.54111013	7.326979596	7.479647198	7.362615274	7.402254336	7.650383675	8.070015557	7.777526399	7.16074067	7.085289756	7.139219435	7.408038715
10137	7.425675712	7.888008205	7.997825701	8.207333239	8.005661163	7.983963212	7.272983063	7.110171562	8.263946095	8.714682511	8.153889675	8.184322239
10138	7.18487362	7.525037285	7.096057203	7.195486517	7.161030643	7.136328562	7.04410848	7.164170397	7.045133268	7.121587937	7.105845713	7.089831674
10139	7.789289972	7.462400376	7.35388162	7.287337152	7.153669949	7.089760727	8.409686766	8.067618568	7.019125669	6.790641693	6.989347314	7.163439734
1013	7.337262402	7.138656506	7.02233675	6.94488284	7.097371345	7.100560238	7.628623985	7.546176699	6.941593504	6.835823161	6.94181949	6.989682925
10140	9.750517091	10.19915683	8.665941	9.394163562	9.510096702	8.266068728	8.301496057	8.600983834	9.563128278	9.395788936	9.271489854	9.67699935
10141	7.391366501	6.891043298	6.708742751	6.745589877	7.003130259	6.980458897	7.339382097	7.312436321	6.90765364	6.975169201	7.120742322	7.067012526
10142	7.175002135	8.010741359	8.156226329	8.009400203	8.148583288	8.019156475	7.362861544	6.534030974	8.69694273	9.170716098	8.772557048	8.639093811
10144	9.362384782	8.194251549	7.990444345	7.261778866	8.414564967	8.115451055	7.475507372	7.415442837	8.484183676	7.742683556	8.068559911	8.03125366
10146	8.062238647	8.266979406	7.96295097	8.265896523	7.85713117	7.893350548	7.905361048	7.801598465	7.799818011	7.890533556	7.70015443	7.76455288
10147	8.113262224	7.976335526	7.832103222	7.896245643	7.813803529	7.719755336	8.168821943	8.162909841	7.705646901	7.635939581	7.737344928	7.803083411
10148	7.776525676	7.510358551	6.993210637	6.990785762	7.199503963	7.330898093	8.191221179	8.071205099	6.861344132	6.65563227	6.976034063	6.872628954
10149	7.118370893	7.148778439	7.214770701	6.992974463	7.174459874	7.20744183	7.133048286	7.239021823	7.076454757	6.996103233	7.093107039	7.03834958
1014	7.000300942	6.917704035	7.042357855	6.859211068	6.993459228	6.948727691	7.417374645	7.255513818	6.914598606	6.811340083	6.931219333	6.858416147
10150	7.663213906	7.465239136	7.625292207	7.340180307	8.381635104	8.151875143	6.639211814	6.778410345	8.444918484	8.100286395	8.041421357	7.865701242
10151	6.381785474	6.692682798	7.501365158	7.366677073	6.982912441	7.105458123	6.351661821	6.351768246	7.058511921	7.374229849	7.046711296	7.116358064
10152	8.120343095	8.003234955	7.853001622	7.945467361	7.74440281	7.934692143	8.20139349	8.317206279	7.673811174	7.702419104	7.785543232	7.76071185
10153	8.410007517	8.499056528	8.987853376	9.273896106	8.379964988	8.301668207	8.524530704	8.373711838	8.72207601	8.889764803	8.643586591	8.701320376
10154	6.768571877	6.685141211	6.888754755	6.859335531	6.941450911	6.922711667	6.791018901	6.816484447	7.002572954	6.94593428	6.903405442	6.922792727
10155	8.414442947	8.113770758	8.019697215	8.313717909	7.721991027	7.5924956	8.30525053	8.408436876	7.565570139	7.55821612	7.568875329	7.575279269
10157	6.985375772	6.912850899	6.984795395	6.841407017	6.927317812	6.854529801	6.913947657	6.913256702	7.093322148	7.00951221	6.942693299	7.131526124
10158	8.649502574	7.950005105	7.51821178	7.387291903	7.581602942	8.487108997	8.589128036	7.386852315	7.17118635	7.238576802	7.229504251	7.413775218
10159	8.125626981	9.989783112	8.761111785	8.774697921	8.831061116	8.60975358	7.63940309	8.022591084	9.57289336	9.941495503	9.344099012	9.854610114
1015	7.07543707	7.022307844	7.114090357	7.072745796	7.137909954	7.149042845	7.059934109	7.147331193	7.106930126	7.10099008	7.136408811	7.136930129
10160	7.756571104	7.893693248	8.927875446	9.546859493	9.410677446	9.39870858	8.137519731	8.345921932	9.797169289	9.757929676	9.221079543	10.17473732
10161	7.373253589	7.641350804	8.07076308	7.132846418	8.798000192	7.959628126	7.468223722	6.860478572	8.505865949	8.082215893	8.326246857	8.093371756
10162	7.350394702	7.568934618	6.967123116	6.976256826	7.134386838	7.15515693	7.62832582	7.472874556	7.11866596	7.200967226	7.022128127	7.179267628
