Compound ID	exp1	exp2
C00855	0.606081758	-0.461555455
C04698	2.354422442	-0.677378522
C05974	0.583965862	0.313658859
C06838	-0.977986098	-1.352205056
C08693	-0.371342408	0.095699887
C02995	-1.294973625	-0.987123836
C12987	1.672628539	-0.49542491
C06212	-0.846111261	0.396011978
C02426	1.685581536	1.244247493
C07605	-1.143962779	-0.110969796
C06746	-0.561492554	1.347979255
C06965	1.080196827	0.897223819
C07318	0.577854307	1.034244107
C14831	-0.655112865	0.061307899
C03771	-0.064229231	-0.788382377
C08737	-1.148240864	-0.063773642
C03848	-1.022858573	-0.729348224
C07098	-0.152456914	1.10767322
C02290	0.513171144	-0.7535187
C04033	1.371968328	0.451896809
C02964	0.336417629	1.514968332
C01222	-2.226802977	-1.323977185
C06085	-0.126877266	-0.496507489
C11632	0.64333333	0.513171144
C02037	-1.263421516	0.957575573
C11412	1.206361086	1.647867446
C00526	-0.780524115	1.189438659
C10509	0.574694045	0.006645632
C14138	0.436584497	0.962264542
C08364	0.062734383	0.133785963
C02778	-0.915578335	0.123735424
C01356	-2.008556194	0.697023828
C03525	0.56122333	1.104614715
C11195	0.628911684	-0.110879284
C06318	-1.372216383	0.3644283
C07415	1.051317399	-1.161423849
C01452	0.556511663	-0.993825772
C02122	-0.517241265	1.039398118
C06347	-0.727592887	1.78522605
C04834	0.838812955	-1.053950997
C01294	1.74167242	1.280712185
C14779	1.369226771	0.030526335
C02427	0.272975268	-0.175503818
C15232	-0.240486104	-0.461848464
C02084	-1.44583946	-0.129183481
C01643	0.032777478	-3.349437726
C05595	1.083992363	0.236060355
C02244	-0.568735253	0.068481448
C01517	0.218865056	0.435356534
C17419	-0.628201875	0.623558264
C06889	-0.470523474	0.120995641
C12650	-0.199934776	-0.655112865
C07752	-0.702994145	0.284641522
C00342	-1.843134778	0.97985755
C07288	-0.104945629	0.033874233
C12531	0.714788709	-0.533908787
C16314	-1.142470939	-0.35519572
C10664	-0.685667632	-1.372216383
C12339	0.917396619	-0.257175589
C14713	1.093824693	-2.462807493
C06717	-0.699677075	0.218534467
C09544	-0.545694469	1.864081668
C06138	-0.359213504	-0.668536461
C03459	-0.273439472	0.871638735
C08053	-0.512337491	-0.850474601
C02169	0.907353157	-1.88260251
C15798	0.378877481	-0.975098524
C08662	2.975083431	0.487331823
C07475	0.009920589	-0.030385685
C04813	-1.126276344	0.551589928
C02022	0.436279726	-0.396439477
C05268	1.658627906	-0.670739728
C01195	0.216056193	0.243139013
C01564	-1.983306506	0.052809348
C07505	-0.258345218	0.978722569
C03897	-1.421708313	-0.268631628
C00357	-0.547967418	-0.94065831
C14357	-1.411098404	-1.63474621
C00943	-0.126877266	0.156613786
C00587	0.556511663	-1.112614284
C01662	0.272352956	1.558156833
C08652	-1.907617759	0.085193778
C11399	-0.743470083	0.124965752
C07404	-1.155991807	-1.269772533
C16903	-0.461848464	-1.247898494
C02775	1.3308396	-1.217276628
C07422	0.700046292	0.738665218
C01847	1.384456996	1.280421001
C06463	0.679345637	-0.061168086
C00065	1.133050156	-0.864523499
C07480	-0.602572114	0.621168203
C11810	-1.031536121	-1.30754148
C14644	0.838736564	-1.442668213
C01047	0.623558264	-0.540004097
C00177	1.138270725	0.368574821
C13895	0.136005231	-1.44583946
C07665	0.274148637	1.717409546
C05377	-0.220230612	-0.335192055
C01613	0.504317073	-0.55810518
C14397	-0.754632343	-0.334848986
C03120	0.797413797	1.281236199
C00806	0.978722569	2.278398122
C08861	1.276612096	-2.345219494
C02824	-0.068519186	-1.818892707
C06140	-1.448206326	-1.296550324
C11344	0.992777859	-0.731428442
C04424	1.17692463	1.028895547
C05441	1.923760316	-0.359213504
C04063	0.544996781	0.453948361
C07274	1.086710188	0.547622433
C02972	-1.013839313	-0.677461766
C04611	-0.337875358	-0.638288033
C07887	-0.509939474	-0.607816183
C14010	-0.898979843	-0.870192863
C00519	0.738665218	-2.73892217
C14513	0.423786269	-0.22664406
C01759	0.15009179	0.139758526
C00882	2.22670026	0.993791195
C09131	1.631522368	-0.229641657
C13198	0.575165923	1.514968332
C00964	1.117216292	-0.780524115
C01407	0.14713775	0.647975707
C06027	-1.064609352	-0.818234364
C09672	-0.643507355	0.007480096
C08848	0.098351647	-1.851350268
C00035	-1.201487315	-0.504314834
C03709	0.907586148	-1.40422642
C08286	-0.339686254	0.731190069
C06768	1.471070728	0.030526335
C08146	-0.296711117	0.179657094
C06572	0.409855367	-1.378848262
C00791	-0.412729915	2.567560785
C06380	-0.878190307	1.141456757
C03340	0.352939386	0.682046487
C05401	1.335576152	0.645030816
C03927	-0.119088244	0.46129615
C11620	0.330502013	-0.248641232
C13810	-1.005988488	0.25392075
C05938	-1.71395475	0.946177501
C01048	0.436279726	-0.247757246
C05966	0.275414448	-0.725936586
C05116	-1.570538036	2.008505763
C06812	-0.334848986	-2.071912136
C00968	1.22484998	-0.47083113
C00764	0.319504711	-0.119783538
C00112	0.30958105	-1.05943812
C11952	0.815969258	-0.349029406
C01779	0.415513226	-0.939124277
C14418	-0.498491143	-0.327282468
C01110	-1.520188762	1.568235717
C01769	-0.482607894	1.198307286
C03090	-0.342496567	-0.25134521
C07334	1.366844857	-0.442872233
C00128	-0.133854147	0.393698479
C05529	-1.144663944	0.144333934
C08302	-0.149525909	-1.378848262
C02660	-0.298010214	0.050091114
C04251	-1.49572445	2.33979325
C05539	0.275414448	-0.016994425
C15999	1.329491703	2.023978128
C04136	0.711178718	2.059517921
C02713	-0.934434956	0.887648822
C00825	0.284889466	-1.28601877
C06467	-0.999379756	1.937436116
C06755	-0.614221567	0.693572293
C05810	-0.606701892	0.695299255
C00045	0.583277254	0.104261849
C06656	-0.11893395	-1.634398228
C09133	0.039893222	-0.704146005
C07445	1.065473461	0.928080815
C00579	0.297681944	1.835128267
C03190	-0.00518647	-0.010633997
C01131	-1.818892707	2.078510267
C05135	-0.856814339	-0.056662887
C04092	-0.289912539	0.567830386
C04074	-0.469470391	-1.349651915
C01691	0.095699887	0.454689244
C08021	0.454689244	0.522382283
C14082	-0.141299319	1.865462453
C01728	-1.001974369	-0.446655516
C11480	1.848653514	0.463173999
C02939	0.981588351	-0.630173055
C12486	-0.729354787	-0.202457975
C16422	1.065473461	1.003271095
C08348	0.893146357	0.304360333
C04458	0.287307159	-2.527815121
C06821	0.117007616	1.540642486
C01217	0.359661513	-0.864056736
C05979	-0.372247042	0.870630879
C05445	-1.332859286	0.999626751
C06327	-0.899478754	-0.598954933
C03592	0.645397666	-0.130672743
C05658	0.471067816	1.104323548
C11545	-0.158089795	0.064441235
C01640	-1.05943812	0.61042838
C03492	0.450559276	-0.356745602
C07864	0.289720588	0.962264542
C04877	0.623100615	-1.769319317
C01536	-0.157045559	2.361210832
C15544	1.733114785	0.571784922
C03344	1.207665566	0.679428403
C03799	1.011167591	0.389651672
C02765	-0.408935019	1.378131124
C13355	-0.038411397	-0.081230333
C10923	0.485819705	0.143995113
C16390	0.840120048	-0.240486104
C02906	0.102694258	0.162274918
C07566	0.423331113	-0.685650192
C04390	-0.10709997	0.64333333
C03641	-1.144296475	-1.22707334
C07949	2.826697256	-0.540616369
C06141	-0.623373378	-1.144296475
C15570	-0.152456914	0.715139859
C12263	-0.845050115	0.511021275
C02010	1.17692463	1.454804273
C07882	0.908036116	1.339963157
C03965	-0.795571498	0.761381927
C14734	1.299123276	0.745688536
C00060	0.249272193	-0.752629135
C04656	-0.916345066	-0.0221735
C00101	1.502263114	-0.509939474
C05984	-0.862189516	-2.290118973
C02549	2.36221089	1.077273626
C01871	1.688373735	0.050091114
C00941	-0.377620796	-2.51309002
C13700	-0.317164855	-0.794562222
C06732	-0.744645621	-0.143370347
C13016	2.690167992	-0.262997226
C01099	-0.22664406	-2.599423859
C14422	1.259538863	1.237048512
C11391	-0.855820457	0.707545358
C01405	-1.010559126	-0.524222107
C00159	0.477890024	0.410873457
C00892	-0.022844384	-0.221443906
C00489	0.654506918	-1.082000073
C00127	-1.715589896	-0.171456149
C11025	-0.131405658	-1.125630052
C00257	-0.170942096	1.492002934
C00153	-0.744645621	1.572342741
C00301	-0.297656572	-0.142797202
C01324	-0.144918881	-0.841710136
C00194	0.07553984	-0.150555627
C03413	-0.19549731	0.903418393
C04336	0.322041806	0.680550674
C02779	0.339000592	-1.301098282
C11054	0.465130835	-0.47083113
C06791	-0.194305935	-0.916345066
C02727	-0.560988798	-0.888330509
C05297	0.493726857	-0.999379756
C03783	1.28150904	0.319725376
C16565	-0.015185813	-1.252531339
C05775	0.392834602	-2.022644097
C00392	0.020878593	2.096684411
C11991	-0.985746105	-0.447112095
C08817	-0.413018711	-0.243308935
C04738	2.096684411	-2.000248072
C00566	0.126616555	0.418336807
C04718	1.391333692	0.409819749
C07518	1.189351694	-0.737405071
C02142	1.671918456	-0.469470391
C05634	-0.013697747	-0.899478754
C01674	-0.207331048	-1.985443585
C06880	1.224276793	0.391598412
C04330	0.683965448	-0.764240506
C15025	0.297681944	-0.110969796
C14358	-1.125996888	0.89812331
C02060	-0.59951256	0.26381497
C10119	-1.143364376	0.601087978
C03293	0.61042838	1.736895153
C01261	0.460083825	-0.923738263
C07577	-0.126877266	0.657264592
C00394	-1.17054171	-1.254028069
C14202	-0.959892219	0.343140381
C03594	0.504317073	-1.446618127
C09821	-0.769163002	-1.722891299
C15611	-1.850789563	-0.507496812
C00682	-0.461523185	-0.357041809
C12864	2.033864005	-2.010677181
C00645	-1.858161431	-1.739049478
C05302	-1.850789563	0.315249849
C14299	-0.619807814	1.048215486
C02965	0.036218172	-0.352252564
C03281	0.769910668	-0.152456914
C06361	-0.412729915	0.697023828
C01468	-0.072958857	0.223100959
C08117	-1.973695778	2.975083431
C05815	0.825343305	-1.843134778
C11060	0.272975268	-0.083781598
C14823	-2.066348209	-1.991793113
C00252	-1.102041537	-0.247505047
C06670	0.37425505	1.547142067
C05127	-1.716186872	-0.619457985
C16569	-1.153235171	1.443217407
C11592	-0.888357503	0.306364284
C06905	-0.236104014	-0.653920849
C00282	0.073655649	-1.985443585
C05620	-1.276807758	0.205154982
C11396	-0.35519572	0.072882553
C02452	0.462507933	-0.081875589
C06198	0.780735521	0.144333934
C05950	1.259732323	1.262156279
C05231	1.85536358	1.210921054
C03365	1.103182406	0.032777478
C00524	1.121346627	-2.886465487
C13890	-0.197478638	0.870630879
C11382	0.950967179	0.438315108
C03078	-0.085126901	0.73901651
C08374	-0.978026539	-1.148240864
C04635	0.819696806	0.304907912
C14820	0.459536206	-1.907617759
C04502	0.875950799	-1.322115275
C16156	0.037260102	-1.983306506
C00083	0.53007244	0.907353157
C05680	-1.159849037	0.775329972
C05266	-0.848122882	-1.9965164
C03354	-0.135470083	0.204436645
C03309	-0.085126901	-0.918872249
C12978	-0.372247042	0.154047465
C06793	0.65694649	-0.831909835
C04798	-1.252531339	-0.655065344
C02294	1.736895153	-0.07089023
C08615	0.019165752	2.948852917
C02569	1.280612814	1.735256231
C04889	1.041320745	-0.227183817
C05294	1.717409546	0.445206426
C07777	-0.266013935	-0.863104723
C00185	0.347539199	-1.247898494
C03002	-0.022844384	0.577705624
C18535	-1.801430697	-0.739340878
C02763	-0.25216317	-0.375373013
C01102	-0.721661017	-0.476776882
C00006	-0.129183481	0.809724221
C06416	0.815277878	-0.01453418
C07521	-2.007772175	-0.790035534
C07147	-0.916901402	0.269199578
C06729	-0.121771589	-2.178676604
C04409	0.287307159	0.02041577
C06031	-0.503883754	1.05470418
C00369	0.669267173	-0.512594493
C08362	-0.184435004	-0.553314045
C02810	0.073655649	2.36221089
C00962	-0.537259157	0.435356534
C02139	1.354010456	-3.080042596
C13440	2.10347418	-0.492028807
C01420	1.02266506	0.489946393
C08251	-0.312543299	0.415697841
C00295	-0.332193663	-0.11893395
C03072	0.616673014	0.64333333
C14285	0.09919425	-0.747253013
C01806	1.688373735	0.53007244
C16301	1.541442706	-1.583274419
C05176	0.377473607	-0.769024431
C02051	-1.851350268	-2.451482161
C05434	2.55992472	0.44115507
C03542	-0.32714911	0.077116204
C16243	-0.951193125	-1.729539157
C11521	0.735103158	2.118214773
C08604	-0.220789069	-0.706926933
C06315	-0.229641657	0.310793794
C12639	1.252527919	0.218865056
C02280	-2.317127019	2.242741187
C03375	0.269199578	-0.537790327
C00561	0.35048743	-1.835462438
C00876	-0.908462815	-1.283655247
C06951	0.423882044	2.146858015
C02272	-1.526607821	0.941101994
C00727	-0.358754466	0.950917578
C01717	1.864081668	0.838812955
C04667	-0.530592594	0.781295325
C02038	-0.296711117	0.410873457
C01451	-1.04352383	1.190092299
C07707	1.380901922	-0.952070047
C04526	-2.317127019	-0.722897046
C08390	-0.753705469	-0.845330248
C10023	2.422521114	1.012340521
C05147	-0.439141592	-1.153235171
C16737	0.992777859	-2.023795359
C14508	2.662186436	0.217629173
C00229	0.469245106	-0.457980374
C16303	0.143561615	0.231671897
C03660	-0.933523651	2.111885748
C14795	-0.753705469	-0.206377947
C08126	-0.848592532	-0.786891178
C07570	-0.236623267	-0.512913697
C12397	0.059756786	0.50421358
C09248	-0.329167632	-0.706790228
C04540	-0.423455872	0.815900803
C13741	-0.928822707	1.693798565
C03741	0.093555529	-0.389963393
C02391	-0.216379392	0.857981386
C10072	-0.574124287	-1.378848262
C06521	-0.001560243	0.678987553
C11045	1.132630207	0.00939061
C06389	1.566873337	1.371968328
C03220	-0.280672426	-1.125996888
C03737	1.138270725	0.37425505
C03754	1.558369691	-1.576584332
C10453	-0.334848986	0.486578747
C03154	-1.236182039	1.609460946
C01403	-1.9965164	0.289446645
C00099	1.865462453	-0.35439813
C05995	-0.252197466	-0.81020187
C00794	0.164266034	0.552940598
C01456	0.644310435	-0.108433586
C03137	0.514889764	-0.280672426
C02960	0.235731158	1.05470418
C05479	0.077312952	1.141456757
C08111	-0.230479378	1.611833928
C05230	-0.706942073	0.476018076
C06474	-0.546543225	-0.595334865
C00474	-0.697616743	-0.753705469
C07192	-1.252531339	-0.299310317
C01553	0.026887498	-0.312543299
C02160	-0.602572114	-0.407414976
C06425	0.098489764	-0.32714911
C05273	0.512765036	-2.394783484
C02838	1.093824693	-1.570538036
C00688	0.029732051	-1.076021545
C01563	-0.125870018	0.338693968
C08843	1.207267599	0.351825223
C00154	0.083003553	0.033818884
C07272	-0.221292968	-0.32714911
C05799	0.339181726	-1.51808565
C08539	-0.412451988	-1.729539157
C04106	-1.001974369	0.3764026
C03217	-0.334848986	-2.219935243
C02784	2.059517921	-0.25216317
C04467	-0.156260777	1.370610577
C07115	1.100366287	0.647362197
C00192	-1.926565335	0.680675402
C05338	-1.015260021	-0.005123715
C01337	-0.056291144	-0.018908087
C02324	1.190092299	-0.036446744
C11400	0.274049282	-1.072329106
C01526	-0.773760201	-1.589190865
C03207	-0.668536461	2.059517921
C00859	-0.49542491	1.276612096
C01598	0.603359481	1.133050156
C07308	0.379814003	-0.687749631
C06367	0.322041806	1.327404225
C14812	-0.628201875	-0.841710136
C00878	0.771901002	-0.798832566
C00291	-0.727592887	1.672628539
C10395	0.885668783	-1.684368764
C03317	-1.650028169	0.435356534
C17209	-0.985746105	0.039081687
C01953	-0.23162958	-2.182182122
C06030	0.484952396	0.680550674
C05925	0.128915366	0.517671046
C00329	0.13258769	-1.12781653
C01059	0.467452156	-0.036597074
C06005	-0.419145884	-1.167961048
C05227	-0.222124802	1.36213334
C04885	-0.367142838	-0.300026307
C05679	-1.488501175	-1.161555681
C00333	-0.706790228	2.531991003
C10102	-1.283655247	1.729842048
C00372	0.496784993	-0.848122882
C09099	-0.79910071	1.003271095
C05433	-1.431212733	-1.099297673
C00491	0.35749013	-0.771495285
C11380	-0.042147441	0.347539199
C00294	1.541442706	-0.517667553
C00125	0.282463333	-1.235322473
C03935	-1.208541095	-1.210687825
C01108	-1.191258131	0.554881341
C10377	-0.347149615	-0.161324245
C00909	0.039893222	2.108532597
C04722	-0.793020026	-0.709988924
C02519	0.47778056	1.091253704
C13122	-0.754632343	-0.713176884
C07870	-2.227461557	-0.800677494
C04030	-2.073488912	0.379814003
C12624	1.09397855	0.475763228
C04925	-0.19549731	-0.709965381
C04890	0.393698479	-1.050597022
C03715	-0.740510176	0.077116204
C08149	1.3308396	0.295763524
C03981	2.746601585	-1.15912495
C08243	0.465130835	0.787771051
C08157	-0.462370906	1.148387661
C13455	-0.482607894	-0.786891178
C04236	0.681928471	-0.546396145
C07773	0.272638281	-0.707953214
C10098	-0.509939474	0.682046487
C00226	2.058207872	-1.1847559
C06114	0.030526335	-0.654300212
C05584	-1.303949552	-1.04352383
C11752	0.496431054	-0.598954933
C00385	0.39885283	-0.871119315
C06973	-0.054730078	1.937436116
C00583	-1.079269018	-1.232416389
C14712	-1.089761454	-2.066348209
C05439	-0.607452698	2.030776946
C00144	0.661242529	-0.661399365
C03860	-0.753705469	1.04797641
C11003	1.540642486	0.445752801
C19560	0.748760883	0.244805168
C00286	-1.019395169	0.059756786
C02243	0.274049282	-1.538910645
C14434	0.920340665	0.627872516
C03178	1.354010456	-0.275770675
C02757	-0.224603488	0.382120312
C09806	0.887648822	-0.659383849
C03870	-0.152972835	1.118718108
C03323	0.763339186	-0.524222107
C09955	-1.308867229	0.67056317
C09126	0.100266914	0.471318376
C04223	0.928878437	2.146858015
C00977	0.027293983	0.164266034
C10787	0.489207161	0.193090595
C04942	0.505905306	0.484952396
C14808	0.319504711	-0.287387009
C07886	-0.016319391	-0.135470083
C06124	0.148930253	0.347410631
C05107	-0.909451469	-0.108191834
C03442	0.893399213	0.451074309
C13192	0.03617514	-0.34259274
C11766	-0.213033196	0.546868927
C03515	-1.119719225	0.988884659
C01808	0.893146357	-0.729348224
C05335	-0.509939474	0.586664062
C12368	0.673934005	0.976732558
C02444	0.332772466	-0.463774796
C16795	0.177118003	1.239277687
C09731	0.169181638	-0.152456914
C11507	0.483525217	1.585457975
C00399	-1.294268434	0.607698486
C06756	0.94271908	1.736895153
C13194	-0.107983294	-1.103046397
C04621	-1.232416389	-0.376218311
C15676	0.893399213	-0.846111261
C01623	-0.806191103	0.053018126
C06469	1.011167591	-0.679873971
C05379	0.731612473	0.602856326
C07335	1.103182406	-1.143263862
C05700	-1.148240864	-0.561492554
C06856	1.102248361	-0.877510232
C00643	0.401662582	-0.116121927
C01438	-0.916431382	2.056504138
C10809	1.136126738	0.85644462
C00864	0.061179665	0.23617747
C10382	-1.891184132	-1.085694965
C00921	-0.684767777	-0.446655516
C02579	0.534288663	-0.195712404
C02909	1.685581536	-1.129725738
C01087	-0.672684017	0.511441111
C05343	0.836765567	0.775329972
C03868	-0.001397088	-0.915315192
C04630	-0.842004751	1.270100041
C00320	-1.021459765	1.794054441
C00390	-0.19549731	1.039398118
C06922	-1.573238786	-0.156590964
C03565	-0.710141362	-0.621899192
C01413	0.172377295	0.769910668
C00741	1.971020181	-0.831545692
C03109	0.216989246	-0.759523849
C00427	0.489069507	-1.368872004
C00149	0.039893222	0.726915086
C01490	1.402867614	-1.152599476
C14769	1.62791592	-1.687486808
C06749	-1.119719225	0.656502359
C13540	-1.148240864	-0.983634527
C01329	-0.338517081	-0.256515335
C13932	0.510602624	0.503475863
C05021	1.339963157	0.567684265
C10165	-2.414862812	-0.042254299
C05618	-0.909323401	1.149618946
C01573	-1.984552663	-0.236623267
C00425	-0.175503818	-0.161324245
C03761	-1.421852088	-0.189677152
C06676	-0.105518884	-1.108842439
C14772	-1.161555681	1.207665566
C05301	-0.372247042	-0.381056036
C14693	-0.105518884	-0.221443906
C03402	-0.706926933	-2.226802977
C14821	-1.841758415	-1.17823136
C00846	-0.105518884	-0.643701629
C06054	0.166798808	-0.497656489
C09723	-1.300438026	-1.300763953
C04891	-2.295046356	-0.463774796
C00450	-1.576584332	-0.951193125
C05577	-0.677378522	-0.630173055
C03071	-0.607816183	-0.598462507
C01216	-0.064455079	-1.23292232
C00011	-1.112614284	0.307198585
C02351	-1.007673136	-0.124694083
C06231	-1.272571346	-1.280559259
C03665	0.404602859	2.690167992
C03410	0.384124154	0.90803142
C06860	-0.253481001	0.400653855
C06520	0.804569223	-0.107983294
C00032	-1.199257182	-1.841758415
C14114	-2.295046356	1.65545338
C06611	0.007300787	-0.293612813
C15884	0.656502359	-1.695848217
C05156	0.026887498	-1.063787623
C00891	-0.218307914	-1.576584332
C05578	0.711178718	0.941726619
C19795	0.815277878	-0.544299675
C11730	-0.448367895	-1.343743678
C00091	0.450403452	0.123937707
C11630	0.575331251	-0.010633997
C12371	2.721365112	-0.609538018
C13817	-0.771592288	0.319725376
C02657	-1.985443585	-2.067266664
C11612	0.313974162	0.765553667
C02226	-0.80089421	-0.609538018
C07294	-0.667799623	-1.589190865
C04641	0.387270094	0.941726619
