gene.ens	data
ENSMUSG00000034488	-0.288590815
	-0.555476459
ENSMUSG00000030682	0.026964539
	-1.274058097
	0.099394885
	1.396399877
ENSMUSG00000094944	0.69395259
ENSMUSG00000045248	0.320421679
ENSMUSG00000071256	0.647729561
ENSMUSG00000063089	-2.094717901
ENSMUSG00000088148	-0.169863414
ENSMUSG00000071073	0.808985366
ENSMUSG00000063856	0.612427502
ENSMUSG00000059475	-0.426848702
ENSMUSG00000040919	0.816149842
	-0.986221454
ENSMUSG00000059134	-0.044416473
	1.356912927
ENSMUSG00000098756	-0.67355542
ENSMUSG00000022682	0.827425354
	1.227847943
ENSMUSG00000021143	0.093125429
ENSMUSG00000072244	-0.471583766
ENSMUSG00000047126	-0.631220774
ENSMUSG00000028468	-1.233507999
ENSMUSG00000053175	-0.103615202
	-0.52721119
ENSMUSG00000022262	0.978081066
ENSMUSG00000073386	0.703075534
ENSMUSG00000037251	-0.375847688
ENSMUSG00000021196	-0.399471365
	0.066347147
ENSMUSG00000084989	1.067877098
ENSMUSG00000041550	-0.113558373
	1.024250106
	-0.383864221
ENSMUSG00000019734	0.849995826
ENSMUSG00000024383	-0.368312124
	1.620070088
ENSMUSG00000095784; ENSMUSG00000094325; ENSMUSG00000096820; ENSMUSG00000094813; ENSMUSG00000095950	-0.951190414
	-1.305731691
	-0.174351417
	-0.426495181
ENSMUSG00000045730	-0.445453661
ENSMUSG00000036225	-0.480642148
ENSMUSG00000063268	1.450026648
ENSMUSG00000028523	1.028323665
	-0.719657455
	-0.207783946
ENSMUSG00000026447	1.206134114
	-0.497428578
	-0.676946008
ENSMUSG00000006342	1.592661001
	0.795963791
ENSMUSG00000091422	0.625337981
ENSMUSG00000024983	0.196263233
ENSMUSG00000026955	-0.01563375
	-2.728074417
	1.887082367
ENSMUSG00000035372	-0.815578072
	-0.000354185
ENSMUSG00000055069	-0.808816999
ENSMUSG00000035211	-0.312024857
ENSMUSG00000004270	0.932887323
	0.054306371
ENSMUSG00000059013	0.086375639
ENSMUSG00000049864	-0.60635269
ENSMUSG00000063160	-0.0031336
	2.233484881
ENSMUSG00000056536	-0.723400879
	0.630403835
	0.467959622
	-0.155399166
	0.493432003
ENSMUSG00000033793	0.435628155
ENSMUSG00000058239	1.315818162
ENSMUSG00000029369	-0.211124958
ENSMUSG00000096696	1.016525072
ENSMUSG00000086638	-0.575795558
	0.036413821
	1.127201497
	0.32879568
ENSMUSG00000075069	1.186373329
	0.83715035
ENSMUSG00000063777	2.361870382
	0.466597257
ENSMUSG00000099321	0.179031696
ENSMUSG00000026398	0.306723903
ENSMUSG00000036908	0.552169896
ENSMUSG00000021504	-1.308499913
ENSMUSG00000040943	-0.543278985
ENSMUSG00000030871	0.247497945
ENSMUSG00000059319	0.78608529
ENSMUSG00000085108	0.474008946
ENSMUSG00000074909	-1.467023308
ENSMUSG00000021822	0.240577942
ENSMUSG00000050323	-0.964173576
ENSMUSG00000033065	1.397336665
ENSMUSG00000094734	-0.410997045
ENSMUSG00000030822	2.412984722
ENSMUSG00000024105	-0.548757776
ENSMUSG00000037466	0.420906114
ENSMUSG00000063364	-0.488926215
ENSMUSG00000020395	1.551188693
ENSMUSG00000024079	-0.850684107
ENSMUSG00000039062	-1.892182022
ENSMUSG00000018761	-1.080532555
ENSMUSG00000048752	-0.640849946
ENSMUSG00000021953	-0.214620175
ENSMUSG00000033111	1.746668868
ENSMUSG00000034254	1.396177964
ENSMUSG00000031012	-0.53382899
ENSMUSG00000026727	-0.491489385
ENSMUSG00000086228	0.622711838
	-0.372157
ENSMUSG00000033837	0.842725028
ENSMUSG00000021712	-0.724632658
ENSMUSG00000004934	-1.563983611
ENSMUSG00000030283	-0.139918301
ENSMUSG00000077450	0.297040594
ENSMUSG00000029599	-0.773801187
	-1.12820138
	0.035225784
ENSMUSG00000058831	-0.160492887
ENSMUSG00000011114	-0.564174819
	0.289306735
ENSMUSG00000031492	0.030571732
ENSMUSG00000022361	0.757651942
	-0.325767324
ENSMUSG00000079536	-0.620608607
ENSMUSG00000073962	0.139145821
ENSMUSG00000091086	0.268091639
ENSMUSG00000027523	0.11701464
ENSMUSG00000058740	0.812210567
	0.674209703
ENSMUSG00000030339	1.561977197
	-0.675689197
ENSMUSG00000022416	-0.049219446
ENSMUSG00000018921	-0.420046344
ENSMUSG00000042784	-0.464361881
ENSMUSG00000037570	-0.553111046
ENSMUSG00000090892	1.028163625
ENSMUSG00000087386	-0.494777079
ENSMUSG00000068815	-1.147164567
	1.232066254
	0.627009273
	0.20976709
ENSMUSG00000097626	-0.623336255
	0.367512203
ENSMUSG00000086365	-0.748024233
	0.165228785
	0.545373711
	1.440013096
	-0.002986131
	-2.660224768
ENSMUSG00000038976	0.26181182
ENSMUSG00000025920	-0.643555932
	-0.099947779
	0.499726797
ENSMUSG00000051246	-0.051829515
ENSMUSG00000053870	-0.03083511
ENSMUSG00000024712	1.238242108
ENSMUSG00000005802	-0.146451152
ENSMUSG00000053846	0.715490084
	0.984543535
ENSMUSG00000020262	-0.081251092
	-0.327000378
	-1.213885901
ENSMUSG00000070980	-0.677020506
	1.293050203
	-0.299295981
ENSMUSG00000030156	-1.067678049
	-0.177798905
ENSMUSG00000048482	-2.032528748
	0.772252104
ENSMUSG00000022856	-1.181366645
ENSMUSG00000032358	-0.412105163
ENSMUSG00000019326	0.138031319
ENSMUSG00000026048	0.188628102
ENSMUSG00000027304	-0.432662801
ENSMUSG00000063715	-1.344160853
ENSMUSG00000027134	0.958611702
	-0.747124419
ENSMUSG00000030872	-0.263723499
ENSMUSG00000035498	0.153297253
ENSMUSG00000062818	-0.524525676
ENSMUSG00000047675	-0.749873901
ENSMUSG00000019831	-0.302630869
	0.323124418
ENSMUSG00000067049	0.919070757
	-0.242731354
ENSMUSG00000061787	0.331720347
	-1.93057023
	-0.093539151
ENSMUSG00000021218	0.153955637
ENSMUSG00000091144	1.497430926
ENSMUSG00000072941	-0.236522233
ENSMUSG00000056602	-1.575028913
ENSMUSG00000007415	-1.212482784
ENSMUSG00000046792	-0.682640148
ENSMUSG00000015452	0.019606462
	1.440719504
ENSMUSG00000094192	0.014899137
	1.358306713
ENSMUSG00000033287	-0.469976766
	0.16897763
ENSMUSG00000066406	-0.560869964
	0.441374149
ENSMUSG00000039047	-0.099219736
ENSMUSG00000032172	0.077328998
ENSMUSG00000025272	0.069229341
ENSMUSG00000007034	0.034922651
ENSMUSG00000027395	-0.91251098
ENSMUSG00000037424	0.434148544
ENSMUSG00000007812	-1.66094646
	0.029129651
ENSMUSG00000029410	0.859959394
	0.05468261
ENSMUSG00000030823	0.623080734
	0.628002049
	0.043488512
ENSMUSG00000038416	0.4534994
	-0.404292763
ENSMUSG00000020362	0.458931654
	-0.855612202
	0.686289594
ENSMUSG00000053253	0.039057135
ENSMUSG00000026415	-1.412925458
ENSMUSG00000053318	-0.20582103
ENSMUSG00000019302	1.411830044
ENSMUSG00000024726	0.264024939
	-2.026842717
	0.617747363
ENSMUSG00000024713	1.255101071
ENSMUSG00000056600	0.505602608
ENSMUSG00000020580	-0.07598015
	-1.176653879
ENSMUSG00000068457	0.738180298
	-0.335358284
ENSMUSG00000075065	1.753449123
	1.179988967
	-0.947681898
ENSMUSG00000029050	-0.004351647
	-1.40096825
ENSMUSG00000021476	-0.662644855
	1.09588264
ENSMUSG00000001482	-0.876870924
ENSMUSG00000035152	-0.762762668
ENSMUSG00000048500	0.367254536
	-1.627971982
	0.111210154
ENSMUSG00000030866	-0.085739984
	-0.808283559
	0.347573839
ENSMUSG00000071632	1.506708697
ENSMUSG00000001656	0.483213401
ENSMUSG00000026748	0.901303295
	-0.105175606
	-0.997246892
ENSMUSG00000035198	-0.662101127
	1.313675248
	0.300472116
ENSMUSG00000022622	0.41065848
	-2.298465339
	-0.529021683
ENSMUSG00000094790	-0.697911087
ENSMUSG00000056167	-0.095340364
ENSMUSG00000026811	-0.092930556
ENSMUSG00000036534	0.485431482
ENSMUSG00000091059	-0.855336325
ENSMUSG00000026806	-0.456624082
	0.713301098
ENSMUSG00000017057	0.562758926
ENSMUSG00000052299	0.144917716
ENSMUSG00000099082	1.259182261
ENSMUSG00000093157	-0.796362368
ENSMUSG00000026737	0.378303402
	-0.241117082
ENSMUSG00000028182	0.421424805
ENSMUSG00000090141	-1.081117507
	-0.263010118
ENSMUSG00000076458	-2.056826656
	0.924427138
ENSMUSG00000072494	-0.238300328
	-1.58123522
	-0.73300549
ENSMUSG00000028389	0.785042826
	-2.215392482
	1.262548554
ENSMUSG00000029826	-1.003261623
ENSMUSG00000024968	0.356411382
	-0.030280583
ENSMUSG00000090527	1.449646796
	-0.587676329
ENSMUSG00000030814	0.789165513
ENSMUSG00000028527	-0.807880339
ENSMUSG00000024639	-1.862982454
ENSMUSG00000047843	0.653278367
	2.034284791
ENSMUSG00000073991	0.281121017
ENSMUSG00000027309	0.93166195
	-0.851922922
ENSMUSG00000025213	-0.414673837
	-0.695547087
ENSMUSG00000004891	-1.041993586
ENSMUSG00000040549	0.863192049
ENSMUSG00000079395	0.635656964
	0.153553798
ENSMUSG00000046623	1.489566756
	0.232348243
	-0.422943775
ENSMUSG00000041219	-0.008909729
ENSMUSG00000063478	-0.400698221
ENSMUSG00000060254	-0.560645001
	-0.909466325
	-0.485050086
	1.442417847
ENSMUSG00000025936	0.132153204
ENSMUSG00000027364	-0.839189379
ENSMUSG00000015149	0.889684568
ENSMUSG00000094700	0.56517731
ENSMUSG00000006218	0.142507168
ENSMUSG00000038150	1.740557518
ENSMUSG00000043472	-1.101287258
	1.039998974
	-0.29212637
	-1.008646329
ENSMUSG00000039377	0.178720802
ENSMUSG00000030424	0.904153023
ENSMUSG00000022663	-0.426190402
ENSMUSG00000029627	0.432525616
ENSMUSG00000046753	0.779764447
ENSMUSG00000068437	1.053089443
ENSMUSG00000058014	-0.639739669
ENSMUSG00000045114	-0.179287575
ENSMUSG00000042567	-1.498543105
ENSMUSG00000004018	0.511523548
	-0.939463441
ENSMUSG00000026972	0.934782145
ENSMUSG00000053389	-1.133700134
ENSMUSG00000095648; ENSMUSG00000078875	0.663723045
	0.401943149
ENSMUSG00000022787	-0.337284944
ENSMUSG00000031837	-1.506997102
ENSMUSG00000030378	2.109025483
ENSMUSG00000030413	0.979193885
ENSMUSG00000085184	1.899485888
ENSMUSG00000063704	0.414266107
	1.270370476
ENSMUSG00000091049; ENSMUSG00000095550	0.803311918
ENSMUSG00000064341	-0.445801832
ENSMUSG00000017288	-0.191230038
	-1.150580634
ENSMUSG00000059874	0.019174699
ENSMUSG00000028433	0.77904036
ENSMUSG00000039901	-1.013782297
ENSMUSG00000014039	-0.115703101
ENSMUSG00000002728	0.039998976
ENSMUSG00000057378	-0.513346702
ENSMUSG00000042331	-0.32861785
	0.546958267
ENSMUSG00000048755	0.787963565
	0.677236623
	-0.521081242
ENSMUSG00000038227	-0.199840622
ENSMUSG00000040717	-1.025921839
ENSMUSG00000024085	0.500175963
ENSMUSG00000034636	-0.988908793
	1.063157629
ENSMUSG00000045780	0.975597573
	-0.143119664
ENSMUSG00000070720	-0.124227811
ENSMUSG00000045871	-1.124011976
	1.109633554
ENSMUSG00000066359	0.989096719
	1.254552417
ENSMUSG00000079480	0.133972952
ENSMUSG00000096840	-1.651972603
ENSMUSG00000037263	0.764231744
	0.670286857
ENSMUSG00000039033	-1.120244184
	-0.118237928
	0.460747717
ENSMUSG00000001157	0.854482407
ENSMUSG00000090958	-0.422344088
ENSMUSG00000024155	0.080266957
	0.398510353
ENSMUSG00000024471	-0.44369568
ENSMUSG00000039254	-1.554632534
	-0.685957397
	0.641117102
ENSMUSG00000065094	0.532422545
ENSMUSG00000057895	0.637796703
	1.131951825
	-0.051456877
	-0.743006538
ENSMUSG00000042379	-0.272970906
	2.378984996
ENSMUSG00000092837	0.220336469
ENSMUSG00000095187	-0.122962303
	-0.89385084
	0.849026303
	-0.203843012
ENSMUSG00000040938	1.443066868
ENSMUSG00000011008	-1.322149478
ENSMUSG00000045514	-0.957409438
ENSMUSG00000053961	1.141185576
	0.860366568
	-2.063901202
ENSMUSG00000037492	-1.267868529
	-0.063440383
ENSMUSG00000078759; ENSMUSG00000078757	-0.25089077
ENSMUSG00000022951	-0.561942426
	0.484188216
ENSMUSG00000040690	0.912648441
	1.330960538
ENSMUSG00000028496	-0.695660173
ENSMUSG00000031818	-0.422718392
ENSMUSG00000021548	0.705202313
	0.897816278
	0.972111584
ENSMUSG00000044819	-0.487102576
ENSMUSG00000040410	-0.054374293
	0.354321698
	-0.282619672
	0.452793726
	0.815690822
	0.595027778
ENSMUSG00000022440	-0.867646879
ENSMUSG00000020115	0.781242617
ENSMUSG00000042448	0.355975409
	0.402715505
	-0.346745978
ENSMUSG00000079103	-0.027759849
	0.479725517
ENSMUSG00000052763	0.076271459
	-0.497127957
ENSMUSG00000032402	0.238955313
ENSMUSG00000023963	0.183565513
ENSMUSG00000098923	-0.362883975
	0.226843214
	0.290145351
ENSMUSG00000074417	0.987872259
ENSMUSG00000073458	-1.094148235
ENSMUSG00000094163; ENSMUSG00000095251	0.462738532
ENSMUSG00000085820	-0.290658245
ENSMUSG00000049908	-0.276072034
ENSMUSG00000070705	-0.555704793
ENSMUSG00000046756	1.118722079
ENSMUSG00000027248	-0.766965083
	-0.999088003
	0.490230202
ENSMUSG00000053863	1.685494138
ENSMUSG00000086818	1.499180925
ENSMUSG00000028822	0.067424988
ENSMUSG00000059674	-0.386090902
	-0.882244726
ENSMUSG00000033285	0.949747516
ENSMUSG00000026012	-0.21751381
ENSMUSG00000026761	-0.57518787
	0.608727385
ENSMUSG00000028478	-0.864185965
	0.037243379
ENSMUSG00000022842	-0.202781382
ENSMUSG00000030851	0.099202449
	0.886693692
	0.39240567
ENSMUSG00000079638	-3.312606713
ENSMUSG00000096254	0.409831207
ENSMUSG00000094657	-0.089721828
	-6.32E-05
ENSMUSG00000062373	-0.936277269
	1.409789815
ENSMUSG00000068075	0.547877193
ENSMUSG00000057132	-1.166009033
ENSMUSG00000075210	-1.122950356
ENSMUSG00000037451	-0.654606252
ENSMUSG00000075593	-0.392842402
ENSMUSG00000024067	-0.13257959
	0.344351918
ENSMUSG00000032649	-0.692507508
ENSMUSG00000051223	0.618089507
	-0.655682865
	-1.651854814
	2.015334905
ENSMUSG00000068874	-0.82429828
ENSMUSG00000096603	-0.718366856
ENSMUSG00000042708	0.595317083
	0.326540916
	-0.186324921
ENSMUSG00000024136	-0.329556333
ENSMUSG00000025934	1.430347011
ENSMUSG00000066607	-0.615696932
ENSMUSG00000026708	0.962350493
ENSMUSG00000077925	-0.348014922
ENSMUSG00000034041	-1.115789589
ENSMUSG00000028914	-0.573739695
	0.38534272
ENSMUSG00000094819	-0.572783248
ENSMUSG00000016984	-0.080028878
	-0.927193547
	0.148400847
	0.712256588
ENSMUSG00000037143	0.866976485
ENSMUSG00000068252	-0.362410047
ENSMUSG00000032307	-0.27892875
ENSMUSG00000095784; ENSMUSG00000094325; ENSMUSG00000096820; ENSMUSG00000094813; ENSMUSG00000095950	0.415509783
ENSMUSG00000049687	-0.680703403
ENSMUSG00000014850	1.306559424
ENSMUSG00000035692	0.215600777
ENSMUSG00000041708	-0.147006066
	2.999880206
ENSMUSG00000009876	0.335651983
	0.753562838
	-0.773022362
ENSMUSG00000055926	-0.252807864
	0.69082985
ENSMUSG00000019437	-0.009488843
ENSMUSG00000042073	-0.699202012
ENSMUSG00000040219	-2.209440551
ENSMUSG00000030839	0.439628828
ENSMUSG00000026285	1.953852365
	0.544840049
ENSMUSG00000062638	-2.160733499
ENSMUSG00000048356	1.543187994
ENSMUSG00000058979	-0.46891266
ENSMUSG00000020220	1.282338862
	0.616291358
ENSMUSG00000042041	-1.183307776
	-0.717087584
ENSMUSG00000027530	-1.349201921
	-0.270126192
ENSMUSG00000065482	-0.225203835
ENSMUSG00000028016	1.772402718
ENSMUSG00000042354	1.255969623
ENSMUSG00000071452	0.350920907
ENSMUSG00000035228	-0.510393537
ENSMUSG00000096131	1.459900185
	-0.822223648
	1.37354751
ENSMUSG00000038244	-1.268630348
ENSMUSG00000078057	1.646599301
ENSMUSG00000059423	0.883108678
ENSMUSG00000027737	0.193925282
ENSMUSG00000000690	1.267877166
ENSMUSG00000034820	-2.265999929
ENSMUSG00000059101	-0.106494735
	0.177033515
	0.238749969
ENSMUSG00000044533; ENSMUSG00000091957	0.113387099
ENSMUSG00000070877	-0.104807346
	1.145184475
ENSMUSG00000015305	-1.906462937
ENSMUSG00000030638	1.311127035
	0.70246403
	2.080621503
ENSMUSG00000027171	-0.396947119
ENSMUSG00000018547	0.256015286
	-0.233159875
	-0.857152552
ENSMUSG00000050640	1.501730352
	-0.299715013
	1.168953042
	-1.056396609
ENSMUSG00000057446	-1.395104412
	0.193991242
	0.221983431
ENSMUSG00000043664	-0.677249309
	-0.348934874
ENSMUSG00000031289	0.397115049
ENSMUSG00000024843	0.217570063
	-0.369730891
	0.179888905
ENSMUSG00000030729	0.324605557
	0.074213308
ENSMUSG00000095295; ENSMUSG00000090547	0.007373395
ENSMUSG00000040842	-0.239230114
	-0.570770469
ENSMUSG00000095194	1.651422554
	-0.2665237
ENSMUSG00000027952	1.342715371
ENSMUSG00000026280	1.234282244
ENSMUSG00000095855	1.152159264
ENSMUSG00000085837	-1.240474702
	0.587030726
	-0.467370676
ENSMUSG00000080406	-1.894439873
	0.858924987
ENSMUSG00000051747	0.715094685
	-0.894161624
ENSMUSG00000055401	0.749073837
	1.518940235
	-0.406268459
ENSMUSG00000028124	0.0507701
ENSMUSG00000024290	-0.105348848
ENSMUSG00000021458	0.569961878
ENSMUSG00000086531	-1.284238364
	-0.384381844
ENSMUSG00000028741	2.612551222
	-0.040634587
ENSMUSG00000028998	-2.058075602
ENSMUSG00000018425	2.472368825
ENSMUSG00000042869	1.040500122
ENSMUSG00000096304; ENSMUSG00000096152	0.903550899
	-0.861359334
	1.113223928
	-1.406453216
ENSMUSG00000038298	0.494155911
	-1.39470008
ENSMUSG00000075040	0.460001343
	1.511905426
ENSMUSG00000098230	-1.799708006
ENSMUSG00000021127	-2.299463328
ENSMUSG00000062591	-2.33259465
ENSMUSG00000041012	-0.501164709
ENSMUSG00000061887	0.75679309
	0.338068662
ENSMUSG00000048895	0.379040289
	0.555405482
ENSMUSG00000031551	-0.381876285
ENSMUSG00000026229	0.152664972
	-0.34400321
ENSMUSG00000024294	-0.784232808
ENSMUSG00000028963	1.098770264
ENSMUSG00000050195	0.003119253
ENSMUSG00000067919	0.489772963
ENSMUSG00000024122	-0.0117547
ENSMUSG00000004508	0.66453189
ENSMUSG00000052949	-0.667206584
	1.172075137
ENSMUSG00000039081	1.025626912
ENSMUSG00000031889	0.312997229
ENSMUSG00000036790	-0.357206474
ENSMUSG00000015401	0.434035387
	0.101925735
	0.038078105
ENSMUSG00000032802	-1.45544598
ENSMUSG00000049972	0.677232636
ENSMUSG00000060807	-0.462777975
ENSMUSG00000033685	1.600472823
	1.261053833
ENSMUSG00000090394	1.385736815
ENSMUSG00000049699	-0.899329471
	-0.367291105
ENSMUSG00000037579	0.345725896
	-0.422849002
ENSMUSG00000030611	-0.656876939
ENSMUSG00000064006	2.051504983
	0.028089557
ENSMUSG00000003528	-0.128370602
ENSMUSG00000096406	1.518972655
ENSMUSG00000065397	-2.2590643
	1.238562768
ENSMUSG00000039542	1.380025053
ENSMUSG00000012519	1.334980337
ENSMUSG00000079034; ENSMUSG00000095799	0.149119533
	1.794765682
	0.58663754
ENSMUSG00000042189	0.26034395
ENSMUSG00000079555	0.830950692
	-0.843028194
	-0.44715922
ENSMUSG00000040282	0.255144485
	2.652143906
ENSMUSG00000048455	0.470385032
	-0.065377391
ENSMUSG00000042203	-0.34504191
ENSMUSG00000046523	0.750028603
ENSMUSG00000071724	0.078560105
ENSMUSG00000094549; ENSMUSG00000095888; ENSMUSG00000095038; ENSMUSG00000096122; ENSMUSG00000096058; ENSMUSG00000094246; ENSMUSG00000095617; ENSMUSG00000095405	0.44054955
ENSMUSG00000052298	-0.401840149
	0.618107334
ENSMUSG00000035595	0.642551174
ENSMUSG00000003813	0.994046664
ENSMUSG00000097216	-0.837278593
ENSMUSG00000021280	0.922180795
ENSMUSG00000092985	-0.288585242
	0.661641945
ENSMUSG00000019432	-0.722110675
ENSMUSG00000043542	0.960327527
ENSMUSG00000009670	-0.35792191
ENSMUSG00000022792	1.168477304
ENSMUSG00000079298	-0.669199089
	0.177253784
ENSMUSG00000015536	-0.919148259
ENSMUSG00000038128	-0.074273156
ENSMUSG00000079853	0.311843245
ENSMUSG00000015291	0.343027219
ENSMUSG00000097065	-0.977268463
ENSMUSG00000096477	0.063802212
ENSMUSG00000001027	-0.398532233
ENSMUSG00000094053	0.635260378
	1.154891964
ENSMUSG00000025727	-1.780051074
ENSMUSG00000044814	1.083744018
ENSMUSG00000030423	1.11841835
ENSMUSG00000060685	-1.554643308
ENSMUSG00000032050	-0.164561972
ENSMUSG00000017499	0.641765165
ENSMUSG00000028792	1.862162921
ENSMUSG00000020282	2.694881308
ENSMUSG00000049241	1.317065962
ENSMUSG00000074037	-1.299634618
ENSMUSG00000003477	0.444424805
ENSMUSG00000030223	0.914789681
ENSMUSG00000013822	-0.542321641
ENSMUSG00000006998	0.253856128
ENSMUSG00000093848	1.92619059
ENSMUSG00000091382	1.37339734
	2.694377362
	0.701538024
ENSMUSG00000022789	-0.230174587
	-0.619068338
	-0.325636182
ENSMUSG00000019715	0.180822456
	2.125249495
ENSMUSG00000039304	-0.836492595
ENSMUSG00000028565	1.006273159
	0.044380368
ENSMUSG00000018566	-3.377433724
ENSMUSG00000015247	1.726247656
