kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	DCIS_1	DCIS_2	DCIS_3	DCIS_1.col	DCIS_2.col	DCIS_3.col
56	2597	GAPDH	2597,26330	GAPDH,GAPDHS	gene	458	484	46	17	-0.465361951000001	0.256379673000001	0.65449259	#6AE96A	#DE9E9E	#F43535
57	7167	TPI1	7167	TPI1	gene	386	449	46	17	0.13231854	0.783800399999999	0.365042332	#D3D3D3	#F43535	#DE9E9E
58	5211	PFKL	5211,5213,5214	PFKL,PFKM,PFKP	gene	458	336	46	17	-1.643760339	-0.248543197000001	1.028949275	#00FF00	#9EDE9E	#FF0000
59	2203	FBP1	2203,8789	FBP1,FBP2	gene	408	336	46	17	0.688871919	0.0365654180000003	-0.431164688	#F43535	#D3D3D3	#6AE96A
61	2821	GPI	2821	GPI	gene	483	265	46	17	0.238322181000001	0.797321546999999	0.266118982	#DE9E9E	#F43535	#DE9E9E
62	5236	PGM1	5236	PGM1	gene	483	178	46	17	0.156322794999999	-0.102349738000001	-0.162988475000001	#D3D3D3	#D3D3D3	#D3D3D3
63	2821	GPI	2821	GPI	gene	385	302	46	17	0.238322181000001	0.797321546999999	0.266118982	#DE9E9E	#F43535	#DE9E9E
64	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	291	46	17	0.736322720999998	0.614081288	0.608808385	#F43535	#F43535	#F43535
65	2645	GCK	2645	GCK	gene	233	312	46	17	-0.0576779969999999	0.000296897000000129	0.0205901510000004	#D3D3D3	#D3D3D3	#D3D3D3
66	2821	GPI	2821	GPI	gene	357	264	46	17	0.238322181000001	0.797321546999999	0.266118982	#DE9E9E	#F43535	#DE9E9E
68	130589	GALM			gene	181	264	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
69	2645	GCK	2645	GCK	gene	233	239	46	17	-0.0576779969999999	0.000296897000000129	0.0205901510000004	#D3D3D3	#D3D3D3	#D3D3D3
70	3098	HK1	3098,3099,3101,80201	HK1,HK2,HK3,HKDC1	gene	233	218	46	17	0.736322720999998	0.614081288	0.608808385	#F43535	#F43535	#F43535
71	2538	G6PC	2538,57818,92579	G6PC,G6PC2,G6PC3	gene	316	193	46	17	-0.171383027999999	0.399166364999998	-0.28124465	#D3D3D3	#DE9E9E	#9EDE9E
75	1738	DLD	1738	DLD	gene	262	908	46	17	1.259418634	0.0419226999999998	-0.290693236	#FF0000	#D3D3D3	#9EDE9E
76	5230	PGK1	5230,5232	PGK1,PGK2	gene	483	557	46	17	1.161388702	0.916661775999998	0.188501446000001	#FF0000	#FF0000	#D3D3D3
112	5105	PCK1	5105,5106	PCK1,PCK2	gene	239	726	46	17	0.765691421	0.929382490999998	0.278763651999999	#F43535	#FF0000	#DE9E9E
128	669	BPGM	669	BPGM	gene	531	593	46	17	0.0766397789999997	0.451191619	0.395048738	#D3D3D3	#E96A6A	#DE9E9E
129	669	BPGM	669	BPGM	gene	531	521	46	17	0.0766397789999997	0.451191619	0.395048738	#D3D3D3	#E96A6A	#DE9E9E
131	55902	ACSS2			gene	96	911	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
133	83440	ADPGK	83440	ADPGK	gene	281	239	46	17	0.80326034	-0.0169805539999999	0.370504603999999	#FF0000	#D3D3D3	#DE9E9E
134	83440	ADPGK	83440	ADPGK	gene	281	312	46	17	0.80326034	-0.0169805539999999	0.370504603999999	#FF0000	#D3D3D3	#DE9E9E
140	9562	MINPP1	9562	MINPP1	gene	571	630	46	17	1.416189889	0.396459322	-0.337671194	#FF0000	#DE9E9E	#9EDE9E
