"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"DCIS_1"	"DCIS_2"
"hsa04115 p53 signaling pathway"	0.340351993871578	0.359178354320337	0.306392673165621	0.989196859437325	61	0.517177910595502	0.223983811680927
"hsa04920 Adipocytokine signaling pathway"	0.319100603236545	0.338308773795414	0.316960287980289	0.989196859437325	65	0.618874701143902	0.164532812211773
"hsa04330 Notch signaling pathway"	0.369105439636026	0.319503734037126	0.326348597016678	0.989196859437325	40	0.296707768097201	0.459168381207575
"hsa04910 Insulin signaling pathway"	0.382870811148944	0.29780656023383	0.336982264870558	0.989196859437325	131	0.396974235040155	0.369268443870223
"hsa04621 NOD-like receptor signaling pathway"	0.384770802517367	0.283972223353857	0.344447154265099	0.989196859437325	49	0.325982193795592	0.454161525652818
"hsa04620 Toll-like receptor signaling pathway"	0.388853284562024	0.279621789529318	0.346480916605938	0.989196859437325	92	0.354462699923713	0.426580503243973
"hsa04260 Cardiac muscle contraction"	0.367383975351582	0.279841726930571	0.346641634503678	0.989196859437325	61	0.555000101166709	0.243190920256409
"hsa04728 Dopaminergic synapse"	0.307904527063673	0.193564826795642	0.392628320103336	0.99999982895278	113	0.120967976948032	0.783721445775958
"hsa03410 Base excision repair"	0.40324616280913	0.189803981124094	0.394977401326653	0.99999982895278	28	0.582815723972644	0.279003227146836
"hsa04350 TGF-beta signaling pathway"	0.336063666414553	0.130856850032875	0.427044762484876	0.99999982895278	74	0.142918933714958	0.790229712385346
"hsa04144 Endocytosis"	0.397475276630093	0.107496017788276	0.439675617517196	0.99999982895278	190	0.223247273281868	0.70767536467376
"hsa03010 Ribosome"	0.0567787199786059	0.0998402684729656	0.448335814631836	0.99999982895278	66	0.994435141852788	0.0032418635532152
"hsa04662 B cell receptor signaling pathway"	0.429394258893922	0.0856584143704509	0.451952149644696	0.99999982895278	67	0.661040639455009	0.278922986827362
"hsa04724 Glutamatergic synapse"	0.440543819011896	0.0574088887703465	0.467730747553033	0.99999982895278	97	0.289693176490455	0.669946247339315
"hsa04914 Progesterone-mediated oocyte maturation"	0.45907792123628	0.0355594998605677	0.480008869319915	0.99999982895278	74	0.324359161342418	0.649750532386345
"hsa04720 Long-term potentiation"	0.465466985534644	0.0188202095141728	0.489432693007366	0.99999982895278	61	0.330227219299438	0.656092235771302
"hsa04961 Endocrine and other factor-regulated calcium reabsorption"	0.507568346732477	-0.0229641591124496	0.512912301794741	0.99999982895278	45	0.469795863372785	0.548377809789935
"hsa04150 mTOR signaling pathway"	0.506956241844749	-0.024590450205689	0.513833595496171	0.99999982895278	54	0.562483510966382	0.456910515836814
"hsa04210 Apoptosis"	0.488064633879746	-0.0572128227851342	0.532144486052826	0.99999982895278	78	0.339880576619417	0.700855251022198
"hsa04918 Thyroid hormone synthesis"	0.517218248544145	-0.0838494603766511	0.547056520327372	0.99999982895278	60	0.408443393065159	0.654961547105736
"hsa04977 Vitamin digestion and absorption"	0.51834280379497	-0.0902775392985706	0.550266379166598	0.99999982895278	18	0.406423125134441	0.661082614718723
"hsa03460 Fanconi anemia pathway"	0.476008430294877	-0.0958275205624832	0.553007041735066	0.99999982895278	38	0.295938913429821	0.765644582139498
"hsa04974 Protein digestion and absorption"	0.411441121652568	-0.100409240321301	0.556058065303125	0.99999982895278	73	0.198647216531715	0.852183078838645
"hsa04668 TNF signaling pathway"	0.560140390237381	-0.154258416881079	0.586231299023481	0.99999982895278	102	0.592461672072625	0.529582370582151
"hsa04727 GABAergic synapse"	0.440159772579259	-0.1863559780311	0.603312426695023	0.99999982895278	78	0.222219790323268	0.87184235533292
"hsa04380 Osteoclast differentiation"	0.554162684450034	-0.204418947243082	0.613560143534191	0.99999982895278	120	0.727071346750725	0.4223743408529
"hsa03320 PPAR signaling pathway"	0.562898695695559	-0.212248741349566	0.617565848461057	0.99999982895278	61	0.444102220320856	0.713472995894593
"hsa04975 Fat digestion and absorption"	0.576848536005436	-0.22503480481019	0.624155650212926	0.99999982895278	35	0.686362028450532	0.484808628243626
"hsa03030 DNA replication"	0.53872582560193	-0.282536633347203	0.653382300146101	0.99999982895278	33	0.351203208129359	0.826374897644961
"hsa04320 Dorso-ventral axis formation"	0.611824500415653	-0.316638628335458	0.671333567107313	0.99999982895278	19	0.523367034604995	0.715232703930967
"hsa04976 Bile secretion"	0.627901773599227	-0.331917383115206	0.680220117765696	0.99999982895278	64	0.667609399294717	0.590555851528699
"hsa04710 Circadian rhythm"	0.635704058692238	-0.380670946383183	0.703667637600077	0.99999982895278	28	0.54770329321489	0.737844112394682
"hsa04722 Neurotrophin signaling pathway"	0.652666303230566	-0.395819175917802	0.711923971306827	0.99999982895278	113	0.681211580962313	0.625317177918353
"hsa04614 Renin-angiotensin system"	0.587913411249374	-0.405170654027619	0.712116821855828	0.99999982895278	16	0.40804513459096	0.847068497639018
"hsa04610 Complement and coagulation cascades"	0.468046807180316	-0.428762220816543	0.725660096776066	0.99999982895278	65	0.232341929078376	0.942868188194261
"hsa04520 Adherens junction"	0.56823344271947	-0.432361733396956	0.728453107593405	0.99999982895278	70	0.36431987179484	0.886279531868772
"hsa04972 Pancreatic secretion"	0.639050841567143	-0.443879263380535	0.734358595845644	0.99999982895278	83	0.505067577266667	0.808576904337799
"hsa04010 MAPK signaling pathway"	0.650513675160965	-0.452587222674114	0.738748951042678	0.99999982895278	232	0.794709177139808	0.532481634469637
"hsa04917 Prolactin signaling pathway"	0.632795898055147	-0.464929858240733	0.743781158035115	0.99999982895278	70	0.478780097907569	0.836356085696622
"hsa04390 Hippo signaling pathway"	0.612919550234254	-0.472525204160237	0.747493553557252	0.99999982895278	131	0.433535087297913	0.866528191295414
"hsa04723 Retrograde endocannabinoid signaling"	0.629887631080599	-0.509243160431065	0.763526225131883	0.99999982895278	88	0.456201023424367	0.869700871800227
"hsa04730 Long-term depression"	0.569285429637239	-0.513842690318636	0.764359773367835	0.99999982895278	55	0.352746645134842	0.918749773717537
"hsa04744 Phototransduction"	0.694455084712673	-0.519646051746883	0.766640729135368	0.99999982895278	25	0.733916847593933	0.657115129955591
"hsa04012 ErbB signaling pathway"	0.710750331631994	-0.55676558176676	0.784002831158298	0.99999982895278	82	0.707244253683937	0.714273790537924
"hsa04660 T cell receptor signaling pathway"	0.713102640374313	-0.608797155558943	0.80486311929004	0.99999982895278	100	0.816518914488623	0.622784563450431
"hsa04725 Cholinergic synapse"	0.674982110700989	-0.616307519258279	0.807541909111785	0.99999982895278	96	0.516193056286049	0.882617160804833
"hsa04664 Fc epsilon RI signaling pathway"	0.730165414517202	-0.670184841389741	0.827495887073763	0.99999982895278	66	0.635892258230042	0.838414881855987
"hsa04151 PI3K-Akt signaling pathway"	0.408078295979629	-0.724100972932015	0.845987291267404	0.99999982895278	304	0.167888624631056	0.991895049563908
"hsa04713 Circadian entrainment"	0.595632472603145	-0.726780376790903	0.846149799828313	0.99999982895278	85	0.368680021964714	0.962292560710795
"hsa04973 Carbohydrate digestion and absorption"	0.695194227613675	-0.760698360074503	0.856084483408727	0.99999982895278	37	0.926271916613601	0.521763647843577
"hsa04370 VEGF signaling pathway"	0.777969331440929	-0.796237433364757	0.868850076525784	0.99999982895278	54	0.843998607972008	0.717105780680055
"hsa04070 Phosphatidylinositol signaling system"	0.797749055349805	-0.840473261355546	0.881984909536448	0.99999982895278	75	0.821983331934466	0.774229270335429
"hsa04064 NF-kappa B signaling pathway"	0.775925417649665	-0.938347679897042	0.906753671317632	0.99999982895278	82	0.93249350256106	0.645645521498294
"hsa04960 Aldosterone-regulated sodium reabsorption"	0.827312082920559	-0.958764249609333	0.910843305240515	0.99999982895278	36	0.856754671267955	0.798881296478266
"hsa04916 Melanogenesis"	0.703749885328987	-0.960508177148514	0.911428458912315	0.99999982895278	89	0.510529958902229	0.9700976259366
"hsa04530 Tight junction"	0.83026718153848	-0.989920455398568	0.918752285170719	0.99999982895278	117	0.776440368920604	0.887825543767343
"hsa04310 Wnt signaling pathway"	0.664589549342106	-1.01301173167942	0.922625651984983	0.99999982895278	122	0.448928456363009	0.983852243791817
"hsa04978 Mineral absorption"	0.730025690895901	-1.04143284902726	0.926089760948464	0.99999982895278	39	0.972999870702662	0.54772618724314
"hsa04911 Insulin secretion"	0.846904010748523	-1.03187452635629	0.926975676866317	0.99999982895278	72	0.827298347729306	0.866974296987981
"hsa04912 GnRH signaling pathway"	0.8062734233743	-1.05362185981322	0.930967617923104	0.99999982895278	82	0.686959959593215	0.946309641721559
"hsa04726 Serotonergic synapse"	0.845762342447151	-1.10368865348797	0.940061376474044	0.99999982895278	93	0.771377428409854	0.927320289078547
"hsa04742 Taste transduction"	0.869633065820052	-1.14145379532758	0.944844303072316	0.99999982895278	32	0.886813049291422	0.852785905407963
"hsa04360 Axon guidance"	0.824115997242601	-1.14044573125431	0.945888440347002	0.99999982895278	106	0.709497717792064	0.957250685773472
"hsa04810 Regulation of actin cytoskeleton"	0.845327743048265	-1.14612899061447	0.947131632224403	0.99999982895278	188	0.756733763539973	0.944293789435664
"hsa04913 Ovarian steroidogenesis"	0.864617630693222	-1.17132218113109	0.949790519902403	0.99999982895278	43	0.80544174421161	0.928141175544977
"hsa04340 Hedgehog signaling pathway"	0.884630045203216	-1.20874421974955	0.955024380956938	0.99999982895278	40	0.879211853523021	0.890081626789343
"hsa04650 Natural killer cell mediated cytotoxicity"	0.885713079594653	-1.20931495934435	0.955876661713399	0.99999982895278	108	0.877257838286673	0.894249814737689
"hsa04971 Gastric acid secretion"	0.885605030967613	-1.2397746892212	0.959417147863439	0.99999982895278	64	0.924805896973373	0.848065819478364
"hsa04510 Focal adhesion"	0.478980681736637	-1.27536002589043	0.962744336837656	0.99999982895278	192	0.229549231979826	0.999447880954167
"hsa04540 Gap junction"	0.834254947882494	-1.39568906171181	0.97487356224348	0.99999982895278	83	0.70506439509488	0.987117379502287
"hsa04970 Salivary secretion"	0.916580601861996	-1.4011292425115	0.975673121505508	0.99999982895278	77	0.935397964664606	0.898141787181384
"hsa04666 Fc gamma R-mediated phagocytosis"	0.924436044580316	-1.44285894622692	0.978831313232538	0.99999982895278	80	0.924615719169015	0.924256404906618
"hsa04062 Chemokine signaling pathway"	0.870948343170703	-1.45924966863257	0.980121309508059	0.99999982895278	164	0.770144723965122	0.984946066456655
"hsa04270 Vascular smooth muscle contraction"	0.75407707573328	-1.47527898329809	0.980511151138443	0.99999982895278	103	0.570372646382463	0.996948643580569
"hsa04630 Jak-STAT signaling pathway"	0.966483126905748	-1.83957906803622	0.995205692555006	0.99999982895278	131	0.96544103048232	0.967526348167381
"hsa04670 Leukocyte transendothelial migration"	0.96513306970755	-1.85085980366319	0.995382124095827	0.99999982895278	104	0.952600205610758	0.977830822161014
"hsa04020 Calcium signaling pathway"	0.968610279947496	-1.86907931187359	0.99577800318629	0.99999982895278	159	0.971495142925697	0.965733983594115
"hsa04740 Olfactory transduction"	0.973958051847665	-2.02411915846833	0.997645134281051	0.99999982895278	64	0.987386120920673	0.960712599316665
"hsa04672 Intestinal immune network for IgA production"	0.975024753629796	-2.11035615911881	0.998244370302467	0.99999982895278	39	0.991629706393885	0.958697852697474
"hsa04514 Cell adhesion molecules (CAMs)"	0.950540727164851	-2.27538667200317	0.999279488869324	0.99999982895278	115	0.904147734538258	0.999314204398808
"hsa04080 Neuroactive ligand-receptor interaction"	0.986618334024978	-2.26494882196999	0.999295029971188	0.99999982895278	242	0.980334419107641	0.99294252865291
"hsa04640 Hematopoietic cell lineage"	0.9872263263718	-2.45397624839853	0.99969532567858	0.99999982895278	77	0.997862479202046	0.976703543619481
"hsa04060 Cytokine-cytokine receptor interaction"	0.999843611136995	-3.6338949895995	0.99999982895278	0.99999982895278	226	0.999830904131097	0.999856318304387
"hsa04122 Sulfur relay system"	NA	NA	NA	NA	8	NA	NA
"hsa04060 Cytokine-cytokine receptor interaction"	0.000155871681729001	-3.6338949895995	1.71047219738615e-07	2.00125247094179e-05	226	0.000169095868902771	0.000143681695612545
"hsa04640 Hematopoietic cell lineage"	0.00705667485661478	-2.45397624839853	0.000304674321419847	0.0178234478030611	77	0.00213752079795368	0.0232964563805186
"hsa04080 Neuroactive ligand-receptor interaction"	0.0117808859459592	-2.26494882196999	0.000704970028811822	0.0210749505722735	242	0.0196655808923592	0.00705747134708962
"hsa04514 Cell adhesion molecules (CAMs)"	0.00810771620235343	-2.27538667200317	0.000720511130676019	0.0210749505722735	115	0.0958522654617425	0.000685795601191515
"hsa04672 Intestinal immune network for IgA production"	0.0185933079220763	-2.11035615911881	0.00175562969753317	0.0410817349222761	39	0.00837029360611478	0.0413021473025259
"hsa04740 Olfactory transduction"	0.0222613234458478	-2.02411915846833	0.00235486571894858	0.0459198815194974	64	0.012613879079327	0.0392874006833347
"hsa04020 Calcium signaling pathway"	0.0312529662617083	-1.86907931187359	0.00422199681371004	0.0623259967849265	159	0.0285048570743028	0.0342660164058853
"hsa04670 Leukocyte transendothelial migration"	0.0324162686215807	-1.85085980366319	0.00461787590417306	0.0623259967849265	104	0.0473997943892418	0.0221691778389862
"hsa04630 Jak-STAT signaling pathway"	0.0335000887134829	-1.83957906803622	0.00479430744499435	0.0623259967849265	131	0.0345589695176796	0.0324736518326191
"hsa04270 Vascular smooth muscle contraction"	0.0362069908087391	-1.47527898329809	0.0194888488615568	0.206394695982752	103	0.429627353617537	0.00305135641943122
"hsa04062 Chemokine signaling pathway"	0.0588236861308123	-1.45924966863257	0.0198786904919411	0.206394695982752	164	0.229855276034878	0.0150539335433452
"hsa04666 Fc gamma R-mediated phagocytosis"	0.0755637243898682	-1.44285894622692	0.0211686867674617	0.206394695982752	80	0.0753842808309853	0.075743595093382
"hsa04970 Salivary secretion"	0.0811187269605996	-1.4011292425115	0.024326878494492	0.209985229822345	77	0.0646020353353941	0.101858212818616
"hsa04540 Gap junction"	0.0616404369651617	-1.39568906171181	0.0251264377565199	0.209985229822345	83	0.29493560490512	0.012882620497713
"hsa04510 Focal adhesion"	0.0206247555840216	-1.27536002589043	0.0372556631623428	0.290594172666274	192	0.770450768020174	0.000552119045833036
"hsa04971 Gastric acid secretion"	0.106885707292463	-1.2397746892212	0.0405828521365608	0.292341523779901	64	0.0751941030266274	0.151934180521636
"hsa04650 Natural killer cell mediated cytotoxicity"	0.113929830776144	-1.20931495934435	0.0441233382866011	0.292341523779901	108	0.122742161713327	0.105750185262311
"hsa04340 Hedgehog signaling pathway"	0.115225155950773	-1.20874421974955	0.0449756190430617	0.292341523779901	40	0.120788146476979	0.109918373210657
"hsa04913 Ovarian steroidogenesis"	0.118240126644779	-1.17132218113109	0.0502094800975969	0.293328024569957	43	0.19455825578839	0.0718588244550226
"hsa04810 Regulation of actin cytoskeleton"	0.116410653255773	-1.14612899061447	0.0528683677755968	0.293328024569957	188	0.243266236460027	0.0557062105643358
"hsa04360 Axon guidance"	0.111439550185877	-1.14044573125431	0.0541115596529975	0.293328024569957	106	0.290502282207936	0.0427493142265284
"hsa04742 Taste transduction"	0.129084137167186	-1.14145379532758	0.0551556969276842	0.293328024569957	32	0.113186950708578	0.147214094592037
"hsa04726 Serotonergic synapse"	0.128903927066987	-1.10368865348797	0.0599386235259563	0.30490517184943	93	0.228622571590146	0.072679710921453
"hsa04912 GnRH signaling pathway"	0.129642708722619	-1.05362185981322	0.0690323820768964	0.332596075731912	82	0.313040040406785	0.0536903582784406
"hsa04911 Insulin secretion"	0.151570969201382	-1.03187452635629	0.0730243231336829	0.332596075731912	72	0.172701652270694	0.133025703012019
"hsa04978 Mineral absorption"	0.110505436165987	-1.04143284902726	0.073910239051536	0.332596075731912	39	0.0270001292973377	0.45227381275686
"hsa04310 Wnt signaling pathway"	0.0943322264123833	-1.01301173167942	0.0773743480150172	0.335288841398408	122	0.551071543636991	0.0161477562081829
"hsa04530 Tight junction"	0.158359338379221	-0.989920455398568	0.0812477148292812	0.339499379822354	117	0.223559631079396	0.112174456232657
"hsa04916 Melanogenesis"	0.120980644161509	-0.960508177148514	0.0885715410876847	0.347711109561992	89	0.489470041097771	0.0299023740634004
"hsa04960 Aldosterone-regulated sodium reabsorption"	0.169733069259156	-0.958764249609333	0.089156694759485	0.347711109561992	36	0.143245328732045	0.201118703521734
"hsa04064 NF-kappa B signaling pathway"	0.154664894838655	-0.938347679897042	0.0932463286823679	0.351929692123776	82	0.0675064974389397	0.354354478501706
"hsa04070 Phosphatidylinositol signaling system"	0.200476814224517	-0.840473261355546	0.118015090463552	0.43149267450736	75	0.178016668065534	0.225770729664571
"hsa04370 VEGF signaling pathway"	0.21007591963522	-0.796237433364757	0.131149923474216	0.464986092317675	54	0.156001392027992	0.282894219319945
"hsa04973 Carbohydrate digestion and absorption"	0.18777499740433	-0.760698360074503	0.143915516591273	0.495238689446439	37	0.0737280833863989	0.478236352156423
"hsa04713 Circadian entrainment"	0.154290180322106	-0.726780376790903	0.153850200171687	0.500541303380936	85	0.631319978035286	0.0377074392892055
"hsa04151 PI3K-Akt signaling pathway"	0.0821232089891392	-0.724100972932015	0.154012708732596	0.500541303380936	304	0.832111375368944	0.00810495043609225
"hsa04664 Fc epsilon RI signaling pathway"	0.242558018772929	-0.670184841389741	0.172504112926237	0.545485978712697	66	0.364107741769958	0.161585118144013
"hsa04725 Cholinergic synapse"	0.238307852735658	-0.616307519258279	0.192458090888215	0.58541064212988	96	0.483806943713951	0.117382839195167
"hsa04660 T cell receptor signaling pathway"	0.263081542054479	-0.608797155558943	0.19513688070996	0.58541064212988	100	0.183481085511377	0.377215436549569
"hsa04012 ErbB signaling pathway"	0.28921962190199	-0.55676558176676	0.215997168841702	0.631791718861979	82	0.292755746316063	0.285726209462076
"hsa04744 Phototransduction"	0.30205278865417	-0.519646051746883	0.233359270864632	0.643428643245806	25	0.266083152406067	0.342884870044409
"hsa04730 Long-term depression"	0.229323966355192	-0.513842690318636	0.235640226632165	0.643428643245806	55	0.647253354865158	0.0812502262824629
"hsa04723 Retrograde endocannabinoid signaling"	0.266188903907983	-0.509243160431065	0.236473774868117	0.643428643245806	88	0.543798976575633	0.130299128199772
"hsa04390 Hippo signaling pathway"	0.274967446193241	-0.472525204160237	0.252506446442748	0.655056503616331	131	0.566464912702087	0.133471808704586
"hsa04917 Prolactin signaling pathway"	0.292052161421943	-0.464929858240733	0.256218841964885	0.655056503616331	70	0.521219902092431	0.163643914303378
"hsa04010 MAPK signaling pathway"	0.309801920526616	-0.452587222674114	0.261251048957322	0.655056503616331	232	0.205290822860191	0.467518365530363
"hsa04972 Pancreatic secretion"	0.30780106644261	-0.443879263380535	0.265641404154356	0.655056503616331	83	0.494932422733333	0.191423095662201
"hsa04520 Adherens junction"	0.268867703083152	-0.432361733396956	0.271546892406595	0.655056503616331	70	0.63568012820516	0.113720468131228
"hsa04610 Complement and coagulation cascades"	0.209422292125387	-0.428762220816543	0.274339903223933	0.655056503616331	65	0.767658070921624	0.0571318118057391
"hsa04614 Renin-angiotensin system"	0.300879621936909	-0.405170654027619	0.287883178144172	0.660880301119631	16	0.59195486540904	0.152931502360982
"hsa04722 Neurotrophin signaling pathway"	0.345607500630393	-0.395819175917802	0.288076028693173	0.660880301119631	113	0.318788419037687	0.374682822081647
"hsa04710 Circadian rhythm"	0.344343207611552	-0.380670946383183	0.296332362399922	0.666747815399826	28	0.45229670678511	0.262155887605318
"hsa04976 Bile secretion"	0.368911082058589	-0.331917383115206	0.319779882234304	0.705929173988934	64	0.332390600705283	0.409444148471301
"hsa04320 Dorso-ventral axis formation"	0.368414821597748	-0.316638628335458	0.328666432892687	0.712110604600823	19	0.476632965395005	0.284767296069033
"hsa03030 DNA replication"	0.33562986964238	-0.282536633347203	0.346617699853899	0.737350379689203	33	0.648796791870641	0.173625102355039
"hsa04975 Fat digestion and absorption"	0.401974597204173	-0.22503480481019	0.375844349787074	0.779542469077581	35	0.313637971549468	0.515191371756374
"hsa03320 PPAR signaling pathway"	0.399098641190762	-0.212248741349566	0.382434151538943	0.779542469077581	61	0.555897779679144	0.286527004105407
"hsa04380 Osteoclast differentiation"	0.397052380969114	-0.204418947243082	0.386439856465809	0.779542469077581	120	0.272928653249275	0.5776256591471
"hsa04727 GABAergic synapse"	0.315718988565524	-0.1863559780311	0.396687573304977	0.786651628418344	78	0.777780209676732	0.12815764466708
"hsa04668 TNF signaling pathway"	0.437850675596727	-0.154258416881079	0.413768700976519	0.806848966904212	102	0.407538327927375	0.470417629417849
"hsa04974 Protein digestion and absorption"	0.344170744277262	-0.100409240321301	0.443941934696875	0.828037298776523	73	0.801352783468285	0.147816921161355
"hsa03460 Fanconi anemia pathway"	0.406202572791548	-0.0958275205624832	0.446992958264933	0.828037298776523	38	0.704061086570179	0.234355417860502
"hsa04977 Vitamin digestion and absorption"	0.448523714415266	-0.0902775392985706	0.449733620833402	0.828037298776523	18	0.593576874865559	0.338917385281277
"hsa04918 Thyroid hormone synthesis"	0.451785099860739	-0.0838494603766511	0.452943479672628	0.828037298776523	60	0.591556606934841	0.345038452894264
"hsa04210 Apoptosis"	0.444377383765821	-0.0572128227851342	0.467855513947174	0.842139925104914	78	0.660119423380583	0.299144748977802
"hsa04150 mTOR signaling pathway"	0.487453181692515	-0.024590450205689	0.486166404503829	0.85058598044799	54	0.437516489033618	0.543089484163186
"hsa04961 Endocrine and other factor-regulated calcium reabsorption"	0.489338281194124	-0.0229641591124496	0.487087698205259	0.85058598044799	45	0.530204136627215	0.451622190210065
"hsa04720 Long-term potentiation"	0.479937557971835	0.0188202095141728	0.510567306992634	0.878476101737327	61	0.669772780700562	0.343907764228698
"hsa04914 Progesterone-mediated oocyte maturation"	0.486459498866927	0.0355594998605677	0.519991130680085	0.881724091153187	74	0.675640838657582	0.350249467613655
"hsa04724 Glutamatergic synapse"	0.484189459447246	0.0574088887703465	0.532269252446967	0.889650036232788	97	0.710306823509545	0.330053752660685
"hsa04662 B cell receptor signaling pathway"	0.494384266829649	0.0856584143704509	0.548047850355304	0.896454301223265	67	0.338959360544991	0.721077013172638
"hsa03010 Ribosome"	0.0744769604401666	0.0998402684729656	0.551664185368163	0.896454301223265	66	0.0055648581472124	0.996758136446785
"hsa04144 Endocytosis"	0.476512284811777	0.107496017788276	0.560324382482804	0.89805414726696	190	0.776752726718132	0.29232463532624
"hsa04350 TGF-beta signaling pathway"	0.42401667630376	0.130856850032875	0.572955237515124	0.90588868634148	74	0.857081066285042	0.209770287614654
"hsa03410 Base excision repair"	0.548441899111298	0.189803981124094	0.605022598673347	0.935032717735653	28	0.417184276027356	0.720996772853164
"hsa04728 Dopaminergic synapse"	0.43602267723401	0.193564826795642	0.607371679896664	0.935032717735653	113	0.879032023051968	0.216278554224042
"hsa04260 Cardiac muscle contraction"	0.580327462663981	0.279841726930571	0.653358365496322	0.965784059737465	61	0.444999898833291	0.756809079743591
